gene_name,log2FC_12h,log2FC_18h,log2FC_24h,acc_untr_12h_tss,acc_untr_12h_avg,acc_vacv_12h_tss,acc_vacv_12h_avg,acc_untr_18h_tss,acc_untr_18h_avg,acc_vacv_18h_tss,acc_vacv_18h_avg,acc_untr_24h_tss,acc_untr_24h_avg,acc_vacv_24h_tss,acc_vacv_24h_avg,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,acc_delta_12h_avg,acc_delta_18h_avg,acc_delta_24h_avg,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,tsne_1,tsne_2,tsne_expr_1,tsne_expr_2,expression_pattern,accessibility_pattern,combined_pattern,combined_label
BET1L,-0.315038774861263,-0.368512170582717,-0.155558458515422,18.7657,23.8179525,6.06692,16.777641111111112,3.32283,13.126565454545457,5.44286,10.885704285714285,3.8446,13.3359525,12.1047,12.1047,-0.315038774861263,-0.368512170582717,-0.155558458515422,-12.69878,2.1200299999999994,8.2601,-7.040311388888885,-2.24086116883117,-1.2312525,"['flat', 'flat', 'flat']","['down', 'up', 'up']","['acc_only_down', 'acc_only_up', 'acc_only_up']","[['flat', 'down'], ['flat', 'up'], ['flat', 'up']]","['flat/down , acc_only_down', 'flat/up , acc_only_up', 'flat/up , acc_only_up']","['flat/down', 'flat/up', 'flat/up']",0,0,0,0,0,2,1,0,0,accessibility_only,-15.0093155,3.647945,-15.0093155,3.647945,flat,gradual down,flat & gradual down,flat & gradual down | accessibility_only
RIC8A,-0.295794630350065,-0.221667799143412,-0.362167478640339,18.7657,19.728002,4.04461,16.55294,4.22906,15.305173333333336,5.44286,11.792845,26.9122,16.659928333333333,4.03491,4.438405,-0.295794630350065,-0.221667799143412,-0.362167478640339,-14.72109,1.2138,-22.87729,-3.175061999999997,-3.512328333333336,-12.221523333333334,"['flat', 'flat', 'flat']","['down', 'up', 'down']","['acc_only_down', 'acc_only_up', 'acc_only_down']","[['flat', 'down'], ['flat', 'up'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/up , acc_only_up', 'flat/down , acc_only_down']","['flat/down', 'flat/up', 'flat/down']",0,0,0,0,0,1,2,0,0,accessibility_only,-19.110851,1.8688399,-19.110851,1.8688399,flat,gradual down,flat & gradual down,flat & gradual down | accessibility_only
SIRT3,0.552195943598951,-0.984312593879594,0.300940147507879,3.84937,15.4662,4.71871,12.673082,3.62491,9.389523333333331,3.26571,6.2592775000000005,4.32517,10.9330925,3.22793,4.0349125,0.552195943598951,-0.984312593879594,0.300940147507879,0.8693399999999998,-0.3591999999999999,-1.0972399999999998,-2.793118000000001,-3.1302458333333325,-6.898180000000001,"['flat', 'down', 'flat']","['up', 'flat', 'down']","['acc_only_up', 'expr_only_down', 'acc_only_down']","[['flat', 'up'], ['down', 'flat'], ['flat', 'down']]","['flat/up , acc_only_up', 'down/flat , expr_only_down', 'flat/down , acc_only_down']","['flat/up', 'down/flat', 'flat/down']",0,0,0,0,1,1,1,0,0,expression_only,-10.827722,-10.180895,-10.827722,-10.180895,flat,gradual down,flat & gradual down,flat & gradual down | expression_only
PSMD13,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.66107,16.039015,17.5266,15.9537,5.73944,10.908291111111112,10.8857,9.434266666666668,3.36402,8.265894,4.03491,4.03491,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.865529999999998,5.14626,0.67089,-0.0853149999999995,-1.474024444444444,-4.230983999999999,"['down', 'down', 'flat']","['up', 'up', 'up']","['expr_down_acc_up', 'expr_down_acc_up', 'acc_only_up']","[['down', 'up'], ['down', 'up'], ['flat', 'up']]","['down/up , expr_down_acc_up', 'down/up , expr_down_acc_up', 'flat/up , acc_only_up']","['down/up', 'down/up', 'flat/up']",0,0,0,0,0,1,0,0,2,conflict,-27.876356,5.6043344,-27.876356,5.6043344,flat,gradual down,flat & gradual down,flat & gradual down | conflict
NLRP6,0.0,0.0,3.40452908375144,2.88702,3.007315,4.04461,5.055764999999999,3.02076,3.840675714285714,4.35428,4.535713333333334,3.8446,4.393825714285714,3.22793,3.4969233333333336,0.0,0.0,3.40452908375144,1.1575899999999997,1.33352,-0.6166699999999996,2.048449999999999,0.6950376190476191,-0.8969023809523802,"['flat', 'flat', 'up']","['up', 'up', 'down']","['acc_only_up', 'acc_only_up', 'expr_up_acc_down']","[['flat', 'up'], ['flat', 'up'], ['up', 'down']]","['flat/up , acc_only_up', 'flat/up , acc_only_up', 'up/down , expr_up_acc_down']","['flat/up', 'flat/up', 'up/down']",0,0,0,0,0,2,0,1,0,accessibility_only,42.989323,12.824819,42.989323,12.824819,gradual up,gradual down,brief dip & brief spike,brief dip & brief spike | accessibility_only
ATHL1,0.521359167389512,-2.22121994350677,-0.0407249233707549,3.3682,3.548635,4.71871,4.31425,2.71868,5.691742105263158,4.89857,5.878285,5.7669,6.343588,5.64888,5.2453883333333335,0.521359167389512,-2.22121994350677,-0.0407249233707549,1.35051,2.1798900000000003,-0.1180199999999995,0.7656149999999995,0.1865428947368421,-1.098199666666666,"['flat', 'down', 'flat']","['up', 'up', 'flat']","['acc_only_up', 'expr_down_acc_up', 'neutral']","[['flat', 'up'], ['down', 'up'], ['flat', 'flat']]","['flat/up , acc_only_up', 'down/up , expr_down_acc_up', 'flat/flat , neutral']","['flat/up', 'down/up', 'flat/flat']",0,0,1,0,0,1,0,0,1,stable,-12.703856,-13.271758,-12.703856,-13.271758,noise,gradual down,noise,noise | stable
LOC103241759,-0.139961192278955,-1.43372852788884,-3.48368248703568,37.5313,22.133846666666667,27.6382,16.5155025,33.8325,24.770233333333334,22.3157,16.51,28.3539,23.548166666666663,8.06983,7.262845,-0.139961192278955,-1.43372852788884,-3.48368248703568,-9.8931,-11.516800000000003,-20.28407,-5.618344166666667,-8.260233333333332,-16.28532166666666,"['flat', 'down', 'down']","['down', 'down', 'down']","['acc_only_down', 'decrease', 'decrease']","[['flat', 'down'], ['down', 'down'], ['down', 'down']]","['flat/down , acc_only_down', 'down/down , decrease', 'down/down , decrease']","['flat/down', 'down/down', 'down/down']",0,2,0,0,0,0,1,0,0,mixed,-59.449936,-2.7427132,-59.449936,-2.7427132,noise,gradual down,flat & gradual down,flat & gradual down | mixed
IFITM1,0.0307138836245888,0.731248196567441,-0.137637020689475,3.3682,4.089955,5.39281,5.39281,5.73944,4.94649,7.62,7.62,3.36402,3.36402,4.03491,4.5729,0.0307138836245888,0.731248196567441,-0.137637020689475,2.02461,1.88056,0.67089,1.302855,2.6735100000000003,1.2088799999999995,"['flat', 'up', 'flat']","['up', 'up', 'up']","['acc_only_up', 'increase', 'acc_only_up']","[['flat', 'up'], ['up', 'up'], ['flat', 'up']]","['flat/up , acc_only_up', 'up/up , increase', 'flat/up , acc_only_up']","['flat/up', 'up/up', 'flat/up']",1,0,0,0,0,2,0,0,0,accessibility_only,3.465438,-0.8010146,3.465438,-0.8010146,gradual up,gradual down,flat & gradual down,flat & gradual down | accessibility_only
B4GALNT4,-0.00827829959749,-1.06047498777814,-0.879571244941176,4.33054,4.1243228571428565,5.39281,4.622411428571428,4.53114,5.801937586206897,5.44286,6.05517875,2.88345,5.31635875,3.22793,4.328360909090909,-0.00827829959749,-1.06047498777814,-0.879571244941176,1.0622699999999998,0.91172,0.3444800000000003,0.4980885714285712,0.2532411637931027,-0.9879978409090908,"['flat', 'down', 'down']","['up', 'up', 'flat']","['acc_only_up', 'expr_down_acc_up', 'expr_only_down']","[['flat', 'up'], ['down', 'up'], ['down', 'flat']]","['flat/up , acc_only_up', 'down/up , expr_down_acc_up', 'down/flat , expr_only_down']","['flat/up', 'down/up', 'down/flat']",0,0,0,0,1,1,0,0,1,expression_only,-34.671997,-7.9805756,-34.671997,-7.9805756,noise,gradual down,flat & gradual down,flat & gradual down | expression_only
PKP3,-0.050246007655728,0.0445116104723782,-0.473549348963175,25.502,14.3148225,20.2231,13.114355454545455,24.7702,7.363096875,9.25285,8.8718525,13.4561,9.385344117647058,7.26285,5.418314285714287,-0.050246007655728,0.0445116104723782,-0.473549348963175,-5.2789,-15.51735,-6.193249999999999,-1.2004670454545447,1.5087556249999992,-3.967029831932772,"['flat', 'flat', 'flat']","['down', 'down', 'down']","['acc_only_down', 'acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down', 'flat/down']",0,0,0,0,0,0,3,0,0,accessibility_only,-18.114708,-6.1478043,-18.114708,-6.1478043,noise,gradual down,flat & gradual down,flat & gradual down | accessibility_only
SIGIRR,2.17875128265687,0.563639589274575,1.28389311457649,4.33054,8.24005,4.71871,7.583641249999999,3.92698,6.3152703125,7.62,6.216314210526316,3.36402,6.407663888888888,4.8419,4.841897142857143,2.17875128265687,0.563639589274575,1.28389311457649,0.3881699999999997,3.69302,1.47788,-0.6564087500000007,-0.0989561019736839,-1.5657667460317457,"['up', 'flat', 'up']","['flat', 'up', 'up']","['expr_only_up', 'acc_only_up', 'increase']","[['up', 'flat'], ['flat', 'up'], ['up', 'up']]","['up/flat , expr_only_up', 'flat/up , acc_only_up', 'up/up , increase']","['up/flat', 'flat/up', 'up/up']",1,0,0,1,0,1,0,0,0,mixed,37.295826,-9.917036,37.295826,-9.917036,noise,gradual down,flat & gradual down,flat & gradual down | mixed
ANO9,1.4349710042221,0.0,0.0,3.84937,3.560666,5.39281,4.26931,3.92698,4.812378275862068,4.89857,6.086102727272728,3.8446,4.630991818181818,6.45586,5.04364,1.4349710042221,0.0,0.0,1.54344,0.9715900000000004,2.6112600000000006,0.708644,1.2737244514106596,0.4126481818181817,"['up', 'flat', 'flat']","['up', 'up', 'up']","['increase', 'acc_only_up', 'acc_only_up']","[['up', 'up'], ['flat', 'up'], ['flat', 'up']]","['up/up , increase', 'flat/up , acc_only_up', 'flat/up , acc_only_up']","['up/up', 'flat/up', 'flat/up']",1,0,0,0,0,2,0,0,0,accessibility_only,8.401113,-12.281602,8.401113,-12.281602,noise,gradual down,noise,noise | accessibility_only
PTDSS2,3.12280486289768,0.0,2.41096481671541,37.0501,9.14224,38.4238,8.7633225,25.3744,5.360088837209303,22.86,5.652196923076923,19.223,5.686801666666666,12.1047,4.841893571428571,3.12280486289768,0.0,2.41096481671541,1.3736999999999997,-2.514400000000002,-7.1183,-0.3789175,0.2921080858676204,-0.844908095238095,"['up', 'flat', 'up']","['up', 'down', 'down']","['increase', 'acc_only_down', 'expr_up_acc_down']","[['up', 'up'], ['flat', 'down'], ['up', 'down']]","['up/up , increase', 'flat/down , acc_only_down', 'up/down , expr_up_acc_down']","['up/up', 'flat/down', 'up/down']",1,0,0,0,0,0,1,1,0,mixed,42.050602,-10.747817,42.050602,-10.747817,gradual up,gradual down,flat & gradual down,flat & gradual down | mixed
RNH1,-0.450101022202271,-0.83812662661831,-0.804371731966021,5.29288,11.593930952380951,5.39281,12.639403,6.04151,8.804946296296297,5.44286,7.876130000000001,6.72805,9.586202105263157,4.03491,5.406784,-0.450101022202271,-0.83812662661831,-0.804371731966021,0.0999299999999996,-0.5986500000000001,-2.69314,1.0454720476190469,-0.9288162962962964,-4.1794181052631565,"['flat', 'down', 'down']","['flat', 'down', 'down']","['neutral', 'decrease', 'decrease']","[['flat', 'flat'], ['down', 'down'], ['down', 'down']]","['flat/flat , neutral', 'down/down , decrease', 'down/down , decrease']","['flat/flat', 'down/down', 'down/down']",0,2,1,0,0,0,0,0,0,mixed,-33.397625,4.7161026,-33.397625,4.7161026,flat,gradual down,flat & gradual down,flat & gradual down | mixed
LRRC56,0.344292935400758,0.702609396275232,1.30206831686612,5.29288,6.561417272727272,7.41512,7.66789875,6.04151,5.824018,11.9743,6.930570666666667,12.0144,6.151358,4.8419,4.572902222222222,0.344292935400758,0.702609396275232,1.30206831686612,2.12224,5.93279,-7.1725,1.1064814772727276,1.1065526666666674,-1.578455777777778,"['flat', 'up', 'up']","['up', 'up', 'down']","['acc_only_up', 'increase', 'expr_up_acc_down']","[['flat', 'up'], ['up', 'up'], ['up', 'down']]","['flat/up , acc_only_up', 'up/up , increase', 'up/down , expr_up_acc_down']","['flat/up', 'up/up', 'up/down']",1,0,0,0,0,1,0,1,0,mixed,31.553646,6.0506573,31.553646,6.0506573,gradual up,gradual down,flat & gradual down,flat & gradual down | mixed
C1H11orf35,0.231105857544569,0.316311536977542,0.106876108881777,11.5481,8.6610675,12.1338,8.426265,3.02076,5.0386224,4.35428,6.686935714285714,3.36402,6.099602307692307,6.45586,4.265478571428572,0.231105857544569,0.316311536977542,0.106876108881777,0.585700000000001,1.33352,3.0918400000000004,-0.2348024999999989,1.6483133142857147,-1.834123736263736,"['flat', 'flat', 'flat']","['flat', 'up', 'up']","['neutral', 'acc_only_up', 'acc_only_up']","[['flat', 'flat'], ['flat', 'up'], ['flat', 'up']]","['flat/flat , neutral', 'flat/up , acc_only_up', 'flat/up , acc_only_up']","['flat/flat', 'flat/up', 'flat/up']",0,0,1,0,0,2,0,0,0,accessibility_only,6.526015,1.4638606,6.526015,1.4638606,gradual up,gradual down,flat & gradual down,flat & gradual down | accessibility_only
