gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,expression_pattern,accessibility_pattern,combined_pattern,combined_label,expr_peak_time,expr_amplitude,expr_num_inflections,expr_rise_duration,expr_fall_duration
LOC103239540,1.59085303709818,-0.334276352509789,-0.914247419411153,1.1599000000000004,1.2165400000000002,1.84046,"['up', 'down', 'down']","['up', 'up', 'up']","['increase', 'expr_down_acc_up', 'expr_down_acc_up']","[['up', 'up'], ['down', 'up'], ['down', 'up']]","['up/up , increase', 'down/up , expr_down_acc_up', 'down/up , expr_down_acc_up']","['up/up', 'down/up', 'down/up']",1,0,0,0,0,0,0,0,2,conflict,gradual down,flat,gradual down & flat,gradual down & flat | conflict,12.0,2.5082426214206412,1,0.0,11.636363636363637
EHMT1,-0.0853815206312629,0.0434005490811111,-0.0295695931303927,1.83169,1.33352,0.0361500000000001,"['down', 'up', 'down']","['up', 'up', 'flat']","['expr_down_acc_up', 'increase', 'expr_only_down']","[['down', 'up'], ['up', 'up'], ['down', 'flat']]","['down/up , expr_down_acc_up', 'up/up , increase', 'down/flat , expr_only_down']","['down/up', 'up/up', 'down/flat']",1,0,0,0,1,0,0,0,1,mixed,late down,gradual down,late down & gradual down,late down & gradual down | mixed,18.78787878787879,0.1307070685328252,1,6.787878787878789,0.0
LOC103239545,0.918214479246318,0.52518910220917,0.378718758649196,5.783269999999999,0.4327900000000007,-5.884919999999999,"['up', 'up', 'up']","['up', 'up', 'down']","['increase', 'increase', 'expr_up_acc_down']","[['up', 'up'], ['up', 'up'], ['up', 'down']]","['up/up , increase', 'up/up , increase', 'up/down , expr_up_acc_down']","['up/up', 'up/up', 'up/down']",2,0,0,0,0,0,0,1,0,mixed,gradual down,gradual down,gradual down & gradual down,gradual down & gradual down | mixed,12.0,0.5394957205971219,0,0.0,12.0
ARRDC1,0.0669644896791777,-0.379080705765563,0.552635458692976,0.4858000000000002,3.4508,1.6501100000000006,"['up', 'down', 'up']","['up', 'up', 'up']","['increase', 'expr_down_acc_up', 'increase']","[['up', 'up'], ['down', 'up'], ['up', 'up']]","['up/up , increase', 'down/up , expr_down_acc_up', 'up/up , increase']","['up/up', 'down/up', 'up/up']",2,0,0,0,0,0,0,0,1,mixed,late up,late down,late up & late down,late up & late down | mixed,24.0,0.9531023091293979,1,7.030303030303031,0.0
ZMYND19,0.492064264809855,1.18418977885357,0.511039475464509,7.12916,0.06536,0.67089,"['up', 'up', 'up']","['up', 'flat', 'up']","['increase', 'expr_only_up', 'increase']","[['up', 'up'], ['up', 'flat'], ['up', 'up']]","['up/up , increase', 'up/flat , expr_only_up', 'up/up , increase']","['up/up', 'up/flat', 'up/up']",2,0,0,1,0,0,0,0,0,mixed,late down,late up,late down & late up,late down & late up | mixed,18.060606060606062,0.6921516986186245,1,6.060606060606062,0.0
DPH7,0.425540273147538,0.408282294314322,1.22897824361784,7.8103,4.72448,-4.13486,"['up', 'up', 'up']","['up', 'up', 'down']","['increase', 'increase', 'expr_up_acc_down']","[['up', 'up'], ['up', 'up'], ['up', 'down']]","['up/up , increase', 'up/up , increase', 'up/down , expr_up_acc_down']","['up/up', 'up/up', 'up/down']",2,0,0,0,0,0,0,1,0,mixed,flat,gradual down,flat & gradual down,flat & gradual down | mixed,24.0,0.9169798310168263,1,8.848484848484848,0.0
MRPL41,-0.32717126361951,-0.148504720160214,-1.28285405121561,1.7363799999999996,1.0342000000000002,0.3625600000000002,"['down', 'down', 'down']","['up', 'up', 'up']","['expr_down_acc_up', 'expr_down_acc_up', 'expr_down_acc_up']","[['down', 'up'], ['down', 'up'], ['down', 'up']]","['down/up , expr_down_acc_up', 'down/up , expr_down_acc_up', 'down/up , expr_down_acc_up']","['down/up', 'down/up', 'down/up']",0,0,0,0,0,0,0,0,3,conflict,late down,gradual down,late down & gradual down,late down & gradual down | conflict,15.757575757575758,1.2212357364606556,1,0.0,8.242424242424242
LOC103239920,0.519977687020748,-0.0277862429979173,0.941968775207184,-4.418900000000001,-5.55157,-1.86807,"['up', 'down', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'decrease', 'expr_up_acc_down']","[['up', 'down'], ['down', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'down/down , decrease', 'up/down , expr_up_acc_down']","['up/down', 'down/down', 'up/down']",0,1,0,0,0,0,0,2,0,conflict,late up,late up,late up & late up,late up & late up | conflict,24.0,0.9843781091267485,1,6.787878787878789,0.0
LOC103239550,0.900726075790864,0.885017468480443,1.42699587208231,1.7363799999999996,-1.1429399999999994,-0.9249999999999998,"['up', 'up', 'up']","['up', 'down', 'down']","['increase', 'expr_up_acc_down', 'expr_up_acc_down']","[['up', 'up'], ['up', 'down'], ['up', 'down']]","['up/up , increase', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['up/up', 'up/down', 'up/down']",1,0,0,0,0,0,0,2,0,conflict,flat,flat,flat & flat,flat & flat | conflict,24.0,0.6040538425896669,1,8.848484848484848,0.0
NOXA1,2.6742015998098,1.24677607098553,0.600489353046497,-0.7671000000000001,1.5158799999999997,1.1695400000000005,"['up', 'up', 'up']","['down', 'up', 'up']","['expr_up_acc_down', 'increase', 'increase']","[['up', 'down'], ['up', 'up'], ['up', 'up']]","['up/down , expr_up_acc_down', 'up/up , increase', 'up/up , increase']","['up/down', 'up/up', 'up/up']",2,0,0,0,0,0,0,1,0,mixed,gradual down,late down,gradual down & late down,gradual down & late down | mixed,12.0,2.073712246763303,0,0.0,12.0
EXD3,-0.0509942596278951,0.0910713638761642,0.100482441791299,0.3904899999999989,2.3622300000000003,-2.05839,"['down', 'up', 'up']","['up', 'up', 'down']","['expr_down_acc_up', 'increase', 'expr_up_acc_down']","[['down', 'up'], ['up', 'up'], ['up', 'down']]","['down/up , expr_down_acc_up', 'up/up , increase', 'up/down , expr_up_acc_down']","['down/up', 'up/up', 'up/down']",1,0,0,0,0,0,0,1,1,conflict,flat,late down,flat & late down,flat & late down | conflict,21.454545454545453,0.16368527494218277,1,9.454545454545453,0.0
NRARP,0.833009150642368,0.109152608855919,0.0094001452024103,2.12224,-2.3512499999999994,0.67089,"['up', 'up', 'up']","['up', 'down', 'up']","['increase', 'expr_up_acc_down', 'increase']","[['up', 'up'], ['up', 'down'], ['up', 'up']]","['up/up , increase', 'up/down , expr_up_acc_down', 'up/up , increase']","['up/up', 'up/down', 'up/up']",2,0,0,0,0,0,0,1,0,mixed,gradual down,late up,gradual down & late up,gradual down & late up | mixed,12.0,0.8597143226197544,1,0.0,9.939393939393938
TOR4A,0.3184408432739,0.904202871832985,1.14745955165632,-34.73729,-1.38516,-0.1360899999999998,"['up', 'up', 'up']","['down', 'down', 'flat']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_only_up']","[['up', 'down'], ['up', 'down'], ['up', 'flat']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/flat , expr_only_up']","['up/down', 'up/down', 'up/flat']",0,0,0,1,0,0,0,2,0,conflict,gradual up,gradual up,gradual up & gradual up,gradual up & gradual up | conflict,24.0,0.8290187083824201,0,12.0,0.0
LOC103239561,0.0,-0.396692744762895,0.0,-33.38908000000001,0.2477,5.68505,"['flat', 'down', 'flat']","['down', 'up', 'up']","['acc_only_down', 'expr_down_acc_up', 'acc_only_up']","[['flat', 'down'], ['down', 'up'], ['flat', 'up']]","['flat/down , acc_only_down', 'down/up , expr_down_acc_up', 'flat/up , acc_only_up']","['flat/down', 'down/up', 'flat/up']",0,0,0,0,0,1,1,0,1,accessibility_only,late up,gradual up,late up & gradual up,late up & gradual up | accessibility_only,24.0,0.3966522700414622,1,6.060606060606062,0.0
NELFB,-0.321274687454965,-0.535094689880039,-0.350159126443364,0.00231,1.15393,2.6112600000000006,"['down', 'down', 'down']","['flat', 'up', 'up']","['expr_only_down', 'expr_down_acc_up', 'expr_down_acc_up']","[['down', 'flat'], ['down', 'up'], ['down', 'up']]","['down/flat , expr_only_down', 'down/up , expr_down_acc_up', 'down/up , expr_down_acc_up']","['down/flat', 'down/up', 'down/up']",0,0,0,0,1,0,0,0,2,conflict,late up,gradual up,late up & gradual up,late up & gradual up | conflict,12.0,0.21407456207647685,1,0.0,6.18181818181818
C12H9orf173,1.7932200415902,3.72521297832706,0.0,2.69872,1.15393,-2.36672,"['up', 'up', 'flat']","['up', 'up', 'down']","['increase', 'increase', 'acc_only_down']","[['up', 'up'], ['up', 'up'], ['flat', 'down']]","['up/up , increase', 'up/up , increase', 'flat/down , acc_only_down']","['up/up', 'up/up', 'flat/down']",2,0,0,0,0,0,1,0,0,mixed,late down,gradual down,late down & gradual down,late down & gradual down | mixed,17.09090909090909,3.7961271927374294,1,0.0,6.90909090909091
FAM166A,1.31227678248072,0.0,0.0,1.35051,1.2736600000000005,0.3625600000000002,"['up', 'flat', 'flat']","['up', 'up', 'up']","['increase', 'acc_only_up', 'acc_only_up']","[['up', 'up'], ['flat', 'up'], ['flat', 'up']]","['up/up , increase', 'flat/up , acc_only_up', 'flat/up , acc_only_up']","['up/up', 'flat/up', 'flat/up']",1,0,0,0,0,2,0,0,0,accessibility_only,flat,flat,flat & flat,flat & flat | accessibility_only,12.0,1.4762946437743514,1,0.0,8.969696969696969
TUBB4B,-0.652423565251273,-0.461935236655136,-0.870651597321169,0.5811000000000002,-0.1169799999999998,-1.25141,"['down', 'down', 'down']","['up', 'flat', 'down']","['expr_down_acc_up', 'expr_only_down', 'decrease']","[['down', 'up'], ['down', 'flat'], ['down', 'down']]","['down/up , expr_down_acc_up', 'down/flat , expr_only_down', 'down/down , decrease']","['down/up', 'down/flat', 'down/down']",0,1,0,0,1,0,0,0,1,mixed,late down,gradual down,late down & gradual down,late down & gradual down | mixed,16.848484848484848,0.41862218841319315,1,0.0,7.151515151515152
