gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class
IMPG1,0.685529779466555,3.23750895150883,2.41002534767769,-5.96238,-4.46578,-3.65429,"['up', 'up', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_up_acc_down']","[['up', 'down'], ['up', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['up/down', 'up/down', 'up/down']",0,0,0,0,0,0,0,3,0,conflict
IRAK1BP1,0.318422983328062,-0.0290701248520836,-0.429794686718635,12.71489,-5.12702,-6.53769,"['flat', 'flat', 'flat']","['up', 'down', 'down']","['acc_only_up', 'acc_only_down', 'acc_only_down']","[['flat', 'up'], ['flat', 'down'], ['flat', 'down']]","['flat/up , acc_only_up', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/up', 'flat/down', 'flat/down']",0,0,0,0,0,1,2,0,0,accessibility_only
PHIP,0.122921325873084,0.263166126280522,0.412432019857226,-5.192990000000001,-0.8381199999999991,-2.5389699999999995,"['flat', 'flat', 'flat']","['down', 'down', 'down']","['acc_only_down', 'acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down', 'flat/down']",0,0,0,0,0,0,3,0,0,accessibility_only
HMGN3,-0.952437304024973,-1.7552453607411,-2.4206319722357,-15.1,-6.45505,-5.884919999999999,"['down', 'down', 'down']","['down', 'down', 'down']","['decrease', 'decrease', 'decrease']","[['down', 'down'], ['down', 'down'], ['down', 'down']]","['down/down , decrease', 'down/down , decrease', 'down/down , decrease']","['down/down', 'down/down', 'down/down']",0,3,0,0,0,0,0,0,0,expr_acc_down
SH3BGRL2,-0.376287212388141,-0.216693958582211,-0.962303332594647,3.951610000000001,-0.1768599999999995,-2.21256,"['flat', 'flat', 'down']","['up', 'flat', 'down']","['acc_only_up', 'neutral', 'decrease']","[['flat', 'up'], ['flat', 'flat'], ['down', 'down']]","['flat/up , acc_only_up', 'flat/flat , neutral', 'down/down , decrease']","['flat/up', 'flat/flat', 'down/down']",0,1,1,0,0,1,0,0,0,mixed
TTK,0.136549250984673,0.762417524977819,0.579077848830728,3.2867999999999995,0.1307200000000001,-3.96261,"['flat', 'up', 'flat']","['up', 'flat', 'down']","['acc_only_up', 'expr_only_up', 'acc_only_down']","[['flat', 'up'], ['up', 'flat'], ['flat', 'down']]","['flat/up , acc_only_up', 'up/flat , expr_only_up', 'flat/down , acc_only_down']","['flat/up', 'up/flat', 'flat/down']",0,0,0,1,0,1,1,0,0,expression_only
FAM46A,0.401025126946725,0.856492942079678,1.54033622991667,2.5081000000000007,-2.40842,-2.0403199999999995,"['flat', 'up', 'up']","['up', 'down', 'down']","['acc_only_up', 'expr_up_acc_down', 'expr_up_acc_down']","[['flat', 'up'], ['up', 'down'], ['up', 'down']]","['flat/up , acc_only_up', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['flat/up', 'up/down', 'up/down']",0,0,0,0,0,1,0,2,0,conflict
IBTK,-0.231979712631735,-0.526718855585821,-0.566442372914891,-13.08,-17.69449,-3.63624,"['flat', 'flat', 'flat']","['down', 'down', 'down']","['acc_only_down', 'acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down', 'flat/down']",0,0,0,0,0,0,3,0,0,accessibility_only
TPBG,-0.802276077328506,-1.44299360104185,-2.37336781003518,-1.6318100000000006,-1.2028100000000004,0.8431300000000004,"['down', 'down', 'down']","['down', 'down', 'up']","['decrease', 'decrease', 'expr_down_acc_up']","[['down', 'down'], ['down', 'down'], ['down', 'up']]","['down/down , decrease', 'down/down , decrease', 'down/up , expr_down_acc_up']","['down/down', 'down/down', 'down/up']",0,2,0,0,0,0,0,0,1,mixed
UBE3D,0.742403271864999,0.214673482555965,0.405846292059962,-2.49885,5.266000000000001,1.8042800000000003,"['up', 'flat', 'flat']","['down', 'up', 'up']","['expr_up_acc_down', 'acc_only_up', 'acc_only_up']","[['up', 'down'], ['flat', 'up'], ['flat', 'up']]","['up/down , expr_up_acc_down', 'flat/up , acc_only_up', 'flat/up , acc_only_up']","['up/down', 'flat/up', 'flat/up']",0,0,0,0,0,2,0,1,0,accessibility_only
DOPEY1,-0.709083640742226,-0.449363905866544,-0.0284373587208917,-9.71408,-3.494159999999999,-8.133600000000001,"['down', 'flat', 'flat']","['down', 'down', 'down']","['decrease', 'acc_only_down', 'acc_only_down']","[['down', 'down'], ['flat', 'down'], ['flat', 'down']]","['down/down , decrease', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['down/down', 'flat/down', 'flat/down']",0,1,0,0,0,0,2,0,0,accessibility_only
PGM3,0.199160201055682,0.184796642464074,0.390250783481271,5.49272,-3.74189,1.34178,"['flat', 'flat', 'flat']","['up', 'down', 'up']","['acc_only_up', 'acc_only_down', 'acc_only_up']","[['flat', 'up'], ['flat', 'down'], ['flat', 'up']]","['flat/up , acc_only_up', 'flat/down , acc_only_down', 'flat/up , acc_only_up']","['flat/up', 'flat/down', 'flat/up']",0,0,0,0,0,2,1,0,0,accessibility_only
RWDD2A,0.395039997870816,-0.992107243431685,-0.178731975622973,4.7280000000000015,5.3313500000000005,-3.46397,"['flat', 'down', 'flat']","['up', 'up', 'down']","['acc_only_up', 'expr_down_acc_up', 'acc_only_down']","[['flat', 'up'], ['down', 'up'], ['flat', 'down']]","['flat/up , acc_only_up', 'down/up , expr_down_acc_up', 'flat/down , acc_only_down']","['flat/up', 'down/up', 'flat/down']",0,0,0,0,0,1,1,0,1,accessibility_only
ME1,0.119475946118459,0.292283044790866,0.44129197659182,2.69872,0.43004,0.3625600000000002,"['flat', 'flat', 'flat']","['up', 'flat', 'flat']","['acc_only_up', 'neutral', 'neutral']","[['flat', 'up'], ['flat', 'flat'], ['flat', 'flat']]","['flat/up , acc_only_up', 'flat/flat , neutral', 'flat/flat , neutral']","['flat/up', 'flat/flat', 'flat/flat']",0,0,2,0,0,1,0,0,0,stable
SNAP91,0.0,0.0,2.40178883633417,-2.980020000000001,-1.1429399999999994,-1.25141,"['flat', 'flat', 'up']","['down', 'down', 'down']","['acc_only_down', 'acc_only_down', 'expr_up_acc_down']","[['flat', 'down'], ['flat', 'down'], ['up', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'up/down , expr_up_acc_down']","['flat/down', 'flat/down', 'up/down']",0,0,0,0,0,0,2,1,0,accessibility_only
CEP162,-0.107899625383512,0.171055708793775,0.448036305547753,-5.192990000000001,-0.7782600000000004,1.3237100000000002,"['flat', 'flat', 'flat']","['down', 'down', 'up']","['acc_only_down', 'acc_only_down', 'acc_only_up']","[['flat', 'down'], ['flat', 'down'], ['flat', 'up']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'flat/up , acc_only_up']","['flat/down', 'flat/down', 'flat/up']",0,0,0,0,0,1,2,0,0,accessibility_only
TBX18,0.506971743353881,0.676922015188498,0.83392281701871,-0.2836100000000003,-4.28618,-0.7708399999999997,"['flat', 'up', 'up']","['flat', 'down', 'down']","['neutral', 'expr_up_acc_down', 'expr_up_acc_down']","[['flat', 'flat'], ['up', 'down'], ['up', 'down']]","['flat/flat , neutral', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['flat/flat', 'up/down', 'up/down']",0,0,1,0,0,0,0,2,0,conflict
NT5E,0.880665324570337,1.08156930512511,-0.134208380541671,12.81261,-8.57237,-8.6142,"['up', 'up', 'flat']","['up', 'down', 'down']","['increase', 'expr_up_acc_down', 'acc_only_down']","[['up', 'up'], ['up', 'down'], ['flat', 'down']]","['up/up , increase', 'up/down , expr_up_acc_down', 'flat/down , acc_only_down']","['up/up', 'up/down', 'flat/down']",1,0,0,0,0,0,1,1,0,mixed
SNX14,0.83752325044272,0.708709358733381,1.02383415994938,-3.651780000000001,-1.1429399999999994,-0.1180199999999995,"['up', 'up', 'up']","['down', 'down', 'flat']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_only_up']","[['up', 'down'], ['up', 'down'], ['up', 'flat']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/flat , expr_only_up']","['up/down', 'up/down', 'up/flat']",0,0,0,1,0,0,0,2,0,conflict
