gene_name,expression_pattern,accessibility_pattern,combined_pattern
IMPG1,late down,gradual up,late down & gradual up
IRAK1BP1,gradual down,gradual down,gradual down & gradual down
PHIP,gradual up,late down,gradual up & late down
HMGN3,gradual down,gradual up,gradual down & gradual up
SH3BGRL2,late down,gradual down,late down & gradual down
TTK,late down,gradual down,late down & gradual down
FAM46A,gradual up,late up,gradual up & late up
IBTK,gradual down,late up,gradual down & late up
TPBG,gradual down,gradual up,gradual down & gradual up
UBE3D,late up,late down,late up & late down
DOPEY1,gradual up,late down,gradual up & late down
PGM3,flat,late up,flat & late up
RWDD2A,late up,late down,late up & late down
ME1,gradual up,flat,gradual up & flat
SNAP91,flat,flat,flat & flat
CEP162,gradual up,gradual up,gradual up & gradual up
TBX18,gradual up,late up,gradual up & late up
NT5E,late down,flat,late down & flat
SNX14,late up,gradual up,late up & gradual up
SYNCRIP,late down,gradual down,late down & gradual down
ZNF292,flat,flat,flat & flat
SMIM8,late down,late up,late down & late up
C13H6orf165,late down,flat,late down & flat
RARS2,late up,late down,late up & late down
ORC3,gradual up,late down,gradual up & late down
RNGTT,flat,late down,flat & late down
LOC103240084,late up,late down,late up & late down
LOC103240082,late down,late up,late down & late up
LOC103240081,late up,late up,late up & late up
LOC103240088,late up,late up,late up & late up
LOC103240091,late up,late up,late up & late up
LOC103240089,late up,late down,late up & late down
LOC103240087,flat,gradual down,flat & gradual down
LOC103240086,gradual up,late down,gradual up & late down
LOC103240085,flat,gradual up,flat & gradual up
PNRC1,late down,late down,late down & late down
PM20D2,late down,gradual down,late down & gradual down
UBE2J1,late down,gradual down,late down & gradual down
MDN1,late up,late down,late up & late down
CASP8AP2,late down,gradual down,late down & gradual down
BACH2,late up,late down,late up & late down
MAP3K7,flat,late down,flat & late down
EPHA7,gradual down,late down,gradual down & late down
FUT9,late up,late down,late up & late down
LRP11,late down,late down,late down & late down
NUP43,gradual up,late up,gradual up & late up
LATS1,late down,gradual up,late down & gradual up
PPIL4,late up,gradual down,late up & gradual down
LOC103240160,late down,flat,late down & flat
UST,gradual down,gradual up,gradual down & gradual up
SASH1,late down,late up,late down & late up
LOC103240196,late up,gradual down,late up & gradual down
RAB32,gradual down,flat,gradual down & flat
GRM1,flat,late up,flat & late up
SHPRH,late up,gradual up,late up & gradual up
EPM2A,late down,gradual down,late down & gradual down
LOC103240239,late down,late down,late down & late down
TRNAL-UAA,late down,late down,late down & late down
SF3B5,gradual down,late up,gradual down & late up
PEX3,late down,late down,late down & late down
ADAT2,late down,late down,late down & late down
LOC103240261,late up,flat,late up & flat
LOC103240275,gradual up,flat,gradual up & flat
ABRACL,late down,late down,late down & late down
CCDC28A,late down,late down,late down & late down
NHSL1,gradual up,late up,gradual up & late up
HEBP2,late down,late down,late down & late down
KIAA1244,gradual down,late down,gradual down & late down
TNFAIP3,gradual down,late up,gradual down & late up
LOC103240318,late up,late up,late up & late up
BCLAF1,late down,late up,late down & late up
AHI1,gradual up,late up,gradual up & late up
LOC103240336,flat,flat,flat & flat
SLC2A12,late down,flat,late down & flat
RPS12,late down,late up,late down & late up
LOC103240350,late down,late down,late down & late down
SLC18B1,flat,gradual down,flat & gradual down
STX7,flat,flat,flat & flat
MOXD1,gradual down,late down,gradual down & late down
CTGF,late down,gradual down,late down & gradual down
ENPP1,gradual down,flat,gradual down & flat
AKAP7,gradual down,late down,gradual down & late down
EPB41L2,late up,late down,late up & late down
TMEM200A,late up,gradual up,late up & gradual up
PTPRK,gradual down,flat,gradual down & flat
LOC103240400,gradual up,late up,gradual up & late up
RNF146,late up,gradual up,late up & gradual up
CENPW,late down,gradual down,late down & gradual down
NCOA7,gradual down,gradual down,gradual down & gradual down
TRNAE-CUC,late down,gradual down,late down & gradual down
HDDC2,late down,late down,late down & late down
TPD52L1,late up,gradual up,late up & gradual up
RNF217,late up,late up,late up & late up
NKAIN2,gradual down,late up,gradual down & late up
SMPDL3A,late up,gradual up,late up & gradual up
SERINC1,late down,late down,late down & late down
HSF2,gradual up,late down,gradual up & late down
GJA1,gradual down,gradual down,gradual down & gradual down
TBC1D32,late up,late up,late up & late up
MAN1A1,gradual up,late down,gradual up & late down
FAM184A,gradual up,gradual down,gradual up & gradual down
MCM9,late up,late up,late up & late up
ASF1A,late down,gradual up,late down & gradual up
CEP85L,gradual up,gradual down,gradual up & gradual down
NUS1,late down,gradual up,late down & gradual up
DCBLD1,gradual down,flat,gradual down & flat
VGLL2,gradual down,gradual down,gradual down & gradual down
FAM162B,late down,late down,late down & late down
KPNA5,gradual up,late down,gradual up & late down
ZUFSP,flat,late up,flat & late up
RSPH4A,late down,late up,late down & late up
RWDD1,late down,flat,late down & flat
DSE,gradual down,gradual up,gradual down & gradual up
TSPYL1,gradual up,gradual down,gradual up & gradual down
TSPYL4,gradual up,late down,gradual up & late down
NT5DC1,gradual down,late up,gradual down & late up
LOC103240524,late up,late up,late up & late up
HDAC2,late down,late down,late down & late down
LOC103240534,gradual up,late down,gradual up & late down
MARCKS,gradual down,gradual up,gradual down & gradual up
LOC103240542,late up,gradual up,late up & gradual up
LAMA4,gradual down,gradual up,gradual down & gradual up
FAM229B,gradual down,gradual down,gradual down & gradual down
TUBE1,late up,late down,late up & late down
LOC103241017,late down,late up,late down & late up
FYN,gradual up,gradual up,gradual up & gradual up
TRAF3IP2,late up,gradual up,late up & gradual up
REV3L,gradual up,late down,gradual up & late down
KIAA1919,gradual down,late up,gradual down & late up
RPF2,late up,flat,late up & flat
GTF3C6,late down,late up,late down & late up
LOC103240569,late up,late up,late up & late up
AMD1,late down,late down,late down & late down
LOC103240565,late down,late up,late down & late up
CDK19,gradual up,gradual down,gradual up & gradual down
LOC103240587,flat,late down,flat & late down
CDC40,late down,late up,late down & late up
WASF1,late down,gradual up,late down & gradual up
FIG4,late down,gradual up,late down & gradual up
AK9,gradual down,flat,gradual down & flat
ZBTB24,late down,late up,late down & late up
MICAL1,gradual up,late up,gradual up & late up
SMPD2,gradual up,gradual down,gradual up & gradual down
PPIL6,late up,late up,late up & late up
CD164,gradual down,gradual down,gradual down & gradual down
LOC103240604,late up,late down,late up & late down
CEP57L1,late up,gradual down,late up & gradual down
SESN1,late down,gradual down,late down & gradual down
ARMC2,gradual down,gradual up,gradual down & gradual up
LOC103240611,late up,late down,late up & late down
FOXO3,late up,late down,late up & late down
LACE1,late down,late down,late down & late down
SNX3,late down,gradual up,late down & gradual up
NR2E1,gradual down,late down,gradual down & late down
OSTM1,late down,late down,late down & late down
SEC63,flat,gradual down,flat & gradual down
SCML4,late down,late down,late down & late down
SOBP,late down,late up,late down & late up
PDSS2,late down,late up,late down & late up
BEND3,gradual down,gradual down,gradual down & gradual down
C13H6orf203,late down,late up,late down & late up
CD24,gradual down,gradual down,gradual down & gradual down
QRSL1,late down,late down,late down & late down
RTN4IP1,gradual down,late down,gradual down & late down
AIM1,gradual down,gradual down,gradual down & gradual down
ATG5,gradual down,gradual down,gradual down & gradual down
PRDM1,late up,late down,late up & late down
BVES,flat,flat,flat & flat
HACE1,late down,flat,late down & flat
ASCC3,gradual up,late down,gradual up & late down
SIM1,late down,late up,late down & late up
PRDM13,late up,late down,late up & late down
TSTD3,late down,gradual down,late down & gradual down
CCNC,gradual up,gradual down,gradual up & gradual down
COQ3,late down,late up,late down & late up
FAXC,flat,late up,flat & late up
LOC103241026,flat,late down,flat & late down
FBXL4,flat,late down,flat & late down
LOC103240698,gradual down,late up,gradual down & late up
MMS22L,gradual down,flat,gradual down & flat
NDUFAF4,gradual down,late up,gradual down & late up
GPR63,late up,gradual down,late up & gradual down
UFL1,flat,late down,flat & late down
ULBP3,gradual down,late down,gradual down & late down
PPP1R14C,gradual down,gradual up,gradual down & gradual up
PLEKHG1,gradual down,gradual down,gradual down & gradual down
MTHFD1L,late down,late down,late down & late down
AKAP12,gradual down,gradual down,gradual down & gradual down
ZBTB2,late down,late up,late down & late up
RMND1,late down,late up,late down & late up
C13H6orf211,gradual down,late up,gradual down & late up
ESR1,gradual up,late down,gradual up & late down
SYNE1,gradual down,gradual down,gradual down & gradual down
FBXO5,late down,late down,late down & late down
MTRF1L,gradual up,late up,gradual up & late up
RGS17,late up,late up,late up & late up
IPCEF1,gradual up,gradual down,gradual up & gradual down
CNKSR3,late down,gradual up,late down & gradual up
SCAF8,gradual up,late up,gradual up & late up
TIAM2,gradual down,late up,gradual down & late up
TFB1M,flat,late up,flat & late up
ARID1B,gradual up,flat,gradual up & flat
LOC103240781,late down,late up,late down & late up
TMEM242,late down,late down,late down & late down
LOC103240784,late down,late down,late down & late down
ZDHHC14,late up,late down,late up & late down
SNX9,flat,late up,flat & late up
SYNJ2,late down,late down,late down & late down
SERAC1,late up,gradual up,late up & gradual up
LOC103241034,late up,late up,late up & late up
TULP4,gradual down,gradual down,gradual down & gradual down
TMEM181,flat,flat,flat & flat
DYNLT1,gradual down,late up,gradual down & late up
SYTL3,late up,late down,late up & late down
EZR,late down,gradual down,late down & gradual down
RSPH3,gradual up,gradual up,gradual up & gradual up
FNDC1,late down,late down,late down & late down
SOD2,late up,late up,late up & late up
LOC103241037,gradual up,gradual up,gradual up & gradual up
WTAP,flat,late up,flat & late up
ACAT2,gradual down,gradual down,gradual down & gradual down
TCP1,late down,late down,late down & late down
MRPL18,late down,late down,late down & late down
IGF2R,gradual down,flat,gradual down & flat
MAP3K4,late up,late down,late up & late down
AGPAT4,late up,gradual up,late up & gradual up
PARK2,gradual down,gradual up,gradual down & gradual up
LOC103240861,late down,gradual up,late down & gradual up
PACRG,gradual down,gradual down,gradual down & gradual down
QKI,late down,late down,late down & late down
LOC103240870,flat,late down,flat & late down
PDE10A,late up,late down,late up & late down
PRR18,flat,late up,flat & late up
SFT2D1,late up,late down,late up & late down
MPC1,late down,late up,late down & late up
RPS6KA2,gradual down,gradual down,gradual down & gradual down
RNASET2,late down,gradual up,late down & gradual up
FGFR1OP,late up,gradual down,late up & gradual down
MLLT4,gradual up,late down,gradual up & late down
KIF25,late up,gradual down,late up & gradual down
FRMD1,late up,flat,late up & flat
SMOC2,flat,late up,flat & late up
THBS2,gradual down,flat,gradual down & flat
WDR27,gradual down,late up,gradual down & late up
C13H6orf120,late down,late up,late down & late up
ERMARD,gradual down,late up,gradual down & late up
PDCD2,gradual down,gradual up,gradual down & gradual up
PSMB1,late down,late up,late down & late up
FAM120B,gradual down,late down,gradual down & late down
DLL1,late up,late up,late up & late up
LOC103240987,late down,late up,late down & late up
