gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,expression_pattern,accessibility_pattern,combined_pattern,combined_label
RPSA,-0.36314329202643,-0.237229535390906,-1.0002423776395,-7.196700000000003,-10.6133,5.512790000000001,"['down', 'down', 'down']","['down', 'down', 'up']","['decrease', 'decrease', 'expr_down_acc_up']","[['down', 'down'], ['down', 'down'], ['down', 'up']]","['down/down , decrease', 'down/down , decrease', 'down/up , expr_down_acc_up']","['down/down', 'down/down', 'down/up']",0,2,0,0,0,0,0,0,1,mixed,late down,late up,late down & late up,late down & late up | mixed
SLC25A38,1.07863083365189,0.446359569141736,-0.758682458715874,-14.5165,9.68012,1.95845,"['up', 'up', 'down']","['down', 'up', 'up']","['expr_up_acc_down', 'increase', 'expr_down_acc_up']","[['up', 'down'], ['up', 'up'], ['down', 'up']]","['up/down , expr_up_acc_down', 'up/up , increase', 'down/up , expr_down_acc_up']","['up/down', 'up/up', 'down/up']",1,0,0,0,0,0,0,1,1,conflict,gradual down,late down,gradual down & late down,gradual down & late down | conflict
XIRP1,-1.04219517840844,-0.26936059675196,-1.35924000425518,0.5811000000000002,-0.4190599999999995,-0.6166699999999996,"['down', 'down', 'down']","['up', 'down', 'down']","['expr_down_acc_up', 'decrease', 'decrease']","[['down', 'up'], ['down', 'down'], ['down', 'down']]","['down/up , expr_down_acc_up', 'down/down , decrease', 'down/down , decrease']","['down/up', 'down/down', 'down/down']",0,2,0,0,0,0,0,0,1,mixed,late down,flat,late down & flat,late down & flat | mixed
CSRNP1,-0.555006606165323,-0.726742441908552,-0.687836783036305,1.6433600000000013,-28.75156,5.032210000000001,"['down', 'down', 'down']","['up', 'down', 'up']","['expr_down_acc_up', 'decrease', 'expr_down_acc_up']","[['down', 'up'], ['down', 'down'], ['down', 'up']]","['down/up , expr_down_acc_up', 'down/down , decrease', 'down/up , expr_down_acc_up']","['down/up', 'down/down', 'down/up']",0,1,0,0,0,0,0,0,2,conflict,late up,late up,late up & late up,late up & late up | conflict
TTC21A,0.0134719080137654,0.57393282261209,0.597427264483579,0.3881699999999997,-0.4190599999999995,-0.1360899999999998,"['flat', 'up', 'up']","['up', 'down', 'flat']","['acc_only_up', 'expr_up_acc_down', 'expr_only_up']","[['flat', 'up'], ['up', 'down'], ['up', 'flat']]","['flat/up , acc_only_up', 'up/down , expr_up_acc_down', 'up/flat , expr_only_up']","['flat/up', 'up/down', 'up/flat']",0,0,0,1,0,1,0,1,0,expression_only,flat,flat,flat & flat,flat & flat | expression_only
GORASP1,-0.303314768126205,-0.323567172265056,-0.0314895485027408,-14.893099999999995,20.26374,-1.88615,"['down', 'down', 'down']","['down', 'up', 'down']","['decrease', 'expr_down_acc_up', 'decrease']","[['down', 'down'], ['down', 'up'], ['down', 'down']]","['down/down , decrease', 'down/up , expr_down_acc_up', 'down/down , decrease']","['down/down', 'down/up', 'down/down']",0,2,0,0,0,0,0,0,1,mixed,flat,late down,flat & late down,flat & late down | mixed
WDR48,-0.125578054482155,0.355176372408667,0.814155834209463,-1.4366000000000003,7.26079,2.28486,"['down', 'up', 'up']","['down', 'up', 'up']","['decrease', 'increase', 'increase']","[['down', 'down'], ['up', 'up'], ['up', 'up']]","['down/down , decrease', 'up/up , increase', 'up/up , increase']","['down/down', 'up/up', 'up/up']",2,1,0,0,0,0,0,0,0,mixed,gradual up,late down,gradual up & late down,gradual up & late down | mixed
SCN10A,-0.265703534968182,0.0739429901082747,-1.78363344133721,2.3174600000000005,-1.3824099999999993,1.47788,"['down', 'up', 'down']","['up', 'down', 'up']","['expr_down_acc_up', 'expr_up_acc_down', 'expr_down_acc_up']","[['down', 'up'], ['up', 'down'], ['down', 'up']]","['down/up , expr_down_acc_up', 'up/down , expr_up_acc_down', 'down/up , expr_down_acc_up']","['down/up', 'up/down', 'down/up']",0,0,0,0,0,0,0,1,2,conflict,late down,late up,late down & late up,late down & late up | conflict
SCN5A,2.41676123372716,2.2687467172915,2.74930442101183,4.144550000000001,1.57574,-0.2902599999999999,"['up', 'up', 'up']","['up', 'up', 'down']","['increase', 'increase', 'expr_up_acc_down']","[['up', 'up'], ['up', 'up'], ['up', 'down']]","['up/up , increase', 'up/up , increase', 'up/down , expr_up_acc_down']","['up/up', 'up/up', 'up/down']",2,0,0,0,0,0,0,1,0,mixed,late up,gradual down,late up & gradual down,late up & gradual down | mixed
EXOG,0.371234032047749,-0.866270482910974,0.387082505273112,-7.022290000000001,0.6749799999999997,-7.807219999999999,"['up', 'down', 'up']","['down', 'up', 'down']","['expr_up_acc_down', 'expr_down_acc_up', 'expr_up_acc_down']","[['up', 'down'], ['down', 'up'], ['up', 'down']]","['up/down , expr_up_acc_down', 'down/up , expr_down_acc_up', 'up/down , expr_up_acc_down']","['up/down', 'down/up', 'up/down']",0,0,0,0,0,0,0,2,1,conflict,late up,late down,late up & late down,late up & late down | conflict
