gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss
LOC103244006,2.66144867710189,0.436651451988906,-0.6252329205731,,,
PARD6G,0.0109627467275997,-0.395519918514375,-1.14092662344295,-2.49885,-0.5387899999999997,-3.17371
LOC103244007,0.749830626709727,1.45996367406968,1.11396563915496,5.011550000000001,-4.705290000000001,-0.44442000000000004
ADNP2,0.577251285062917,0.676496773435128,1.01446001707443,1.1575899999999995,-0.35919999999999996,2.7654300000000003
RBFA,0.239633571383984,-0.19891732765166,-0.537193238886199,-0.47886000000000006,-0.66127,1.1514600000000002
TXNL4A,0.367282676994251,0.435142419281784,-0.263349082684328,11.7619,2.795,-5.8668700000000005
HSBP1L1,-0.765407843142496,-0.273957200336878,-1.495487652763,1.352829999999999,-1.07756,-2.5389699999999995
PQLC1,0.835842323760058,0.936429717687502,1.13321651109603,2.2175499999999997,-4.8903300000000005,-2.21256
LOC103244018,,,,,0.9117199999999999,-1.5778199999999996
KCNG2,,,,0.6764099999999997,1.2138,3.7446599999999997
LOC103244244,0.0,2.56952512592658,0.0,-0.7671000000000001,1.03145,
LOC103244016,,,,,-2.0491699999999993,0.3625600000000002
LOC103244015,,,,,-2.0491699999999993,0.3625600000000002
LOC103244021,,,,0.0023100000000000342,-0.11697999999999986,-1.5778199999999996
CTDP1,,,,-0.9600300000000002,-0.41905999999999954,-1.5778199999999996
CRIPAK,,,,,-3.4398199999999997,
LOC103244029,-0.700349633739026,-2.15291935972972,-0.757529655229753,-4.616460000000001,0.6695100000000007,-3.0195399999999997
NFATC1,0.600953257888533,0.661983644548603,1.18836794362873,0.19523999999999964,0.42730000000000024,-0.5985899999999997
LOC103244027,0.444202863797854,-2.04184170518027,-3.12506136934005,1.1575899999999995,1.5158799999999997,-0.5985899999999997
LOC103244026,,,,,0.7293700000000003,
LOC103244025,0.409560766683669,1.53426975079211,3.6007718237739,,,
ATP9B,0.880623132110829,-0.924487388821054,2.35334642177899,-1.4411999999999998,3.14873,-1.0972399999999998
SALL3,,,,0.6764099999999997,0.9715900000000004,-0.29025999999999996
LOC103244247,-0.166432778563208,0.640184845542355,0.449643959231963,,,
LOC103244036,,,,,,
LOC103244037,-0.225295438401181,0.0061143397602359,-0.034845150767447,,,
LOC103244041,0.511684684129161,0.927360988019399,1.0953943047313,,,
LOC103244043,0.676753251344636,0.0,0.0,0.48348999999999975,,
GALR1,0.0,0.0,2.40178883633417,,-0.11697999999999986,
MBP,0.0,0.0,-0.61111222999873,3.1798999999999995,2.2424999999999997,-1.7139099999999994
LOC103244047,0.950714905962131,0.407005947696107,1.05333274524692,,-0.66127,
LOC103244046,1.30231060719073,0.880323458688555,0.444143322844028,,,
ZNF236,0.305204164341509,0.297161659133298,0.283804744509148,3.8539999999999996,0.5470299999999999,0.1903100000000002
LOC103244057,,,,,,
LOC103244058,0.0,2.05196614340946,3.39606437972717,5.10917,-2.470979999999999,
ZNF516,0.328357587236518,0.43059868912382,0.70208738293441,-12.026990000000001,-1.8042200000000008,-4.13486
LOC103244062,2.34152593798315,-0.67550603862736,-1.35937501102573,,,
LOC103244059,0.904676072397907,0.501358694780432,1.42539356559259,0.6764099999999997,-0.05712000000000028,-0.13608999999999982
LOC103244063,1.42776761948958,0.0,3.39604232373565,,,
LOC103244067,,,,,,
LOC103244070,,,,,,
LOC103244071,0.0,3.24850296360741,0.0,-6.92468,-3.6792800000000003,
LOC103244075,-0.629178268471249,-0.809543389892544,-0.476247883339885,,,
LOC103244076,,,,,1.2736600000000005,
TSHZ1,0.39559147546154,0.670069039231874,0.318122797611537,0.48348999999999975,1.09132,-0.13608999999999982
ZADH2,,,,0.7740399999999994,-0.4789300000000001,-1.5778199999999996
LOC103244077,0.292674792149122,0.304088626620507,0.514832225570985,,,
ZNF407,0.112512244307153,0.409975278390347,0.750712126854569,4.5281,-0.5387899999999997,-0.29025999999999996
LOC103244249,1.07235433859102,-0.0078118120750589,1.01064294902308,-7.40357,1.0995999999999988,
CNDP1,0.0,0.0,2.41140573898208,-3.46119,-0.66127,0.036150000000000126
CNDP2,-0.362972825057419,-0.46199543573801,-0.781699782887095,5.8763000000000005,0.7293700000000003,-1.5778199999999996
FAM69C,-0.233764811969763,4.07883957808659,1.372536962553,,,
C18H18orf63,0.694606484350509,3.22517232780258,0.957221921528574,-0.47886000000000006,-1.5675000000000003,
LOC103244088,-0.542945177738809,-0.282289091204822,-1.84790622238367,36.4038,-13.2013,-23.64807
LOC103244087,0.0,2.49167059581469,3.99228815724811,,,
LOC103244090,,,,,,
LOC103244250,,,,0.0023100000000000342,,
TIMM21,0.0296015516539521,0.352088492004852,0.0384858597232817,-0.47886000000000006,10.34966,1.6501100000000006
FBXO15,0.356633834572133,-0.509927627865395,-2.94793230145465,3.7609699999999995,10.34966,1.6501100000000006
LOC103244091,,,,5.59034,-2.1689000000000007,-1.25141
LOC103244096,,,,2.02461,-3.74189,
NETO1,0.343875758992841,-0.732221297940971,-0.992920659307946,0.00462999999999969,1.03145,-0.6166699999999996
CBLN2,-0.333191690619825,-1.48573459239359,-2.75924660594191,-8.656480000000002,-6.15577,-7.82527
LOC103244105,1.71416711770447,0.228731899061159,0.595483194165719,,,
LOC103244111,-0.0567544929338952,-0.183937959258515,-0.166874221597622,,,
GTSCR1,,,,-3.17295,-2.47373,
LOC103244109,1.32665562124262,-0.668105245974828,3.39634040580773,,,
SOCS6,0.540449748549167,0.779113004323849,0.92356637619528,-4.32822,-2.7758,0.5167299999999999
RTTN,1.08710354426922,1.22789497068463,1.29143836250226,-36.9456,-17.9856,-0.42634999999999934
CD226,2.82826405110631,1.66023594398931,1.73950245722006,,,
DOK6,0.146250241444832,-0.342411688245117,-1.32561110004682,-1.0553400000000002,0.1850900000000002,-2.0583899999999997
LOC103244119,-0.109339893407628,0.809316098034272,-0.237313114837058,-6.345880000000001,0.6096499999999994,
CCDC102B,-0.81631527195397,0.162814137978558,-0.327909590187977,-3.265979999999999,-6.640140000000001,
TMX3,0.164656464189765,-0.0529047969177778,-0.324358651057262,-5.267400000000002,-13.876299999999997,-15.804749999999999
LOC103244131,-0.537625937607279,0.222364454385597,-1.55908747686207,9.346699999999998,-3.37996,-2.5389699999999995
DSEL,-0.228300352156193,-0.775137267737055,-1.18996872975311,-2.201400000000003,2.66706,0.5167299999999999
CDH19,0.679779915811115,2.54237586927688,2.41087329035499,,,
CDH7,2.53199757767696,2.73565029922718,4.41323139022712,,,
SERPINB8,-0.487298605626844,-0.264999595387833,-0.568535623349732,0.48348999999999975,2.4220999999999995,1.4778799999999999
HMSD,-0.102873289370566,-0.620807549499839,-0.63092917189484,-2.3896000000000015,-0.8408699999999998,2.4571000000000005
LOC103244252,,,,,,
LOC103244150,1.21189879191853,2.0209300353376,2.06875795316929,,-0.4789300000000001,-0.13608999999999982
SERPINB7,1.94772962282826,1.01563991363331,0.952559431376646,1.64107,0.06536000000000008,
SERPINB13,-3.53517932805067,-1.70956958072769,-1.35411895003341,3.85628,-1.50488,
SERPINB12,-0.618238573430493,-1.71868334418238,-0.619430599898314,-13.27749,-15.582720000000002,
SERPINB5,,,,,,
VPS4B,,,,-47.0479,-31.581699999999998,-11.117
KDSR,0.463500138230842,0.532145793339855,0.469269836488703,-58.79348,-35.5033,-38.083420000000004
BCL2,-1.33699623908746,-1.97760535655767,-2.20891632355454,-2.6894799999999996,2.7241799999999996,-1.0972399999999998
LOC103244165,0.0,0.0,0.957402987681126,0.48348999999999975,,
LOC103244168,2.65138032405056,0.821487383554904,-0.267943096148821,,0.5470299999999999,-0.13608999999999982
PHLPP1,-0.0125177778429353,0.196201726955241,0.06270303548326,1.1575899999999995,1.8179499999999997,8.58653
LOC103244169,,,,,,
LOC103244253,3.0513703913774,0.662394419295118,1.96541551850252,,-1.3252900000000003,-0.9249999999999998
ZCCHC2,0.380408193486757,0.659724998002827,0.898816960759641,-10.9601,-11.77544,-4.28902
TNFRSF11A,0.392577171939238,0.121590161066842,0.0778846792639302,-4.130699999999999,-7.5464400000000005,-3.0195399999999997
KIAA1468,0.788658985301704,0.705957082918531,1.15896207021444,47.48236,32.05849,8.2601
PIGN,0.343325741605127,0.273178471746068,0.175285639292468,50.36938,33.56886,-25.8607
RNF152,-0.907337246825135,-0.498764622256691,-0.243263152662588,-1.9223700000000004,-0.66127,-0.13608999999999982
LOC103244180,,,,-4.9047,1.8778100000000002,
LOC103244179,0.0,0.0,2.40178883633417,0.19523999999999964,,
CDH20,3.04323239929963,1.89571724820444,-0.943632451803944,2.69872,0.3674300000000006,3.5724100000000005
MC4R,0.0,2.05129431190306,0.0,,-1.2028100000000004,
PLEKHB2,0.0,-0.814513108826019,0.0,,,
PMAIP1,0.392707689718146,0.583917741742524,0.487920746632063,-3.36358,-0.17685999999999957,2.629340000000001
CCBE1,1.76489676881776,0.66516919467918,0.968461706636506,-1.4388800000000002,-0.23672000000000004,-3.32787
LOC103244197,,,,,,
LOC103244196,,,,14.639579999999999,0.24494999999999978,-9.575299999999999
LOC103244195,,,,,,
LMAN1,-0.159523398519678,-0.451037675245668,-0.983893511943047,13.8749,-17.87686,-3.5001199999999995
CPLX4,2.13580851248309,1.97299653242641,2.30993037778495,-14.33288,-18.663330000000002,0.67089
RAX,2.91868624208045,3.06912576600395,1.95380982749085,,0.7293700000000003,-1.5778199999999996
GRP,,,,-9.80937,-5.91359,
SEC11C,-0.188062987100094,0.0824346419504558,-0.387008404417942,-26.46209,10.466640000000002,-15.188089999999999
LOC103244205,2.32927948648223,2.4300612052939,-3.47412247601043,-9.714080000000001,-10.145319999999998,-8.305869999999999
ZNF532,0.21250387462321,0.147045100014476,0.1412859634163,-3.0753199999999996,-5.5543499999999995,-3.5001199999999995
MALT1,-0.274208649379643,-0.634130880161598,-0.878129735531644,1.8316899999999996,3.8127500000000003,1.1514600000000002
ALPK2,-1.3376563303725,-2.84885304287541,-4.37820744030465,0.48580000000000023,2.54457,-5.71265
LOC103244212,,,,,,
LOC103244211,0.676732413818782,0.0,-0.492158132697007,0.6764099999999997,1.03145,-0.29025999999999996
NEDD4L,-0.626920817032508,-0.495160137510092,-0.581501463511681,-21.432000000000002,-25.589099999999995,1.1514600000000002
LOC103244216,,,,-10.29057,-12.56192,-3.0195399999999997
