gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,expression_pattern,accessibility_pattern,combined_pattern,combined_label,expr_peak_time,expr_amplitude,expr_num_inflections,expr_rise_duration,expr_fall_duration
MYRIP,-0.573216356848628,3.8944000632834,-0.0358941220865462,4.5281,0.4871699999999999,1.47788,"['down', 'up', 'flat']","['up', 'up', 'up']","['expr_down_acc_up', 'increase', 'acc_only_up']","[['down', 'up'], ['up', 'up'], ['flat', 'up']]","['down/up , expr_down_acc_up', 'up/up , increase', 'flat/up , acc_only_up']","['down/up', 'up/up', 'flat/up']",1,0,0,0,0,1,0,0,1,mixed,complex/other,flat,complex/other & flat,complex/other & flat | mixed,18.18181818181818,4.471901876119928,1,6.18181818181818,0.0
EIF1B,-0.181680842553674,0.479374213662179,0.271990196649354,-42.24309,-20.5818,5.050330000000001,"['flat', 'up', 'flat']","['down', 'down', 'up']","['acc_only_down', 'expr_up_acc_down', 'acc_only_up']","[['flat', 'down'], ['up', 'down'], ['flat', 'up']]","['flat/down , acc_only_down', 'up/down , expr_up_acc_down', 'flat/up , acc_only_up']","['flat/down', 'up/down', 'flat/up']",0,0,0,0,0,1,1,1,0,accessibility_only,noise,noise,noise & noise,noise & noise | accessibility_only,19.515151515151516,0.690647006081151,1,7.515151515151516,0.0
ENTPD3,0.115294086496494,-1.46939782242593,-2.79572364906392,-0.9600300000000002,-9.1793,-6.86417,"['flat', 'down', 'down']","['down', 'down', 'down']","['acc_only_down', 'decrease', 'decrease']","[['flat', 'down'], ['down', 'down'], ['down', 'down']]","['flat/down , acc_only_down', 'down/down , decrease', 'down/down , decrease']","['flat/down', 'down/down', 'down/down']",0,2,0,0,0,0,1,0,0,mixed,noise,noise,noise & noise,noise & noise | mixed,12.0,2.911017735560414,0,0.0,12.0
RPL14,-0.869612332013264,-0.409850110432286,-1.42669485383497,5.978499999999999,9.075960000000002,-4.76959,"['down', 'down', 'down']","['up', 'up', 'down']","['expr_down_acc_up', 'expr_down_acc_up', 'decrease']","[['down', 'up'], ['down', 'up'], ['down', 'down']]","['down/up , expr_down_acc_up', 'down/up , expr_down_acc_up', 'down/down , decrease']","['down/up', 'down/up', 'down/down']",0,1,0,0,0,0,0,0,2,conflict,noise,noise,noise & noise,noise & noise | conflict,16.848484848484848,1.043108242493977,1,0.0,7.151515151515152
ZNF620,0.276123753102323,0.608311676926477,1.07493323267113,-4.128400000000001,-8.262099999999998,-2.34864,"['flat', 'up', 'up']","['down', 'down', 'down']","['acc_only_down', 'expr_up_acc_down', 'expr_up_acc_down']","[['flat', 'down'], ['up', 'down'], ['up', 'down']]","['flat/down , acc_only_down', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['flat/down', 'up/down', 'up/down']",0,0,0,0,0,0,1,2,0,conflict,complex/other,brief dip,complex/other & brief dip,complex/other & brief dip | conflict,24.0,0.7988094795688071,0,12.0,0.0
ZNF621,1.3440438169655,1.28321061841671,2.01177731511501,-4.128400000000001,-8.262099999999998,-3.96261,"['up', 'up', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_up_acc_down']","[['up', 'down'], ['up', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['up/down', 'up/down', 'up/down']",0,0,0,0,0,0,0,3,0,conflict,complex/other,brief dip,complex/other & brief dip,complex/other & brief dip | conflict,24.0,0.7991385284031516,1,8.484848484848484,0.0
CTNNB1,-0.425553862219833,-0.621676779259347,-0.880460613823159,-35.794979999999995,-5.238599999999998,-11.80594,"['down', 'down', 'down']","['down', 'down', 'down']","['decrease', 'decrease', 'decrease']","[['down', 'down'], ['down', 'down'], ['down', 'down']]","['down/down , decrease', 'down/down , decrease', 'down/down , decrease']","['down/down', 'down/down', 'down/down']",0,3,0,0,0,0,0,0,0,expr_acc_down,late down,noise,late down & noise,late down & noise | expr_acc_down,12.0,0.45490675160332605,0,0.0,12.0
LOC103227445,0.0,2.05129431190306,0.0,-35.794979999999995,-5.238599999999998,-11.80594,"['flat', 'up', 'flat']","['down', 'down', 'down']","['acc_only_down', 'expr_up_acc_down', 'acc_only_down']","[['flat', 'down'], ['up', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'up/down , expr_up_acc_down', 'flat/down , acc_only_down']","['flat/down', 'up/down', 'flat/down']",0,0,0,0,0,0,2,1,0,accessibility_only,noise,noise,noise & noise,noise & noise | accessibility_only,17.939393939393938,2.051085017513518,1,0.0,6.060606060606062
ULK4,0.0042621615831994,-0.525075229028414,-0.469182854915117,0.3904899999999989,0.5497800000000002,-1.0972399999999998,"['flat', 'down', 'down']","['up', 'up', 'down']","['acc_only_up', 'expr_down_acc_up', 'decrease']","[['flat', 'up'], ['down', 'up'], ['down', 'down']]","['flat/up , acc_only_up', 'down/up , expr_down_acc_up', 'down/down , decrease']","['flat/up', 'down/up', 'down/down']",0,1,0,0,0,1,0,0,1,mixed,noise,flat,noise & flat,noise & flat | mixed,12.0,0.577186696165337,1,0.0,8.484848484848484
LOC103227446,-1.9035827607063,0.0,3.40453767486759,41.1341,31.63389,-29.8594,"['down', 'flat', 'up']","['up', 'up', 'down']","['expr_down_acc_up', 'acc_only_up', 'expr_up_acc_down']","[['down', 'up'], ['flat', 'up'], ['up', 'down']]","['down/up , expr_down_acc_up', 'flat/up , acc_only_up', 'up/down , expr_up_acc_down']","['down/up', 'flat/up', 'up/down']",0,0,0,0,0,1,0,1,1,conflict,noise,noise,noise & noise,noise & noise | conflict,24.0,5.3081204355738905,0,12.0,0.0
LOC103228627,0.14167876327596,0.319413968537166,0.294690396713611,-1.0553400000000002,0.3674300000000006,-0.6166699999999996,"['flat', 'up', 'flat']","['down', 'up', 'down']","['acc_only_down', 'increase', 'acc_only_down']","[['flat', 'down'], ['up', 'up'], ['flat', 'down']]","['flat/down , acc_only_down', 'up/up , increase', 'flat/down , acc_only_down']","['flat/down', 'up/up', 'flat/down']",1,0,0,0,0,0,2,0,0,accessibility_only,complex/other,flat,complex/other & flat,complex/other & flat | accessibility_only,20.242424242424242,0.19218860529452295,1,8.242424242424242,0.0
TRAK1,0.090803660905338,0.133989568852483,0.133523521321005,-6.348190000000001,-4.58826,-2.21256,"['flat', 'flat', 'flat']","['down', 'down', 'down']","['acc_only_down', 'acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down', 'flat/down']",0,0,0,0,0,0,3,0,0,accessibility_only,noise,noise,noise & noise,noise & noise | accessibility_only,20.96969696969697,0.04841117566330799,1,8.969696969696969,0.0
VIPR1,3.60628537153665,-0.355444012917096,4.98457068058194,-2.40354,-0.66127,-0.9249999999999998,"['up', 'down', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'decrease', 'expr_up_acc_down']","[['up', 'down'], ['down', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'down/down , decrease', 'up/down , expr_up_acc_down']","['up/down', 'down/down', 'up/down']",0,1,0,0,0,0,0,2,0,conflict,noise,flat,noise & flat,noise & flat | conflict,24.0,5.365489964356535,1,6.424242424242422,0.0
SEC22C,0.289827340453631,0.18535497587797,-0.254822156736894,-11.341199999999995,15.24544,-10.67257,"['flat', 'flat', 'flat']","['down', 'up', 'down']","['acc_only_down', 'acc_only_up', 'acc_only_down']","[['flat', 'down'], ['flat', 'up'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/up , acc_only_up', 'flat/down , acc_only_down']","['flat/down', 'flat/up', 'flat/down']",0,0,0,0,0,1,2,0,0,accessibility_only,noise,noise,noise & noise,noise & noise | accessibility_only,13.09090909090909,0.5506242979482794,1,0.0,10.90909090909091
SS18L2,-0.248159856969289,-0.0047816767883712,-0.0154255324551705,-0.1882999999999999,-1.981,-5.55854,"['flat', 'flat', 'flat']","['flat', 'down', 'down']","['neutral', 'acc_only_down', 'acc_only_down']","[['flat', 'flat'], ['flat', 'down'], ['flat', 'down']]","['flat/flat , neutral', 'flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/flat', 'flat/down', 'flat/down']",0,0,1,0,0,0,2,0,0,accessibility_only,noise,brief dip,noise & brief dip,noise & brief dip | accessibility_only,20.727272727272727,0.27003039899118053,1,8.727272727272727,0.0
NKTR,0.603663004754211,0.470063598981305,0.931550813121805,-13.049799999999998,-20.6306,-20.8827,"['up', 'up', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_up_acc_down']","[['up', 'down'], ['up', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['up/down', 'up/down', 'up/down']",0,0,0,0,0,0,0,3,0,conflict,complex/other,gradual down,complex/other & gradual down,complex/other & gradual down | conflict,24.0,0.4840678674335164,1,7.636363636363637,0.0
LOC103227465,0.608916016487459,0.263974775380139,0.835943504004715,15.02784,3.2113400000000007,-5.902989999999999,"['up', 'flat', 'up']","['up', 'up', 'down']","['increase', 'acc_only_up', 'expr_up_acc_down']","[['up', 'up'], ['flat', 'up'], ['up', 'down']]","['up/up , increase', 'flat/up , acc_only_up', 'up/down , expr_up_acc_down']","['up/up', 'flat/up', 'up/down']",1,0,0,0,0,1,0,1,0,mixed,noise,noise,noise & noise,noise & noise | mixed,24.0,0.5789693709850503,1,6.787878787878789,0.0
ZBTB47,0.0533772959217445,-0.661768589435336,-0.291515084485333,-1.0553400000000002,2.000290000000001,-0.44442,"['flat', 'down', 'flat']","['down', 'up', 'down']","['acc_only_down', 'expr_down_acc_up', 'acc_only_down']","[['flat', 'down'], ['down', 'up'], ['flat', 'down']]","['flat/down , acc_only_down', 'down/up , expr_down_acc_up', 'flat/down , acc_only_down']","['flat/down', 'down/up', 'flat/down']",0,0,0,0,0,0,2,0,1,accessibility_only,noise,noise,noise & noise,noise & noise | accessibility_only,12.0,0.7288154253063415,1,0.0,6.90909090909091
HHATL,0.696847545291171,3.67875255161982,4.41252533050156,2.02461,0.5470299999999999,0.67089,"['up', 'up', 'up']","['up', 'up', 'up']","['increase', 'increase', 'increase']","[['up', 'up'], ['up', 'up'], ['up', 'up']]","['up/up , increase', 'up/up , increase', 'up/up , increase']","['up/up', 'up/up', 'up/up']",3,0,0,0,0,0,0,0,0,expr_acc_up,noise,noise,noise & noise,noise & noise | expr_acc_up,22.90909090909091,3.749480999356041,1,10.90909090909091,0.0
