gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,expression_pattern,accessibility_pattern,combined_pattern,combined_label
RGMB,0.338364564122161,-0.373640338524572,-0.693618011850487,6.069230000000001,7.078460000000001,2.6112600000000006,"['up', 'down', 'down']","['up', 'up', 'up']","['increase', 'expr_down_acc_up', 'expr_down_acc_up']","[['up', 'up'], ['down', 'up'], ['down', 'up']]","['up/up , increase', 'down/up , expr_down_acc_up', 'down/up , expr_down_acc_up']","['up/up', 'down/up', 'down/up']",1,0,0,0,0,0,0,0,2,conflict,noise,noise,noise & noise,noise & noise | conflict
LOC103244262,2.53617873241949,-1.7113328206032,0.958740811829805,2.41048,0.3075699999999992,3.4363200000000003,"['up', 'down', 'up']","['up', 'flat', 'up']","['increase', 'expr_only_down', 'increase']","[['up', 'up'], ['down', 'flat'], ['up', 'up']]","['up/up , increase', 'down/flat , expr_only_down', 'up/up , increase']","['up/up', 'down/flat', 'up/up']",2,0,0,0,1,0,0,0,0,mixed,noise,late down,noise & late down,noise & late down | mixed
CHD1,0.243191773934315,0.842321904704229,0.934514272329664,0.1975600000000001,1.33352,-3.01954,"['up', 'up', 'up']","['flat', 'up', 'down']","['expr_only_up', 'increase', 'expr_up_acc_down']","[['up', 'flat'], ['up', 'up'], ['up', 'down']]","['up/flat , expr_only_up', 'up/up , increase', 'up/down , expr_up_acc_down']","['up/flat', 'up/up', 'up/down']",1,0,0,1,0,0,0,1,0,mixed,flat,late down,flat & late down,flat & late down | mixed
FAM174A,-0.182598339061519,-0.0815462952267113,-0.583269616261068,17.81955,-0.7183899999999994,1.4959500000000006,"['down', 'flat', 'down']","['up', 'flat', 'up']","['expr_down_acc_up', 'neutral', 'expr_down_acc_up']","[['down', 'up'], ['flat', 'flat'], ['down', 'up']]","['down/up , expr_down_acc_up', 'flat/flat , neutral', 'down/up , expr_down_acc_up']","['down/up', 'flat/flat', 'down/up']",0,0,1,0,0,0,0,0,2,conflict,flat,late down,flat & late down,flat & late down | conflict
ST8SIA4,-0.651677493319626,-0.203324216203109,-1.31288926791406,-5.476600000000001,1.87781,-6.05719,"['down', 'down', 'down']","['down', 'up', 'down']","['decrease', 'expr_down_acc_up', 'decrease']","[['down', 'down'], ['down', 'up'], ['down', 'down']]","['down/down , decrease', 'down/up , expr_down_acc_up', 'down/down , decrease']","['down/down', 'down/up', 'down/down']",0,2,0,0,0,0,0,0,1,mixed,flat,brief spike,flat & brief spike,flat & brief spike | mixed
SLCO4C1,1.30338360976455,1.0633784551068,1.54729776700831,-14.425900000000002,-24.82456,-14.22689,"['up', 'up', 'up']","['down', 'down', 'down']","['expr_up_acc_down', 'expr_up_acc_down', 'expr_up_acc_down']","[['up', 'down'], ['up', 'down'], ['up', 'down']]","['up/down , expr_up_acc_down', 'up/down , expr_up_acc_down', 'up/down , expr_up_acc_down']","['up/down', 'up/down', 'up/down']",0,0,0,0,0,0,0,3,0,conflict,flat,noise,flat & noise,flat & noise | conflict
LOC103244285,2.33704033509452,4.02172827770122,3.40460572890103,-9.909390000000002,1.2819000000000005,-5.57658,"['up', 'up', 'up']","['down', 'up', 'down']","['expr_up_acc_down', 'increase', 'expr_up_acc_down']","[['up', 'down'], ['up', 'up'], ['up', 'down']]","['up/down , expr_up_acc_down', 'up/up , increase', 'up/down , expr_up_acc_down']","['up/down', 'up/up', 'up/down']",1,0,0,0,0,0,0,2,0,conflict,noise,noise,noise & noise,noise & noise | conflict
PAM,-0.851596594428637,-1.66111458647871,-2.43329703440179,-12.88938,-6.335319999999999,-3.30975,"['down', 'down', 'down']","['down', 'down', 'down']","['decrease', 'decrease', 'decrease']","[['down', 'down'], ['down', 'down'], ['down', 'down']]","['down/down , decrease', 'down/down , decrease', 'down/down , decrease']","['down/down', 'down/down', 'down/down']",0,3,0,0,0,0,0,0,0,expr_acc_down,flat,noise,flat & noise,flat & noise | expr_acc_down
GIN1,0.0889778495238599,-0.403044632801583,-0.594159552777955,-20.265100000000004,-55.94109,-21.998,"['flat', 'down', 'down']","['down', 'down', 'down']","['acc_only_down', 'decrease', 'decrease']","[['flat', 'down'], ['down', 'down'], ['down', 'down']]","['flat/down , acc_only_down', 'down/down , decrease', 'down/down , decrease']","['flat/down', 'down/down', 'down/down']",0,2,0,0,0,0,1,0,0,mixed,noise,noise,noise & noise,noise & noise | mixed
PPIP5K2,0.194679855449871,-0.23770481944932,-0.494918461015213,-20.265100000000004,-27.094,-21.998,"['up', 'down', 'down']","['down', 'down', 'down']","['expr_up_acc_down', 'decrease', 'decrease']","[['up', 'down'], ['down', 'down'], ['down', 'down']]","['up/down , expr_up_acc_down', 'down/down , decrease', 'down/down , decrease']","['up/down', 'down/down', 'down/down']",0,2,0,0,0,0,0,1,0,mixed,noise,brief dip,noise & brief dip,noise & brief dip | mixed
