gene_name,expression_pattern,accessibility_pattern,combined_pattern
MRPL57,gradual down,brief dip,gradual down & brief dip
SKA3,flat,brief dip,flat & brief dip
SAP18,flat,late down,flat & late down
XPO4,flat,late down,flat & late down
N6AMT2,flat,brief dip,flat & brief dip
IL17D,flat,late down,flat & late down
LOC103248962,flat,late down,flat & late down
CRYL1,flat,late down,flat & late down
GJB2,flat,late down,flat & late down
GJA3,noise,brief dip,noise & brief dip
ZMYM2,noise,late down,noise & late down
ZMYM5,flat,late down,flat & late down
PSPC1,noise,brief dip,noise & brief dip
MPHOSPH8,noise,late down,noise & late down
TPTE2,noise,late down,noise & late down
ZDHHC20,flat,late down,flat & late down
MICU2,flat,late down,flat & late down
LOC103248986,noise,brief dip,noise & brief dip
FGF9,noise,late down,noise & late down
SACS,flat,late down,flat & late down
TNFRSF19,gradual down,brief dip,gradual down & brief dip
LOC103249001,flat,brief dip,flat & brief dip
MIPEP,flat,late down,flat & late down
SPATA13,noise,brief dip,noise & brief dip
ATP12A,noise,late down,noise & late down
CENPJ,noise,noise,noise & noise
PARP4,flat,brief dip,flat & brief dip
NUPL1,flat,late down,flat & late down
ATP8A2,noise,late down,noise & late down
SHISA2,gradual down,noise,gradual down & noise
RNF6,flat,brief dip,flat & brief dip
LOC103214537,noise,late down,noise & late down
LOC103249045,noise,late down,noise & late down
USP12,noise,late down,noise & late down
RPL21,flat,late down,flat & late down
GTF3A,flat,brief dip,flat & brief dip
MTIF3,flat,brief dip,flat & brief dip
LNX2,flat,brief dip,flat & brief dip
LOC103249063,flat,late down,flat & late down
LOC103249062,flat,late down,flat & late down
URAD,noise,late down,noise & late down
FLT3,flat,noise,flat & noise
PAN3,noise,noise,noise & noise
FLT1,noise,late down,noise & late down
POMP,flat,brief dip,flat & brief dip
SLC46A3,noise,late down,noise & late down
MTUS2,noise,late down,noise & late down
SLC7A1,flat,late down,flat & late down
LOC103214540,flat,late down,flat & late down
KATNAL1,flat,brief dip,flat & brief dip
LOC103214225,flat,late down,flat & late down
LOC103214541,flat,late down,flat & late down
LOC103214542,flat,brief dip,flat & brief dip
