,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,A1BG,0.033979464,0,5.39771668,0,1,NA
2,A1CF,18.47154324,-0.095943098,0.504469729,-0.190186035,0.849163354,NA
3,A2ML1,0.449058853,0,4.278743552,0,1,NA
4,A3GALT2,14.29229634,1.602346784,0.668529583,2.396822556,0.01653793,NA
5,A4GALT,97.09951563,0.31003546,0.249935686,1.240460952,0.214804948,0.4895188
6,AACS,375.4790943,0.279350635,0.141365917,1.976081943,0.048145497,0.202484778
7,AADAC,0.204922014,0,5.39771668,0,1,NA
8,AADACL3,0,NA,NA,NA,NA,NA
9,AADACL4,0,NA,NA,NA,NA,NA
10,AADAT,110.834137,-0.028088513,0.224791568,-0.124953588,0.900560293,0.962043552
11,AAED1,221.3358142,-0.244569567,0.182100676,-1.343045908,0.179257109,0.44449679
12,AAGAB,292.4876885,-0.104079557,0.151968685,-0.684875027,0.493422786,0.738795781
13,AAK1,523.4087302,0.146863014,0.124796954,1.176815696,0.239269076,0.518512005
14,AAMDC,9.741866655,-0.228801613,0.685549178,-0.33374938,0.738568684,NA
15,AAMP,197.616265,-0.234479173,0.176159756,-1.331059824,0.183169327,0.44852185
16,AANAT,0.408336517,0.058802723,4.093985369,0.014363198,0.98854022,NA
17,AAR2,103.7270771,0.266398297,0.25220817,1.056263547,0.290847825,0.57198706
18,AARD,0,NA,NA,NA,NA,NA
19,AARS,370.0686158,0.044071855,0.13669828,0.322402413,0.747147856,0.892366698
20,AARS2,173.6948147,-0.381390672,0.191296938,-1.993710283,0.046183725,0.196144051
21,AASDH,0,NA,NA,NA,NA,NA
22,AASDHPPT,347.1820761,-0.246623596,0.151890324,-1.623695235,0.104440868,0.325918489
23,AASS,368.1342119,-0.051776767,0.141232372,-0.366606934,0.713912235,0.874161512
24,AATK,1.265798189,0,5.397716679,0,1,NA
25,ABAT,273.7317236,0.229219259,0.159686941,1.435428952,0.151164901,0.403987935
26,ABCA1,427.3751322,0.188918454,0.128423342,1.471060097,0.141274865,0.389426053
27,ABCA10,6.614722465,0.031713597,1.116503705,0.028404382,0.97733963,NA
28,ABCA12,6.534528289,-1.264054175,1.124981082,-1.123622605,0.261173162,NA
29,ABCA13,5.388469586,0.016776563,1.015057922,0.01652769,0.986813412,NA
30,ABCA2,409.6528116,0.615969386,0.158618845,3.883330422,0.000103035,0.002321451
31,ABCA3,342.3845634,0.376267411,0.141719772,2.655009986,0.007930606,0.061513272
32,ABCA4,76.50102479,0.427369027,0.279941422,1.526637335,0.126851218,0.365039935
33,ABCA5,47.15258732,0.282124128,0.364084549,0.774886296,0.438406851,0.698862581
34,ABCA6,1.418864131,-1.505810437,2.550350661,-0.590432704,0.55490059,NA
35,ABCA7,292.8207183,0.135004371,0.164884087,0.818783509,0.412909941,0.680582561
36,ABCA8,1.253811118,-3.341070655,2.359017762,-1.416297371,0.156688457,NA
37,ABCA9,0.782754328,2.756420642,2.985363655,0.923311516,0.355844888,NA
38,ABCB1,2613.729822,0.179891896,0.083573834,2.152490652,0.031358731,0.15444099
39,ABCB10,308.6565996,-0.251617535,0.164194038,-1.532440141,0.125413858,0.362416087
40,ABCB11,0.058296989,-1.46375283,5.373781521,-0.272387857,0.785323809,NA
41,ABCB4,68.21353526,0.721436129,0.322308547,2.238340046,0.025198888,0.133890993
42,ABCB5,0,NA,NA,NA,NA,NA
43,ABCB6,83.1967808,-0.060641433,0.280686669,-0.216046716,0.828951333,0.930568348
44,ABCB7,165.3106205,-0.680338073,0.199750153,-3.405945195,0.000659354,0.009956448
45,ABCB8,103.3270866,0.283911068,0.228725234,1.241275672,0.214503929,0.489281689
46,ABCB9,30.3409282,0.241608087,0.434380614,0.556212868,0.578065343,NA
47,ABCC1,0,NA,NA,NA,NA,NA
48,ABCC10,242.8094772,0.400059468,0.17937198,2.230334238,0.025725262,0.136178051
49,ABCC11,1.329268053,0,2.62729511,0,1,NA
50,ABCC12,0,NA,NA,NA,NA,NA
51,ABCC2,35.53801711,0.118143775,0.494106172,0.239106049,0.811023351,NA
52,ABCC4,2151.733868,0.150076395,0.086616583,1.732651986,0.083157543,0.283346556
53,ABCC5,1500.417847,-0.214493397,0.09725316,-2.205515955,0.027417909,0.141372262
54,ABCC6,7.66448365,-1.2153939,0.953657998,-1.274454682,0.202502324,NA
55,ABCC8,4.715260492,1.296787394,2.234540877,0.580337289,0.561687186,NA
56,ABCC9,2215.241073,-0.146403821,0.092663949,-1.579943693,0.114119762,0.343500137
57,ABCD1,14.7740531,-0.227213626,0.593418725,-0.382889209,0.701801913,NA
58,ABCD2,1.502564255,1.221286742,1.979140942,0.617079217,0.537182477,NA
59,ABCD3,381.0110937,-0.465038815,0.154185511,-3.016099321,0.002560494,0.027036202
60,ABCD4,170.6010956,0.158099225,0.204262045,0.774001971,0.438929626,0.699471493
61,ABCE1,1080.450188,-0.119546574,0.103850846,-1.151137219,0.249675788,0.530534352
62,ABCF1,547.9335594,-0.195779435,0.126150404,-1.551952494,0.120673591,0.354422939
63,ABCF2,356.5213167,-0.33285231,0.147661205,-2.254162226,0.024185964,0.130533265
64,ABCF3,176.3238872,0.195262901,0.201269336,0.970157229,0.331968126,0.611398756
65,ABCG2,37.82409377,-0.096454959,0.431216511,-0.223681042,0.823005498,NA
66,ABCG4,1.935277004,1.541344987,2.078243596,0.741657518,0.458294865,NA
67,ABCG5,0,NA,NA,NA,NA,NA
68,ABCG8,0,NA,NA,NA,NA,NA
69,ABHD1,0.444774212,0,4.255739247,0,1,NA
70,ABHD10,45.93074951,-0.121385304,0.373193272,-0.325261233,0.744983369,0.891306349
71,ABHD11,61.63070491,0.833805436,0.318606479,2.617038542,0.008869633,0.066562439
72,ABHD12B,0,NA,NA,NA,NA,NA
73,ABHD13,253.615689,0.166954456,0.181011191,0.922343283,0.356349544,0.634987279
