x,y,z
0.2752837,-0.26222485,0.17709382
0.10542664,-0.028650356,0.18382435
-0.18555894,0.003688762,0.35002458
0.21946749,-0.106116585,0.06661343
0.15308873,0.21375905,-0.044398855
0.22916883,-0.11657529,0.10247278
0.28460178,-0.019223716,0.14112826
-0.4596403,0.12822029,-0.06306334
-0.1692618,-0.056712974,-0.09230926
-0.178334,0.13064642,-0.0073573086
-0.18519677,-0.160376,-0.18569288
-0.11519734,-0.07345194,-0.04551881
0.07163096,-0.25205532,0.05125993
-0.19027129,-0.04665624,0.1092955
-0.1469105,0.18468007,0.15911083
-0.039837483,0.14353783,-0.09452341
0.13531245,0.064059526,-0.031414025
0.040591534,-0.08586217,0.013019627
0.19052747,-0.12568057,0.23409215
-0.031890273,-0.30522045,0.10763017
-0.086903796,0.02718312,-0.30605078
0.006371609,-0.34071392,0.26930875
0.13549502,-0.25523403,-0.04870466
-0.2727572,0.048742495,-0.04308111
-0.46621528,-0.11458714,-0.282536
0.03813845,-0.009595015,0.060410816
0.36424348,0.16395633,-0.24209526
0.19189723,0.12813066,0.030644096
0.050298136,-0.10243999,-0.026417684
-0.14306688,0.3005978,-0.09755972
0.18607287,0.13762243,0.22012116
0.35697833,0.1532119,-0.07518941
-0.5552394,-0.20245315,-0.11290199
-0.05433473,0.20348889,-0.04791143
-0.075942695,-0.048023142,-0.2551629
0.041123334,0.093956344,-0.028377494
-0.18084228,0.031224519,0.019213853
-0.028234877,-0.27954102,-0.13017808
0.04799419,-0.12940407,-0.250677
0.0760226,0.19442493,-0.07879555
-0.16000095,0.18921238,0.45383343
-0.066216886,0.12917617,-0.18405615
-0.24959065,0.20025723,-0.14035854
-0.032608096,0.09434075,-0.07953721
-0.061438307,0.09206195,-0.021053702
-0.053582486,-0.074697316,0.05087296
0.0031989098,0.00086265395,-0.009633175
-0.09022404,-0.15695435,-0.27116507
-0.4319517,0.23272045,-0.17728695
-0.12763838,0.1940594,0.18107639
0.42910266,0.0504027,0.23088694
-0.01675888,-0.07861565,0.036481116
-0.3753916,-0.029021818,-0.03457448
-0.05504243,0.018490335,-0.07027034
0.18364799,-0.3933533,0.12281699
0.08578202,-0.17733668,-0.039390463
0.20525444,-0.110540636,-0.012443397
0.07305058,0.090420745,0.17573692
-0.11007982,-0.33942896,-0.093682684
0.23099269,-0.1612976,0.26033244
0.055507366,-0.1782588,-0.37317842
-0.11697281,-0.10946675,-0.23438942
-0.38057464,0.30072752,-0.15239342
-0.044978805,-0.004297293,-0.16818121
-0.11640285,0.07702844,0.10233755
0.1713686,-0.037639264,-0.1513281
0.29084083,0.15609019,0.21432991
-0.10422031,0.06261686,0.13442585
-0.1254662,-0.2003384,-0.06427841
-0.016124943,0.023186179,0.37655622
-0.07569194,-0.034915615,-0.0155286
0.043090153,0.030837275,-0.38231504
0.022796098,0.0713409,-0.065865755
-0.07401473,-0.27252182,-0.096473314
0.1866622,-0.2591505,-0.16248004
0.25463304,-0.053336833,-0.17995067
-0.18100351,0.15341996,-0.116246
0.11720633,0.055037837,0.4168299
0.23745544,0.27446842,0.0386703
-0.011581395,0.2149062,0.013447079
0.06343115,0.039201543,0.21021467
0.24432395,-0.045694537,-0.12917
0.2641385,0.14622085,0.12398722
0.12905739,-0.0709432,-0.19110861
0.015387949,-0.22522886,-0.10730639
0.31150615,0.2995825,0.47957957
0.20493375,0.0957767,-0.15276432
0.104804315,-0.16298455,0.22037749
-0.30271637,-0.17954516,-0.2101252
-0.08110479,0.21167886,0.016490607
-0.03138662,-0.26495734,0.043673236
-0.079558104,0.11134001,-0.027756682
0.34678262,-0.09286,-0.07755163
0.12919067,0.0444334,-0.04289892
-0.16186066,0.14238085,0.16155118
-0.033876695,0.10891377,0.20540221
-0.0974019,0.026076633,0.0062005767
-0.1849127,0.11890701,-0.020751987
-0.09649425,0.21542339,0.19666497
0.10862359,0.21145138,0.07737099
