id,x,y,z
0.0,-35.61609,63.72721,-12.973849999999999
1.0,-36.18712,64.58152,-13.28329
2.0,-36.75815,65.43583,-13.59273
3.0,-35.98684,65.62675,-12.95727
4.0,-35.36494,66.3869,-12.5166
5.0,-34.98662,65.51177,-13.08152
6.0,-35.0052,66.35585,-13.60768
7.0,-34.13913,65.76575,-13.79431
8.0,-33.64324,65.39303,-14.61042
9.0,-32.78768,65.69468,-15.31741
10.0,-32.63756,65.72311,-16.30147
11.0,-33.55763,65.27202,-16.98293
12.0,-33.04048,65.99873,-17.53597
13.0,-32.76735,65.11118,-17.20235
14.0,-33.6887,65.09066,-17.19224
15.0,-34.66366,65.68951,-17.30935
16.0,-35.45356,65.32012,-17.52057
17.0,-34.5768,65.05248,-17.00244
18.0,-33.96306,64.35136,-16.88262
19.0,-33.21558,64.52203,-17.53496
20.0,-33.88678,64.036,-17.11899
21.0,-34.85293,64.20908,-16.87963
22.0,-35.40309,64.32695,-17.78669
23.0,-35.40594,63.92294,-18.78802
24.0,-36.00453,64.36538,-18.18169
25.0,-35.26578,63.59872,-18.1579
26.0,-35.96353,64.3011,-18.1057
27.0,-35.86429,65.1891,-18.61265
28.0,-36.16335,64.42039,-18.08827
29.0,-35.98028,65.17007,-17.40532
30.0,-36.05312,64.43746,-18.31224
31.0,-35.56106,63.941,-17.3727
32.0,-35.71927,65.12745,-17.15657
33.0,-35.00008,65.24091,-16.56895
34.0,-34.52126,64.20825,-16.97747
35.0,-33.79036,65.00576,-16.7827
36.0,-34.96521,65.51733,-16.73555
37.0,-35.00638,64.59839,-16.89418
38.0,-34.42911,63.84057,-17.13551
39.0,-35.29585,64.18092,-16.59987
40.0,-34.76992,64.944,-16.35221
41.0,-35.0795,64.22681,-17.0478
42.0,-35.43782,65.13756,-16.69901
43.0,-35.50681,64.0188,-16.90124
44.0,-35.68673,64.09804,-17.89055
45.0,-35.64104,63.83831,-16.92662
46.0,-34.91409,63.80374,-17.5497
47.0,-35.7561,64.51752,-17.55162
48.0,-35.18331,64.85437,-16.62749
49.0,-34.74735,63.97093,-17.2588
50.0,-33.57408,64.32423,-17.29838
51.0,-34.09046,64.5743,-16.30422
52.0,-34.63046,64.34569,-17.04166
53.0,-35.19958,63.65426,-17.42005
54.0,-35.06257,64.7003,-16.83324
55.0,-34.6695,65.58397,-16.96711
56.0,-35.21317,66.24936,-17.74092
57.0,-35.32574,65.63782,-16.98568
58.0,-34.76853,66.34794,-17.52562
59.0,-35.50464,66.04414,-18.25902
60.0,-36.09716,65.30495,-17.93815
61.0,-35.68145,66.15056,-18.28769
62.0,-36.12636,65.27671,-18.46306
63.0,-35.72478,64.37934,-18.0158
64.0,-35.72774,65.63839,-17.62893
65.0,-36.13022,64.7469,-17.95899
66.0,-35.44373,64.18201,-18.45099
67.0,-35.50462,64.66675,-17.6573
68.0,-35.06655,65.5333,-17.1777
69.0,-35.69392,64.88227,-17.2158
70.0,-36.01689,64.84429,-18.10294
71.0,-35.1303,64.18347,-17.81224
72.0,-35.61085,64.78206,-18.60912
73.0,-35.7522,65.77888,-18.29926
74.0,-35.1237,66.33536,-17.86444
75.0,-34.18697,66.30274,-18.18924
76.0,-33.6708,65.90622,-17.4409
77.0,-34.51815,66.29558,-18.13928
78.0,-33.95064,66.30965,-17.35974
79.0,-33.21462,65.77973,-17.40941
80.0,-33.93789,65.78458,-16.82964
81.0,-33.57592,66.69124,-17.17587
82.0,-33.18639,65.77346,-17.42462
83.0,-33.52362,64.82588,-17.06784
84.0,-34.09585,64.08133,-17.09813
85.0,-34.78927,64.44296,-17.61073
86.0,-33.65908,64.62401,-17.97553
87.0,-34.19213,65.40089,-17.46075
88.0,-33.79069,64.74498,-16.96308
89.0,-34.70695,65.00734,-16.68706
90.0,-33.96026,65.72025,-16.70689
91.0,-34.10197,66.67913,-17.06561
92.0,-35.05986,66.27585,-17.54355
93.0,-35.43193,65.59266,-16.89241
94.0,-34.50616,65.52701,-16.48693
95.0,-34.4241,66.53204,-17.01854
96.0,-35.3742,66.13833,-17.4619
97.0,-35.84271,65.75033,-18.15087
98.0,-35.06066,66.50671,-18.05701
99.0,-35.85851,65.62715,-17.80812
100.0,-35.25692,66.48179,-18.02362
101.0,-35.95496,66.08321,-17.47834
102.0,-35.31769,65.51452,-16.94205
103.0,-35.02702,66.21308,-17.45043
104.0,-34.77348,64.9698,-16.93215
105.0,-33.92112,64.61918,-17.01071
106.0,-33.51725,63.82435,-17.27743
107.0,-34.60503,63.98287,-17.38409
108.0,-34.1647,64.76681,-17.48926
109.0,-33.33699,65.04337,-17.24136
110.0,-34.08133,65.65477,-17.50071
111.0,-34.53465,66.56131,-17.77172
112.0,-34.06941,66.26971,-18.58275
113.0,-33.31564,65.80166,-18.05911
114.0,-32.9638,64.97504,-18.42751
115.0,-32.8782,66.19242,-18.42718
116.0,-32.43605,65.53239,-17.86782
117.0,-32.4528,66.55349,-18.02101
118.0,-32.86508,65.73212,-18.08142
119.0,-32.45044,66.61078,-17.98846
120.0,-32.80358,66.50115,-17.12034
121.0,-32.89722,65.59496,-17.3485
122.0,-32.79585,66.21666,-18.08663
123.0,-33.23901,65.42852,-17.75794
124.0,-33.57872,65.72711,-18.65431
125.0,-33.25133,65.18028,-17.96136
126.0,-33.49929,66.08568,-18.45798
127.0,-33.52202,65.11728,-18.55964
128.0,-33.31442,64.4465,-17.98053
129.0,-33.09646,65.25504,-18.35176
130.0,-33.78152,64.57891,-17.92971
131.0,-34.58425,65.02675,-17.69345
132.0,-34.21472,65.84218,-17.30679
133.0,-34.68096,65.41391,-18.05074
134.0,-34.46173,64.29402,-18.31371
135.0,-33.89757,63.54287,-17.96619
136.0,-34.60259,63.66266,-18.66322
137.0,-33.66811,64.02183,-18.7756
138.0,-33.56823,64.01184,-17.73946
139.0,-33.23457,64.87487,-18.08118
140.0,-33.76202,64.11139,-18.63419
141.0,-33.93782,63.56287,-17.80957
142.0,-33.58938,64.51959,-17.58233
143.0,-33.21673,64.58653,-18.51223
144.0,-33.50491,63.9835,-17.92032
145.0,-34.29597,64.06663,-18.55892
146.0,-33.67994,63.87713,-17.88558
147.0,-33.7707,63.93642,-18.85156
148.0,-33.46252,64.0409,-17.97984
149.0,-33.55516,64.18834,-18.95027
150.0,-34.53776,63.75703,-18.55871
151.0,-35.66685,63.99676,-18.61643
152.0,-34.8581,63.4759,-18.52866
153.0,-34.34655,64.16964,-18.00693
154.0,-33.76511,64.6091,-18.82466
155.0,-33.85715,65.7561,-18.73401
156.0,-34.43171,65.2607,-18.01011
157.0,-34.83858,66.28838,-18.00499
158.0,-33.66593,66.02753,-17.87003
159.0,-33.19019,65.11111,-17.71765
160.0,-33.09067,65.77767,-18.37972
161.0,-33.12953,64.78192,-18.25115
162.0,-33.55079,63.86479,-18.62557
163.0,-33.2998,64.76774,-18.85971
164.0,-33.38721,64.19153,-18.10893
165.0,-33.28343,64.86466,-18.71836
166.0,-33.62265,63.9733,-18.50649
167.0,-34.32819,63.42298,-18.25347
168.0,-34.59809,63.50677,-19.2787
169.0,-33.7423,64.08382,-19.33871
170.0,-34.08561,63.47853,-18.51067
171.0,-34.79434,64.04628,-18.94896
172.0,-35.17359,63.74219,-18.10746
173.0,-35.69476,64.17174,-18.83408
174.0,-35.07965,63.30647,-18.61037
175.0,-34.21334,63.68526,-18.28589
176.0,-35.13106,63.62457,-18.17486
177.0,-34.19329,63.45629,-18.18932
178.0,-35.08648,63.76325,-18.74232
179.0,-35.28562,64.57737,-18.21658
180.0,-34.98852,65.15505,-19.00497
181.0,-35.65261,65.3643,-18.27006
182.0,-36.04362,64.88486,-19.08513
183.0,-35.65832,65.82838,-18.74788
184.0,-35.12471,65.25439,-18.1133
185.0,-35.13811,66.07688,-18.77843
186.0,-35.24924,65.34021,-19.37717
187.0,-35.22117,66.04445,-18.77641
188.0,-34.82405,65.82799,-17.83225
189.0,-34.98747,65.44712,-18.73066
190.0,-34.62338,66.35036,-18.41848
191.0,-35.5552,65.92351,-18.80746
192.0,-35.58257,64.91991,-18.69352
193.0,-35.3495,66.06394,-18.52262
194.0,-35.88791,65.48056,-19.19604
195.0,-35.53424,64.57908,-19.34852
196.0,-36.03607,65.4522,-19.16394
197.0,-35.02586,64.76218,-18.60814
198.0,-35.82547,64.78781,-19.18388
199.0,-35.20668,64.03902,-19.40674
200.0,-35.6874,64.8511,-19.03784
201.0,-35.144,65.17319,-18.15712
202.0,-34.74658,65.9112,-18.70323
203.0,-35.65518,66.06957,-18.98603
204.0,-35.85192,64.86184,-18.7737
205.0,-35.78424,64.87145,-19.71324
206.0,-34.84283,64.45425,-19.61954
207.0,-33.94855,64.1331,-19.35735
208.0,-34.72736,64.20072,-18.84803
209.0,-34.4871,64.00589,-19.8556
210.0,-34.83983,64.89005,-19.39415
211.0,-35.35389,64.21133,-18.87428
212.0,-34.82084,64.36329,-19.671
213.0,-34.50102,64.75813,-18.90679
214.0,-35.11767,65.30813,-19.6327
215.0,-34.33677,64.33488,-19.54855
216.0,-35.44471,64.36709,-19.44433
217.0,-34.74046,64.67446,-20.04989
218.0,-35.21554,65.70144,-19.00822
219.0,-34.74078,66.5386,-18.44601
220.0,-33.84937,66.32553,-18.23441
221.0,-33.43279,65.81976,-18.91707
222.0,-33.21043,64.84858,-19.17232
223.0,-33.11153,65.44624,-18.51549
224.0,-33.45012,66.37222,-18.55411
225.0,-34.04329,65.72915,-18.87767
226.0,-34.27824,64.75964,-19.28269
227.0,-34.72485,63.8754,-19.281
228.0,-33.80302,64.15602,-19.24029
229.0,-33.12996,64.69495,-18.69276
230.0,-33.77829,64.29521,-19.36607
231.0,-33.21611,64.86655,-18.60247
232.0,-33.61481,65.7921,-18.92121
233.0,-33.00857,65.18384,-18.56471
234.0,-33.74075,65.97916,-18.5247
235.0,-33.28589,65.07014,-18.77717
236.0,-34.08492,65.5121,-18.73142
237.0,-33.93488,64.64533,-19.17714
238.0,-34.57303,64.60091,-20.10681
239.0,-35.15985,65.45044,-19.81438
240.0,-35.58957,64.57339,-19.5287
241.0,-35.73641,65.67074,-19.54644
242.0,-35.41933,64.58362,-19.66458
243.0,-34.41233,64.31305,-19.61652
244.0,-34.92473,65.17508,-19.53793
245.0,-34.80717,65.48085,-18.51438
246.0,-34.93635,66.52722,-18.31133
247.0,-34.04074,66.28968,-18.11952
248.0,-33.73322,65.64475,-18.69334
249.0,-34.23005,64.8629,-19.05388
250.0,-34.47408,64.23345,-19.817
251.0,-34.09057,65.11938,-19.43333
252.0,-34.69293,65.81968,-19.11074
253.0,-34.08589,66.29161,-18.55748
254.0,-34.23683,65.37494,-18.57127
255.0,-34.49769,66.38548,-18.52077
256.0,-33.78948,65.83332,-18.29787
257.0,-34.47317,65.32655,-19.1126
258.0,-33.94419,64.68299,-19.52061
259.0,-34.77434,64.47071,-19.9494
260.0,-34.12266,65.13293,-19.48201
261.0,-34.86509,64.69131,-19.84755
262.0,-34.06028,64.60938,-19.30756
263.0,-34.12377,65.60029,-18.68374
264.0,-34.28444,65.38515,-19.67632
265.0,-34.09542,66.04857,-18.89046
266.0,-33.74878,65.25721,-19.24566
267.0,-33.25912,66.11928,-19.06894
268.0,-33.35594,65.54425,-19.73501
269.0,-32.50699,65.74154,-19.17292
270.0,-32.4086,66.25428,-18.40055
271.0,-32.18348,65.43986,-18.8672
272.0,-31.87967,66.06229,-18.17048
273.0,-31.5592,65.67903,-19.09599
274.0,-32.04658,65.83411,-18.27986
275.0,-31.86642,65.35375,-19.23056
276.0,-31.77521,65.59911,-18.24887
277.0,-31.74871,64.88787,-18.98001
278.0,-31.76953,65.87072,-18.4689
279.0,-30.81803,65.9709,-18.70433
280.0,-31.68108,65.72053,-19.0486
281.0,-32.35667,64.99127,-19.30464
282.0,-33.07606,64.55486,-19.86054
283.0,-32.2993,65.09886,-19.42002
284.0,-32.00483,64.59067,-18.56147
285.0,-31.11675,65.00757,-17.99943
286.0,-31.5521,65.86247,-18.09683
287.0,-30.64971,65.56234,-18.57153
288.0,-31.38509,65.20265,-17.71793
289.0,-31.03987,64.2538,-18.0094
290.0,-32.04312,64.4114,-18.15033
291.0,-32.01648,65.36649,-18.01244
292.0,-32.18295,64.41522,-18.14253
293.0,-32.46141,63.91825,-18.98555
294.0,-31.77976,64.5443,-18.41787
295.0,-31.79732,65.46857,-18.03021
296.0,-32.04094,65.95512,-18.95022
297.0,-31.64347,65.24471,-18.44059
298.0,-31.89841,64.12167,-18.66159
299.0,-31.52676,64.63037,-19.65321
300.0,-31.42916,64.09862,-18.8558
301.0,-30.84024,64.80736,-19.16342
302.0,-31.90898,64.24113,-19.17312
303.0,-32.67885,63.7421,-19.02276
304.0,-32.9702,63.65425,-19.91864
305.0,-32.60939,63.74932,-19.06011
306.0,-33.02075,63.90324,-19.91033
307.0,-32.99979,63.21436,-19.27029
308.0,-32.44728,63.77047,-18.63901
309.0,-31.33083,63.60008,-18.79672
310.0,-32.36285,63.47813,-19.06134
311.0,-31.97454,63.81779,-18.26165
312.0,-31.95923,63.32864,-19.12245
313.0,-32.39338,63.91765,-18.39295
314.0,-31.06206,63.83953,-18.38165
315.0,-31.06597,63.87892,-19.37895
316.0,-30.69864,64.89317,-19.34756
317.0,-31.13906,65.66371,-19.9755
318.0,-30.62698,65.36054,-19.17389
319.0,-31.18655,65.37816,-19.92538
320.0,-31.07129,66.16874,-19.43738
321.0,-31.96119,65.93884,-18.78348
322.0,-31.11887,65.77131,-19.24505
323.0,-31.22743,65.44109,-20.12102
324.0,-31.10139,65.97655,-19.22478
325.0,-30.4982,65.78207,-20.12852
326.0,-30.6944,64.85741,-19.91498
327.0,-31.29582,64.62963,-20.69574
328.0,-31.30514,65.30073,-19.85116
329.0,-30.52461,65.71421,-20.47591
330.0,-30.68081,64.94293,-20.9896
331.0,-31.44064,64.53253,-20.94589
332.0,-30.96758,63.95102,-20.25437
333.0,-31.0226,64.91824,-19.69217
334.0,-31.05277,65.17673,-20.61314
335.0,-30.74569,64.32276,-20.14595
336.0,-31.39403,63.80527,-20.62944
337.0,-31.18269,63.40429,-19.75806
338.0,-32.10862,63.75116,-19.91939
339.0,-32.46438,63.78878,-20.73595
340.0,-33.2662,63.98565,-20.29501
341.0,-32.72073,64.1414,-21.03937
342.0,-33.29307,64.07991,-20.24198
343.0,-32.99823,64.69214,-20.99709
344.0,-32.01512,64.58684,-21.12063
345.0,-31.34796,64.84752,-20.25737
346.0,-31.90558,63.97618,-19.839
347.0,-32.38909,64.38266,-20.59842
348.0,-31.94005,65.14202,-19.76922
349.0,-32.7424,64.43068,-19.79739
350.0,-33.41941,64.52175,-20.49162
351.0,-32.76971,64.05686,-19.76506
352.0,-33.53465,64.44499,-20.36731
353.0,-32.59065,64.81607,-20.19493
354.0,-32.08064,65.56612,-19.63472
355.0,-31.28222,66.11898,-19.51861
356.0,-32.10049,65.69711,-19.88593
357.0,-32.40215,66.07372,-19.01404
358.0,-32.52779,65.22966,-19.6714
359.0,-31.94882,65.01624,-20.55094
360.0,-32.39267,64.71728,-19.79202
361.0,-33.26491,64.89429,-20.35532
362.0,-32.59493,64.58569,-19.58141
363.0,-32.00616,64.90785,-20.51129
364.0,-32.86114,64.57189,-20.83127
365.0,-32.97599,65.04828,-19.96435
366.0,-32.56213,65.82593,-19.46385
367.0,-31.85053,65.44683,-19.9452
368.0,-32.36298,65.59467,-19.16898
369.0,-32.77669,65.67669,-20.16346
370.0,-33.26991,64.87092,-20.50019
371.0,-32.78083,65.42702,-19.82632
372.0,-32.69732,65.02624,-20.79348
373.0,-33.55703,64.7119,-20.43656
374.0,-32.71843,65.38365,-20.35819
375.0,-32.81646,65.75556,-19.49634
376.0,-33.73369,65.51083,-19.82378
377.0,-33.84952,64.89526,-20.59122
378.0,-33.39475,65.28412,-19.77457
379.0,-33.78225,64.82706,-20.58392
380.0,-32.82436,65.08303,-20.64587
381.0,-32.81188,65.56435,-19.70577
382.0,-32.66977,65.21202,-20.59052
383.0,-33.17887,65.46573,-19.85633
384.0,-33.58292,64.75415,-20.62816
385.0,-33.11995,65.46525,-20.03346
386.0,-33.24707,66.36612,-19.37044
387.0,-33.13511,67.13192,-18.73303
388.0,-32.32482,66.86215,-19.27129
389.0,-32.77204,66.23331,-19.94666
390.0,-33.32325,65.46157,-20.24036
391.0,-34.37424,65.07759,-20.71431
392.0,-34.54219,65.72566,-19.70576
393.0,-34.50338,65.15181,-20.48656
394.0,-35.19756,65.74719,-20.34286
395.0,-34.26868,65.4671,-20.13102
396.0,-34.64377,66.44566,-19.84873
397.0,-35.25244,65.74735,-20.18746
398.0,-34.88276,66.36366,-19.5424
399.0,-34.40974,65.5838,-20.14996
400.0,-34.92953,66.43667,-19.86812
401.0,-35.04785,65.54,-20.24342
402.0,-34.9337,66.4839,-19.91961
403.0,-34.896,65.5508,-20.31803
404.0,-34.9339,66.35241,-19.88002
405.0,-34.73688,65.49206,-20.33147
406.0,-33.81692,65.3814,-20.2546
407.0,-33.3725,66.09153,-19.53942
408.0,-32.86694,67.06182,-19.44282
409.0,-33.71885,66.89403,-19.07503
410.0,-32.85011,66.68783,-19.06355
411.0,-32.30653,67.28242,-19.66007
412.0,-32.86054,67.47932,-18.81788
413.0,-32.11825,66.8955,-19.25617
414.0,-32.27258,67.22211,-18.37279
415.0,-32.08819,66.92117,-19.25289
416.0,-33.06681,66.73812,-19.11605
417.0,-32.21121,67.07817,-19.50689
418.0,-32.12823,66.27283,-20.13159
419.0,-32.60793,66.72085,-19.07452
420.0,-32.26471,66.48173,-19.90171
421.0,-32.4176,65.70058,-20.52516
422.0,-32.5798,66.75521,-20.22421
423.0,-33.13967,66.83905,-19.43005
424.0,-33.65795,66.06879,-19.87292
425.0,-33.67162,67.13114,-19.41568
426.0,-34.38463,66.53001,-19.43117
427.0,-33.85258,66.26439,-20.17029
428.0,-34.19246,66.79601,-19.30969
429.0,-34.17455,65.90727,-19.9
430.0,-34.72244,66.55368,-19.46359
431.0,-33.98105,67.13615,-19.00669
432.0,-33.17233,67.11081,-19.65895
433.0,-33.90148,67.42133,-19.32191
434.0,-34.63372,66.71851,-19.48584
435.0,-33.6529,66.39346,-19.81557
436.0,-34.37795,66.87133,-19.37355
437.0,-33.59309,67.25175,-19.586
438.0,-33.45339,67.12289,-18.56297
439.0,-34.36956,67.20558,-18.82652
440.0,-34.23636,66.66647,-19.61425
441.0,-34.87688,66.22822,-20.22478
442.0,-33.97714,66.52464,-19.8813
443.0,-34.72036,66.87052,-19.46201
444.0,-33.81593,66.96665,-19.35238
445.0,-33.34515,66.32618,-19.7398
446.0,-32.74467,67.1841,-19.44309
447.0,-32.46372,66.30146,-19.98018
448.0,-32.48851,65.60411,-20.61727
449.0,-31.91237,66.23895,-20.03081
450.0,-31.87588,67.36051,-19.86483
451.0,-31.61585,66.50475,-20.27551
452.0,-31.65825,67.28912,-19.61967
453.0,-31.1496,66.54172,-19.93345
454.0,-31.05377,67.09479,-18.97673
455.0,-30.76658,67.33794,-19.83398
456.0,-31.26993,66.46777,-19.5073
457.0,-31.74402,66.92504,-18.73359
458.0,-31.31446,67.38796,-19.54136
459.0,-31.07571,66.60356,-19.97489
460.0,-31.41722,67.08107,-19.18856
461.0,-31.67814,68.0241,-19.23254
462.0,-31.40347,67.91267,-20.39109
463.0,-32.18849,67.78326,-19.96279
464.0,-31.35474,67.15113,-20.33387
465.0,-31.93086,66.22335,-20.82429
466.0,-32.34958,67.00741,-20.28884
467.0,-32.16637,66.17815,-20.76217
468.0,-32.93218,66.75171,-20.48963
469.0,-32.73065,66.05421,-21.1181
470.0,-32.75938,66.80184,-20.57258
471.0,-33.22831,66.12238,-21.21121
472.0,-33.33661,66.67853,-20.45959
473.0,-34.14332,66.861,-19.98389
474.0,-34.2108,66.10969,-20.68756
475.0,-33.71036,66.74298,-20.17784
476.0,-33.16924,66.33204,-20.85694
477.0,-34.0433,66.65938,-20.38628
478.0,-33.19132,67.0717,-20.09208
479.0,-32.97346,67.9997,-19.90104
480.0,-32.21963,67.73742,-20.4687
481.0,-32.99117,67.9063,-19.8226
482.0,-31.93825,67.90337,-19.86942
483.0,-32.67527,67.16338,-20.13254
484.0,-33.59521,67.62794,-19.90361
485.0,-34.33565,66.94288,-20.03761
486.0,-33.32382,67.36512,-20.01362
487.0,-34.18909,67.35904,-19.6277
488.0,-33.27204,67.21027,-20.01916
489.0,-34.04877,67.34948,-19.2217
490.0,-33.85491,67.12941,-20.04381
491.0,-34.46694,66.5703,-20.74451
492.0,-34.64354,65.58207,-20.98461
493.0,-35.03759,66.25483,-20.49317
494.0,-34.3016,65.67271,-20.90423
495.0,-34.89806,66.32448,-20.2903
496.0,-34.74711,65.71833,-21.05376
497.0,-34.21387,66.21224,-20.41657
498.0,-33.66933,65.66239,-21.212
499.0,-33.31686,66.37252,-20.68148
500.0,-33.88346,66.94314,-20.05777
501.0,-33.86918,65.96327,-20.57987
502.0,-33.29476,65.72809,-21.41224
503.0,-33.01713,66.09484,-20.56585
504.0,-32.32934,66.97174,-20.34794
505.0,-31.71117,66.16534,-20.64784
506.0,-32.01725,65.93837,-21.5748
507.0,-32.5912,66.24664,-20.76819
508.0,-31.61628,66.60313,-20.94122
509.0,-32.28863,66.0729,-21.29812
510.0,-31.48687,66.82502,-21.21694
511.0,-31.75844,65.767,-21.0521
512.0,-31.11421,66.63359,-20.89876
513.0,-31.9238,65.89004,-21.11269
514.0,-32.13135,66.80919,-20.72053
515.0,-32.14316,65.95616,-21.11784
516.0,-32.8758,65.54404,-21.66555
517.0,-32.54539,66.4562,-21.36742
518.0,-32.06944,65.62492,-21.38272
519.0,-31.16202,66.10005,-21.49292
520.0,-31.73081,66.9004,-21.21288
521.0,-31.30133,67.64003,-20.83744
522.0,-31.14064,66.7106,-21.55097
523.0,-31.18883,67.5403,-21.07711
524.0,-31.00812,66.5569,-21.32508
525.0,-31.56186,67.32754,-20.99265
526.0,-32.16253,67.93735,-20.55788
527.0,-31.82781,67.64252,-21.54003
528.0,-32.10361,67.90948,-20.61197
529.0,-32.03668,66.94115,-21.20206
530.0,-32.87777,66.43636,-21.24961
531.0,-33.47318,65.61596,-21.29389
532.0,-33.0155,66.41311,-21.90259
533.0,-33.03738,66.18883,-21.01036
534.0,-33.34691,65.64179,-21.8232
535.0,-33.34684,66.51869,-21.53607
536.0,-34.07624,65.75888,-21.50357
537.0,-33.16624,65.65857,-21.61376
538.0,-34.09277,65.61385,-21.42009
539.0,-33.61166,66.30037,-20.87435
540.0,-33.63399,65.63346,-21.55732
541.0,-33.52296,66.48237,-21.12328
542.0,-32.63269,66.32856,-21.62646
543.0,-32.40478,67.0629,-20.8955
544.0,-32.81368,66.72309,-21.83714
545.0,-33.55889,66.19926,-21.55252
546.0,-32.68825,66.33972,-21.64841
547.0,-33.53677,66.18346,-21.14645
548.0,-32.62271,65.91957,-21.38967
549.0,-32.72531,66.77238,-20.78461
550.0,-33.03438,67.70524,-20.78806
551.0,-33.76233,67.08878,-20.54484
552.0,-33.80562,66.40846,-21.05562
553.0,-34.45871,65.69311,-21.25821
554.0,-35.11845,66.36021,-21.12983
555.0,-34.57401,65.66802,-21.42404
556.0,-35.18674,66.34963,-20.89656
557.0,-34.43638,66.08404,-21.46746
558.0,-33.52328,66.35204,-21.30533
559.0,-34.265,65.81846,-20.98383
560.0,-34.70611,66.66727,-20.895
561.0,-34.48019,65.87603,-21.47211
562.0,-34.63192,66.4791,-20.52511
563.0,-34.70109,65.81437,-21.26131
564.0,-35.68061,66.17748,-21.04404
565.0,-35.15714,66.85646,-20.35258
566.0,-35.37975,66.50971,-21.44444
567.0,-34.81394,65.766,-21.23491
568.0,-34.92489,66.62399,-21.14967
569.0,-34.50718,67.50396,-20.77185
570.0,-35.38781,67.05435,-20.72992
571.0,-35.67214,66.65919,-21.56461
572.0,-35.45604,66.42633,-20.6328
573.0,-35.05254,67.22957,-21.07231
574.0,-35.41473,66.45326,-21.47461
575.0,-35.10804,65.9317,-20.70715
576.0,-35.54521,66.72317,-20.9566
577.0,-35.03361,67.57442,-20.51917
578.0,-34.11599,67.98573,-20.07463
579.0,-34.75721,67.47569,-20.60071
580.0,-34.04515,68.16638,-20.37237
581.0,-34.31502,67.42837,-20.92642
582.0,-33.79565,67.95663,-20.31445
583.0,-34.53703,67.27517,-20.51762
584.0,-33.89802,68.06776,-20.95138
585.0,-33.79283,66.99177,-21.16626
586.0,-32.98717,67.26441,-20.78135
587.0,-33.81737,67.5637,-20.44752
588.0,-33.47259,66.93442,-21.08932
589.0,-34.08475,67.60227,-21.05937
590.0,-34.73183,66.87963,-21.58865
591.0,-34.98546,66.17271,-20.70011
592.0,-35.53049,66.85156,-21.33387
593.0,-34.97288,66.15151,-21.27658
594.0,-35.8736,66.55844,-21.00467
595.0,-35.00816,66.69106,-20.62923
596.0,-35.57324,66.2591,-21.30205
597.0,-35.74273,67.19266,-21.28171
598.0,-35.17801,67.67726,-20.60567
599.0,-34.47411,68.16894,-19.98754
600.0,-33.55985,68.17652,-20.54688
601.0,-34.4936,68.46766,-20.54158
602.0,-34.81855,67.89696,-19.67589
603.0,-35.56839,67.44083,-20.44123
604.0,-35.88987,66.93089,-21.27003
605.0,-35.56056,67.32094,-20.47389
606.0,-35.02407,68.10686,-20.03396
607.0,-34.0682,68.10265,-19.7111
608.0,-34.79841,68.47318,-20.22757
609.0,-34.60635,68.11962,-19.21128
610.0,-35.15148,67.43168,-19.61375
611.0,-35.683,67.63533,-20.44328
612.0,-36.1435,66.99368,-21.43696
613.0,-35.90891,67.94064,-20.91628
614.0,-35.29297,68.63549,-20.64094
