gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
GAB4,gene-GAB4,1024325,1073723,chr19,1030874,1031001,NC_023660.1,2803_005_autosomes_peak_111118,21,.,3.36402,3.87357,2.16261,48
GAB4,gene-GAB4,1024325,1073723,chr19,1031340,1031644,NC_023660.1,2803_005_autosomes_peak_111119,29,.,3.8446,4.75003,2.95094,83
GAB4,gene-GAB4,1024325,1073723,chr19,1072944,1073219,NC_023660.1,2803_005_autosomes_peak_111120,21,.,3.36402,3.87357,2.16261,154
GAB4,gene-GAB4,1024325,1073723,chr19,1073422,1073634,NC_023660.1,2803_005_autosomes_peak_111121,29,.,3.8446,4.75003,2.95094,158
LOC103222862,gene-LOC103222862,1074073,1075807,chr19,1075041,1075439,NC_023660.1,2803_005_autosomes_peak_111122,29,.,3.8446,4.75003,2.95094,118
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1099878,1100888,NC_023660.1,2803_005_autosomes_peak_111125,264,.,13.4561,28.9917,26.4137,314
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1101957,1102407,NC_023660.1,2803_005_autosomes_peak_111126,109,.,7.6892,13.2214,10.9953,134
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1116767,1116899,NC_023660.1,2803_005_autosomes_peak_111127,14,.,2.88345,3.05299,1.44702,46
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1120357,1122264,NC_023660.1,2803_005_autosomes_peak_111128a,426,.,18.7424,45.4504,42.6186,1098
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1120357,1122264,NC_023660.1,2803_005_autosomes_peak_111128b,380,.,17.3007,40.8116,38.0461,1224
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1120357,1122264,NC_023660.1,2803_005_autosomes_peak_111128a,426,.,18.7424,45.4504,42.6186,1098
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1120357,1122264,NC_023660.1,2803_005_autosomes_peak_111128b,380,.,17.3007,40.8116,38.0461,1224
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1137337,1137548,NC_023660.1,2803_005_autosomes_peak_111129,14,.,2.88345,3.05299,1.44702,180
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1138078,1138837,NC_023660.1,2803_005_autosomes_peak_111130,38,.,4.32517,5.67619,3.80116,592
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1231225,1231423,NC_023660.1,2803_005_autosomes_peak_111131,38,.,4.32517,5.67619,3.80116,165
