gene_name,log2FC_12h,log2FC_18h,log2FC_24h,acc_untr_12h_tss,acc_untr_12h_avg,acc_vacv_12h_tss,acc_vacv_12h_avg,acc_untr_18h_tss,acc_untr_18h_avg,acc_vacv_18h_tss,acc_vacv_18h_avg,acc_untr_24h_tss,acc_untr_24h_avg,acc_vacv_24h_tss,acc_vacv_24h_avg,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,acc_delta_12h_avg,acc_delta_18h_avg,acc_delta_24h_avg,expr_var,expr_range,acc_tss_var,acc_tss_range,acc_avg_var,acc_avg_range,expr_slope,acc_tss_slope,acc_avg_slope,expr_dir,acc_tss_dir,expr_acc_tss_agreement,expr_acc_direction_pairs,expr_acc_agreement_verbose,expr_acc_direction_pairs_str,increase,decrease,neutral,expr_only_up,expr_only_down,acc_only_up,acc_only_down,expr_up_acc_down,expr_down_acc_up,agreement_class,tsne_1,tsne_2
BET1L,-0.315038774861263,-0.368512170582717,-0.155558458515422,18.7657,23.8179525,6.06692,16.777641111111112,3.32283,13.126565454545457,5.44286,10.885704285714285,3.8446,13.3359525,12.1047,12.1047,-0.315038774861263,-0.368512170582717,-0.155558458515422,-12.69878,2.1200299999999994,8.2601,-7.040311388888885,-2.24086116883117,-1.2312525,0.0122737764724988,0.212953712067295,116.09537337923332,20.95888,9.633199542261677,5.8090588888888846,0.0132900263621533,1.746573333333332,0.4840882407407397,"['flat', 'flat']","['up', 'up']","['acc_only_up', 'acc_only_up']","[['flat', 'up'], ['flat', 'up']]","['flat/up , acc_only_up', 'flat/up , acc_only_up']","['flat/up', 'flat/up']",0,0,0,0,0,2,0,0,0,accessibility_only,-15.0093155,3.647945
RIC8A,-0.295794630350065,-0.221667799143412,-0.362167478640339,18.7657,19.728002,4.04461,16.55294,4.22906,15.305173333333336,5.44286,11.792845,26.9122,16.659928333333333,4.03491,4.438405,-0.295794630350065,-0.221667799143412,-0.362167478640339,-14.72109,1.2138,-22.87729,-3.175061999999997,-3.512328333333336,-12.221523333333334,0.0049400503389404,0.140499679496927,150.13748919003334,24.09109,26.300381463853377,9.046461333333337,-0.0055310706908561,-0.679683333333332,-0.7538717777777773,"['flat', 'flat']","['up', 'down']","['acc_only_up', 'acc_only_down']","[['flat', 'up'], ['flat', 'down']]","['flat/up , acc_only_up', 'flat/down , acc_only_down']","['flat/up', 'flat/down']",0,0,0,0,0,1,1,0,0,accessibility_only,-19.110851,1.8688399
SIRT3,0.552195943598951,-0.984312593879594,0.300940147507879,3.84937,15.4662,4.71871,12.673082,3.62491,9.389523333333331,3.26571,6.2592775000000005,4.32517,10.9330925,3.22793,4.0349125,0.552195943598951,-0.984312593879594,0.300940147507879,0.8693399999999998,-0.3591999999999999,-1.0972399999999998,-2.793118000000001,-3.1302458333333325,-6.898180000000001,0.6793104283429718,1.536508537478545,0.9869084115999996,1.96658,5.193752847364344,4.105061999999999,-0.0209379830075893,-0.1638816666666664,-0.3420884999999996,"['down', 'up']","['down', 'down']","['decrease', 'expr_up_acc_down']","[['down', 'down'], ['up', 'down']]","['down/down , decrease', 'up/down , expr_up_acc_down']","['down/down', 'up/down']",0,1,0,0,0,0,0,1,0,mixed,-10.827722,-10.180895
PSMD13,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.66107,16.039015,17.5266,15.9537,5.73944,10.908291111111112,10.8857,9.434266666666668,3.36402,8.265894,4.03491,4.03491,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.865529999999998,5.14626,0.67089,-0.0853149999999995,-1.474024444444444,-4.230983999999999,0.0042934548534138,0.131022608776172,16.835671783233327,8.194639999999998,4.4526518949365474,4.145669,0.0056487840937825,-0.682886666666666,-0.3454724166666663,"['flat', 'flat']","['down', 'down']","['acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down']",0,0,0,0,0,0,2,0,0,accessibility_only,-27.876356,5.6043344
NLRP6,0.0,0.0,3.40452908375144,2.88702,3.007315,4.04461,5.055764999999999,3.02076,3.840675714285714,4.35428,4.535713333333334,3.8446,4.393825714285714,3.22793,3.4969233333333336,0.0,0.0,3.40452908375144,1.1575899999999997,1.33352,-0.6166699999999996,2.048449999999999,0.6950376190476191,-0.8969023809523802,3.8636060940364736,3.40452908375144,1.1636984914333328,1.95019,2.173516447416173,2.945352380952379,0.2837107569792863,-0.1478549999999997,-0.2454460317460313,"['flat', 'up']","['flat', 'down']","['neutral', 'expr_up_acc_down']","[['flat', 'flat'], ['up', 'down']]","['flat/flat , neutral', 'up/down , expr_up_acc_down']","['flat/flat', 'up/down']",0,0,1,0,0,0,0,1,0,stable,42.989323,12.824819
ATHL1,0.521359167389512,-2.22121994350677,-0.0407249233707549,3.3682,3.548635,4.71871,4.31425,2.71868,5.691742105263158,4.89857,5.878285,5.7669,6.343588,5.64888,5.2453883333333335,0.521359167389512,-2.22121994350677,-0.0407249233707549,1.35051,2.1798900000000003,-0.1180199999999995,0.7656149999999995,0.1865428947368421,-1.098199666666666,2.0987062062414,2.742579110896282,1.3541403189,2.29791,0.9099488439762208,1.8638146666666653,-0.0468403408966889,-0.1223774999999997,-0.1553178888888886,"['down', 'up']","['up', 'down']","['expr_down_acc_up', 'expr_up_acc_down']","[['down', 'up'], ['up', 'down']]","['down/up , expr_down_acc_up', 'up/down , expr_up_acc_down']","['down/up', 'up/down']",0,0,0,0,0,0,0,1,1,conflict,-12.703856,-13.271758
LOC103241759,-0.139961192278955,-1.43372852788884,-3.48368248703568,37.5313,22.133846666666667,27.6382,16.5155025,33.8325,24.770233333333334,22.3157,16.51,28.3539,23.548166666666663,8.06983,7.262845,-0.139961192278955,-1.43372852788884,-3.48368248703568,-9.8931,-11.516800000000003,-20.28407,-5.618344166666667,-8.260233333333332,-16.28532166666666,2.842769541720416,3.343721294756725,31.24561374729999,10.39097,30.861005018709925,10.666977499999994,-0.2786434412297268,-0.8659141666666659,-0.8889147916666653,"['down', 'down']","['down', 'down']","['decrease', 'decrease']","[['down', 'down'], ['down', 'down']]","['down/down , decrease', 'down/down , decrease']","['down/down', 'down/down']",0,2,0,0,0,0,0,0,0,expr_acc_down,-59.449936,-2.7427132
IFITM1,0.0307138836245888,0.731248196567441,-0.137637020689475,3.3682,4.089955,5.39281,5.39281,5.73944,4.94649,7.62,7.62,3.36402,3.36402,4.03491,4.5729,0.0307138836245888,0.731248196567441,-0.137637020689475,2.02461,1.88056,0.67089,1.302855,2.6735100000000003,1.2088799999999995,0.2123419785602125,0.868885217256916,0.5527682916333334,1.35372,0.6721112444250004,1.4646300000000003,-0.0140292420261719,-0.1128099999999998,-0.0078312499999999,"['up', 'down']","['flat', 'down']","['expr_only_up', 'decrease']","[['up', 'flat'], ['down', 'down']]","['up/flat , expr_only_up', 'down/down , decrease']","['up/flat', 'down/down']",0,1,0,1,0,0,0,0,0,mixed,3.465438,-0.8010146
B4GALNT4,-0.00827829959749,-1.06047498777814,-0.879571244941176,4.33054,4.1243228571428565,5.39281,4.622411428571428,4.53114,5.801937586206897,5.44286,6.05517875,2.88345,5.31635875,3.22793,4.328360909090909,-0.00827829959749,-1.06047498777814,-0.879571244941176,1.0622699999999998,0.91172,0.3444800000000003,0.4980885714285712,0.2532411637931027,-0.9879978409090908,0.316499238566071,1.0521966881806502,0.1432748340333331,0.7177899999999995,0.6348462241257542,1.486086412337662,-0.0726077454453071,-0.0598158333333332,-0.1238405343614716,"['down', 'flat']","['flat', 'down']","['expr_only_down', 'acc_only_down']","[['down', 'flat'], ['flat', 'down']]","['down/flat , expr_only_down', 'flat/down , acc_only_down']","['down/flat', 'flat/down']",0,0,0,0,1,0,1,0,0,expression_only,-34.671997,-7.9805756
PKP3,-0.050246007655728,0.0445116104723782,-0.473549348963175,25.502,14.3148225,20.2231,13.114355454545455,24.7702,7.363096875,9.25285,8.8718525,13.4561,9.385344117647058,7.26285,5.418314285714287,-0.050246007655728,0.0445116104723782,-0.473549348963175,-5.2789,-15.51735,-6.193249999999999,-1.2004670454545447,1.5087556249999992,-3.967029831932772,0.0760919804411078,0.5180609594355532,32.100122522499994,10.238449999999998,7.496330583331243,5.475785456932771,-0.0352752784422872,-0.0761958333333336,-0.2305468988731852,"['flat', 'down']","['down', 'up']","['acc_only_down', 'expr_down_acc_up']","[['flat', 'down'], ['down', 'up']]","['flat/down , acc_only_down', 'down/up , expr_down_acc_up']","['flat/down', 'down/up']",0,0,0,0,0,0,1,0,1,accessibility_only,-18.114708,-6.1478043
SIGIRR,2.17875128265687,0.563639589274575,1.28389311457649,4.33054,8.24005,4.71871,7.583641249999999,3.92698,6.3152703125,7.62,6.216314210526316,3.36402,6.407663888888888,4.8419,4.841897142857143,2.17875128265687,0.563639589274575,1.28389311457649,0.3881699999999997,3.69302,1.47788,-0.6564087500000007,-0.0989561019736839,-1.5657667460317457,0.6546870106317058,1.6151116933822949,2.8360577710333343,3.3048500000000005,0.5482031475434083,1.4668106440580615,-0.0745715140066982,0.0908091666666667,-0.0757798330026453,"['down', 'up']","['up', 'down']","['expr_down_acc_up', 'expr_up_acc_down']","[['down', 'up'], ['up', 'down']]","['down/up , expr_down_acc_up', 'up/down , expr_up_acc_down']","['down/up', 'up/down']",0,0,0,0,0,0,0,1,1,conflict,37.295826,-9.917036
ANO9,1.4349710042221,0.0,0.0,3.84937,3.560666,5.39281,4.26931,3.92698,4.812378275862068,4.89857,6.086102727272728,3.8446,4.630991818181818,6.45586,5.04364,1.4349710042221,0.0,0.0,1.54344,0.9715900000000004,2.6112600000000006,0.708644,1.2737244514106596,0.4126481818181817,0.6863805943193941,1.4349710042221,0.6926282806333336,1.6396700000000002,0.191396963833816,0.8610762695924778,-0.1195809170185082,0.0889849999999999,-0.0246663181818181,"['down', 'flat']","['down', 'up']","['decrease', 'acc_only_up']","[['down', 'down'], ['flat', 'up']]","['down/down , decrease', 'flat/up , acc_only_up']","['down/down', 'flat/up']",0,1,0,0,0,1,0,0,0,mixed,8.401113,-12.281602
PTDSS2,3.12280486289768,0.0,2.41096481671541,37.0501,9.14224,38.4238,8.7633225,25.3744,5.360088837209303,22.86,5.652196923076923,19.223,5.686801666666666,12.1047,4.841893571428571,3.12280486289768,0.0,2.41096481671541,1.3736999999999997,-2.514400000000002,-7.1183,-0.3789175,0.2921080858676204,-0.844908095238095,2.678562968420957,3.12280486289768,18.07121347,8.491999999999999,0.3267047279725937,1.1370161811057151,-0.0593200038485225,-0.7076666666666659,-0.0388325496031745,"['down', 'up']","['down', 'down']","['decrease', 'expr_up_acc_down']","[['down', 'down'], ['up', 'down']]","['down/down , decrease', 'up/down , expr_up_acc_down']","['down/down', 'up/down']",0,1,0,0,0,0,0,1,0,mixed,42.050602,-10.747817
RNH1,-0.450101022202271,-0.83812662661831,-0.804371731966021,5.29288,11.593930952380951,5.39281,12.639403,6.04151,8.804946296296297,5.44286,7.876130000000001,6.72805,9.586202105263157,4.03491,5.406784,-0.450101022202271,-0.83812662661831,-0.804371731966021,0.0999299999999996,-0.5986500000000001,-2.69314,1.0454720476190469,-0.9288162962962964,-4.1794181052631565,0.0462018330653217,0.388025604416039,2.1126904002333324,2.7930699999999997,6.96061728251067,5.224890152882203,-0.0295225591469791,-0.232755833333333,-0.4354075127401832,"['flat', 'flat']","['down', 'down']","['acc_only_down', 'acc_only_down']","[['flat', 'down'], ['flat', 'down']]","['flat/down , acc_only_down', 'flat/down , acc_only_down']","['flat/down', 'flat/down']",0,0,0,0,0,0,2,0,0,accessibility_only,-33.397625,4.7161026
LRRC56,0.344292935400758,0.702609396275232,1.30206831686612,5.29288,6.561417272727272,7.41512,7.66789875,6.04151,5.824018,11.9743,6.930570666666667,12.0144,6.151358,4.8419,4.572902222222222,0.344292935400758,0.702609396275232,1.30206831686612,2.12224,5.93279,-7.1725,1.1064814772727276,1.1065526666666674,-1.578455777777778,0.2341792274917867,0.957775381465362,45.44351815903333,13.10529,2.403026402560676,2.685008444444445,0.0798146151221134,-0.7745616666666656,-0.2237447712542085,"['flat', 'up']","['up', 'down']","['acc_only_up', 'expr_up_acc_down']","[['flat', 'up'], ['up', 'down']]","['flat/up , acc_only_up', 'up/down , expr_up_acc_down']","['flat/up', 'up/down']",0,0,0,0,0,1,0,1,0,accessibility_only,31.553646,6.0506573
C1H11orf35,0.231105857544569,0.316311536977542,0.106876108881777,11.5481,8.6610675,12.1338,8.426265,3.02076,5.0386224,4.35428,6.686935714285714,3.36402,6.099602307692307,6.45586,4.265478571428572,0.231105857544569,0.316311536977542,0.106876108881777,0.585700000000001,1.33352,3.0918400000000004,-0.2348024999999989,1.6483133142857147,-1.8341237362637357,0.0110927061336852,0.2094354280957649,1.6552769457333327,2.50614,3.0385535663027774,3.48243705054945,-0.0103524790552326,0.2088449999999997,-0.1332767696886445,"['flat', 'flat']","['up', 'up']","['acc_only_up', 'acc_only_up']","[['flat', 'up'], ['flat', 'up']]","['flat/up , acc_only_up', 'flat/up , acc_only_up']","['flat/up', 'flat/up']",0,0,0,0,0,2,0,0,0,accessibility_only,6.526015,1.4638606
RASSF7,0.655706417324988,-0.246876374283361,-0.220619906662194,5.29288,8.661066250000001,4.04461,8.763312222222222,3.92698,5.262479473684211,4.89857,6.05517875,6.72805,6.127328333333334,4.8419,4.8419,0.655706417324988,-0.246876374283361,-0.220619906662194,-1.2482700000000009,0.9715900000000004,-1.88615,0.1022459722222208,0.7926992763157887,-1.2854283333333338,0.2638821539853915,0.9025827916083492,2.250224536933334,2.85774,1.120163350903132,2.0781276096491226,-0.0730271936655984,-0.0531566666666664,-0.1156395254629627,"['down', 'flat']","['up', 'down']","['expr_down_acc_up', 'acc_only_down']","[['down', 'up'], ['flat', 'down']]","['down/up , expr_down_acc_up', 'flat/down , acc_only_down']","['down/up', 'flat/down']",0,0,0,0,0,0,1,0,1,accessibility_only,2.5243063,-9.772831
LOC103222129,-0.923058061471327,-0.264586177898373,-0.534641444869519,7.69873,13.633176666666666,4.04461,14.380870000000002,3.92698,8.357433333333333,3.26571,8.164283333333334,5.7669,5.52661,4.03491,5.11089,-0.923058061471327,-0.264586177898373,-0.534641444869519,-3.6541200000000007,-0.66127,-1.7319899999999997,0.747693333333336,-0.1931499999999992,-0.4157199999999994,0.1095637561212277,0.6584718835729539,2.299696029633335,2.9928500000000007,0.381375694492594,1.1634133333333354,0.0323680513834839,0.1601774999999999,-0.0969511111111112,"['up', 'flat']","['up', 'down']","['increase', 'acc_only_down']","[['up', 'up'], ['flat', 'down']]","['up/up , increase', 'flat/down , acc_only_down']","['up/up', 'flat/down']",1,0,0,0,0,0,1,0,0,mixed,-22.839743,9.113497
PHRF1,0.249888517994335,0.660125356875367,1.06568584853184,5.29288,6.495813333333333,6.06692,8.493680999999999,3.92698,5.1164075,4.35428,6.803568636363637,3.36402,4.775713125,4.8419,4.328362727272727,0.249888517994335,0.660125356875367,1.06568584853184,0.7740399999999994,0.4273000000000002,1.47788,1.9978676666666653,1.6871611363636363,-0.4473503977272735,0.1663831434799768,0.8157973305375049,0.2865562849333332,1.0505799999999996,1.7719615699297528,2.4452180643939387,0.0679831108781253,0.0586533333333333,-0.203768172032828,"['flat', 'flat']","['flat', 'up']","['neutral', 'acc_only_up']","[['flat', 'flat'], ['flat', 'up']]","['flat/flat , neutral', 'flat/up , acc_only_up']","['flat/flat', 'flat/up']",0,0,1,0,0,1,0,0,0,stable,27.549732,6.560224
IRF7,0.0,0.0,2.40178883633417,3.3682,3.9696625,4.04461,4.04461,3.92698,5.602130909090909,3.81,5.598367142857143,4.32517,5.826969999999999,5.64888,5.043642500000001,0.0,0.0,2.40178883633417,0.6764099999999997,-0.1169799999999998,1.3237100000000002,0.0749474999999995,-0.0037637662337663,-0.7833274999999986,1.922863204779816,2.40178883633417,0.5206754430333334,1.44069,0.2250918423434447,0.8582749999999981,0.2001490696945139,0.0539416666666666,-0.0715229166666664,"['flat', 'up']","['down', 'up']","['acc_only_down', 'increase']","[['flat', 'down'], ['up', 'up']]","['flat/down , acc_only_down', 'up/up , increase']","['flat/down', 'up/up']",1,0,0,0,0,0,1,0,0,mixed,40.358887,12.920256
