chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr24,1073995,1074260,2.4468576228843544,10,11,"[33.4884123725, -20.270171377, 50.180411357]",33.4884123725,-20.270171377,50.180411357,"[33.49130763, -20.271179596, 50.180148636]",33.49130763,-20.271179596,50.180148636,1074127,74.26,"[33.49130763, -20.271179596, 50.180148636]",33.49130763,-20.271179596,50.180148636
chr24,1077010,1078024,3.344722254918172,10,11,"[33.521352755, -20.281642246, 50.177422285999995]",33.521352755,-20.281642246,50.177422285999995,"[33.532431212000006, -20.2855001104, 50.1764170064]",33.532431212000006,-20.2855001104,50.1764170064,1077517,78.024,"[33.532431212000006, -20.2855001104, 50.1764170064]",33.532431212000006,-20.2855001104,50.1764170064
chr24,1100165,1101705,4.011899312595268,11,12,"[33.773970169500004, -20.368129735, 50.154938351999995]",33.773970169500004,-20.368129735,50.154938351999995,"[33.7874117515, -20.358980595, 50.157816304]",33.7874117515,-20.358980595,50.157816304,1100935,1.7049999999999998,"[33.7874117515, -20.358980595, 50.157816304]",33.7874117515,-20.358980595,50.157816304
chr24,1116445,1116682,3.2131919564074103,11,12,"[33.9160668935, -20.271410255, 50.185362416]",33.9160668935,-20.271410255,50.185362416,"[33.9181355006, -20.270002238, 50.1858053216]",33.9181355006,-20.270002238,50.1858053216,1116563,16.682,"[33.9181355006, -20.270002238, 50.1858053216]",33.9181355006,-20.270002238,50.1858053216
chr24,1121758,1122513,3.71382777769834,11,12,"[33.962440351400005, -20.239845722, 50.1952913504]",33.962440351400005,-20.239845722,50.1952913504,"[33.9690302179, -20.235360267, 50.1967022944]",33.9690302179,-20.235360267,50.1967022944,1122135,22.512999999999998,"[33.9690302179, -20.235360267, 50.1967022944]",33.9690302179,-20.235360267,50.1967022944
chr24,1127237,1127915,4.537816659539147,11,12,"[34.010262707100004, -20.207294983, 50.205530505599995]",34.010262707100004,-20.207294983,50.205530505599995,"[34.0161804945, -20.203266985, 50.206797552]",34.0161804945,-20.203266985,50.206797552,1127576,27.915,"[34.0161804945, -20.203266985, 50.206797552]",34.0161804945,-20.203266985,50.206797552
chr24,1132320,1133774,4.619988495578792,11,12,"[34.054628656, -20.17709688, 50.215029615999995]",34.054628656,-20.17709688,50.215029615999995,"[34.0673196042, -20.168458666, 50.2177468512]",34.0673196042,-20.168458666,50.2177468512,1133047,33.774,"[34.0673196042, -20.168458666, 50.2177468512]",34.0673196042,-20.168458666,50.2177468512
chr24,1146385,1146716,3.337194210813125,11,12,"[34.1773921955, -20.093536715, 50.241314288]",34.1773921955,-20.093536715,50.241314288,"[34.1802812628, -20.091570244, 50.2419328608]",34.1802812628,-20.091570244,50.2419328608,1146550,46.716,"[34.1802812628, -20.091570244, 50.2419328608]",34.1802812628,-20.091570244,50.2419328608
chr24,1174416,1174708,3.074793710284037,11,12,"[34.4220551728, -19.927004544000003, 50.2936986208]",34.4220551728,-19.927004544000003,50.2936986208,"[34.424603836399996, -19.925269772, 50.294244310399996]",34.424603836399996,-19.925269772,50.294244310399996,1174562,74.708,"[34.424603836399996, -19.925269772, 50.294244310399996]",34.424603836399996,-19.925269772,50.294244310399996
chr24,1181217,1181803,2.934697616222369,11,12,"[34.4814163411, -19.886599803000003, 50.306408329599996]",34.4814163411,-19.886599803000003,50.306408329599996,"[34.4865311249, -19.883118377000002, 50.3075034464]",34.4865311249,-19.883118377000002,50.3075034464,1181510,81.803,"[34.4865311249, -19.883118377000002, 50.3075034464]",34.4865311249,-19.883118377000002,50.3075034464
