chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr19,1100071,1100319,1.789472034381282,11,12,"[-1.9257803045, -1.2741947159, -34.5291871563]",-1.9257803045,-1.2741947159,-34.5291871563,"[-1.9264101005, -1.2761323151000001, -34.530225110699995]",-1.9264101005,-1.2761323151000001,-34.530225110699995,1100195,0.319,"[-1.9264101005, -1.2761323151000001, -34.530225110699995]",-1.9264101005,-1.2761323151000001,-34.530225110699995
chr19,1121332,1121996,1.9532776614987704,11,12,"[-1.979772614, -1.4403047828000002, -34.618170819599996]",-1.979772614,-1.4403047828000002,-34.618170819599996,"[-1.9814588419999999, -1.4454925484, -34.620949858799996]",-1.9814588419999999,-1.4454925484,-34.620949858799996,1121664,21.996,"[-1.9814588419999999, -1.4454925484, -34.620949858799996]",-1.9814588419999999,-1.4454925484,-34.620949858799996
chr19,1287884,1288656,2.642516392500289,12,13,"[-2.4350990952, -1.3862557976, -35.4900070276]",-2.4350990952,-1.3862557976,-35.4900070276,"[-2.4373439168, -1.3803819584, -35.494773278400004]",-2.4373439168,-1.3803819584,-35.494773278400004,1288270,88.656,"[-2.4373439168, -1.3803819584, -35.494773278400004]",-2.4373439168,-1.3803819584,-35.494773278400004
chr19,1324742,1324982,1.5930804992715517,13,14,"[-2.5390162662, -1.4751962852, -35.4263933552]",-2.5390162662,-1.4751962852,-35.4263933552,"[-2.5396825302, -1.4769532292, -35.4250506992]",-2.5396825302,-1.4769532292,-35.4250506992,1324862,24.982,"[-2.5396825302, -1.4769532292, -35.4250506992]",-2.5396825302,-1.4769532292,-35.4250506992
chr19,1364735,1366213,2.6344483529440605,13,14,"[-2.6500408335, -1.7679690410000002, -35.202656516]",-2.6500408335,-1.7679690410000002,-35.202656516,"[-2.6541439093, -1.7787888878, -35.1943879928]",-2.6541439093,-1.7787888878,-35.1943879928,1365474,66.213,"[-2.6541439093, -1.7787888878, -35.1943879928]",-2.6541439093,-1.7787888878,-35.1943879928
chr19,1377771,1378358,3.316559919303686,13,14,"[-2.6862300731, -1.8634003826, -35.1297279176]",-2.6862300731,-1.8634003826,-35.1297279176,"[-2.6878596438, -1.8676975748000002, -35.1264440048]",-2.6878596438,-1.8676975748000002,-35.1264440048,1378064,78.358,"[-2.6878596438, -1.8676975748000002, -35.1264440048]",-2.6878596438,-1.8676975748000002,-35.1264440048
chr19,1840206,1840624,2.076025885828374,18,19,"[-3.0161625326, -2.4672453558, -35.623776490000004]",-3.0161625326,-2.4672453558,-35.623776490000004,"[-3.0188177104, -2.4640055631999997, -35.62332296]",-3.0188177104,-2.4640055631999997,-35.62332296,1840415,40.624,"[-3.0188177104, -2.4640055631999997, -35.62332296]",-3.0188177104,-2.4640055631999997,-35.62332296
chr19,1860508,1861455,2.579613220855326,18,19,"[-3.1451228668, -2.3098906444000002, -35.601748820000005]",-3.1451228668,-2.3098906444000002,-35.601748820000005,"[-3.1511383055, -2.3025507315, -35.600721325]",-3.1511383055,-2.3025507315,-35.600721325,1860981,61.455000000000005,"[-3.1511383055, -2.3025507315, -35.600721325]",-3.1511383055,-2.3025507315,-35.600721325
chr19,1978872,1979100,1.8174743699400049,19,20,"[-4.1688625024, -2.0798957056000003, -35.532966886400004]",-4.1688625024,-2.0798957056000003,-35.532966886400004,"[-4.1710967199999995, -2.08011568, -35.532891920000004]",-4.1710967199999995,-2.08011568,-35.532891920000004,1978986,79.10000000000001,"[-4.1710967199999995, -2.08011568, -35.532891920000004]",-4.1710967199999995,-2.08011568,-35.532891920000004
chr19,1981440,1981871,2.6924293760357214,19,20,"[-4.194026848, -2.082373312, -35.532122528]",-4.194026848,-2.082373312,-35.532122528,"[-4.1982503032, -2.0827891408, -35.5319808152]",-4.1982503032,-2.0827891408,-35.5319808152,1981655,81.87100000000001,"[-4.1982503032, -2.0827891408, -35.5319808152]",-4.1982503032,-2.0827891408,-35.5319808152
chr19,1982314,1982628,1.795867987878763,19,20,"[-4.2025913487999995, -2.0832165472, -35.5318351568]",-4.2025913487999995,-2.0832165472,-35.5318351568,"[-4.2056682976, -2.0835194944, -35.531731913600005]",-4.2056682976,-2.0835194944,-35.531731913600005,1982471,82.628,"[-4.2056682976, -2.0835194944, -35.531731913600005]",-4.2056682976,-2.0835194944,-35.531731913600005
chr19,1990580,1991121,2.0492909622280524,19,20,"[-4.283591535999999, -2.091191584, -35.529117296]",-4.283591535999999,-2.091191584,-35.529117296,"[-4.2888929032, -2.0917135408000003, -35.5289394152]",-4.2888929032,-2.0917135408000003,-35.5289394152,1990850,91.121,"[-4.2888929032, -2.0917135408000003, -35.5289394152]",-4.2888929032,-2.0917135408000003,-35.5289394152
chr19,2038364,2038582,1.547988033075945,20,21,"[-4.1970470319999995, -1.7867387008, -35.684793250400006]",-4.1970470319999995,-1.7867387008,-35.684793250400006,"[-4.196030716, -1.7849570304000002, -35.685695465200006]",-4.196030716,-1.7849570304000002,-35.685695465200006,2038473,38.582,"[-4.196030716, -1.7849570304000002, -35.685695465200006]",-4.196030716,-1.7849570304000002,-35.685695465200006
chr19,2117821,2118411,4.096500356318587,21,22,"[-4.0418213298, -1.1867167012, -35.8764247653]",-4.0418213298,-1.1867167012,-35.8764247653,"[-4.0461954718, -1.1835290492, -35.8743239523]",-4.0461954718,-1.1835290492,-35.8743239523,2118116,18.411,"[-4.0461954718, -1.1835290492, -35.8743239523]",-4.0461954718,-1.1835290492,-35.8743239523
chr19,2151328,2151547,1.8603551921234829,21,22,"[-4.2902355264, -1.0056850816, -35.7571163904]",-4.2902355264,-1.0056850816,-35.7571163904,"[-4.2918591486, -1.0045018684, -35.7563365971]",-4.2918591486,-1.0045018684,-35.7563365971,2151437,51.547,"[-4.2918591486, -1.0045018684, -35.7563365971]",-4.2918591486,-1.0045018684,-35.7563365971
