chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr2,24hrs,PCMTD2,-29.130460958800004,-35.1681446703,-92.3413117279,0
chr2,24hrs,LOC103242308,-28.934848020400004,-35.207998524900006,-92.3677031857,0
chr2,24hrs,MYT1,-28.4709403652,-35.302514298700004,-92.4302920891,0
chr2,24hrs,NPBWR2,-27.9712810776,-35.4043140506,-92.4977044858,0
chr2,24hrs,OPRL1,-27.843056766,-35.430438258500004,-92.5150040905,0
chr2,24hrs,LOC103242338,-27.756039792,-35.448166952,-92.526744136,0
chr2,24hrs,LKAAEAR1,-27.7886216292,-35.441528782700004,-92.5223483011,0
chr2,24hrs,RGS19,-27.6865074896,-35.4623333476,-92.5361252068,0
chr2,24hrs,TCEA2,-27.5756357748,-35.4849221663,-92.5510836559,0
chr2,24hrs,LOC103242374,-28.349112984,-35.49316688,-92.905676992,0
chr2,24hrs,SOX18,-27.4437235284,-35.5117977479,-92.5688808247,0
chr2,24hrs,PRPF6,-27.931104393,-35.593354439,-93.003650839,0
chr2,24hrs,SAMD10,-27.9935595816,-35.6025364568,-93.0558521368,0
chr2,24hrs,ZNF512B,-28.1252536756,-35.6218978188,-93.1659246988,0
chr2,24hrs,LOC103242444,-28.1277283478,-35.6222616394,-93.1679930794,0
chr2,24hrs,UCKL1,-28.2733878996,-35.6436761708,-93.2897382508,0
chr2,24hrs,DNAJC5,-28.1792933302,-35.6933097432,-93.2773726518,0
chr2,24hrs,TPD52L2,-27.7124205086,-35.916698917599994,-93.1921238174,0
chr2,24hrs,LOC103242465,-27.6824430229,-35.9310425364,-93.1866500661,0
chr2,24hrs,LOC103248979,-27.6437025935,-35.949579046,-93.1795762415,0
chr2,24hrs,ABHD16B,-27.6103900289,-35.9655184324,-93.1734935201,0
chr2,24hrs,ZBTB46,-28.1724966175,-35.800165208,-93.56950599,0
chr2,24hrs,LOC103242515,-27.8387717632,-35.9239498368,-93.4069225728,0
chr2,24hrs,LOC103242511,-28.0268528095,-35.858750378,-93.5114732505,0
chr2,24hrs,SLC2A4RG,-28.0891069387,-35.8371695988,-93.5460791373,0
chr2,24hrs,LIME1,-28.1184113986,-35.8270110264,-93.5623689294,0
chr2,24hrs,ZGPAT,-27.4880518846,-35.5513205421,-93.1401546441,0
chr2,24hrs,LOC103242580,-28.1561485549,-35.8139292076,-93.5833462971,0
chr2,24hrs,ARFRP1,-28.002215824,-35.631547872,-93.463524112,0
chr2,24hrs,TNFRSF6B,-27.9842597518,-35.6117781604,-93.4497656534,0
chr2,24hrs,RTEL1,-27.781659763,-35.388714714,-93.294527719,0
chr2,24hrs,STMN3,-27.686989528,-35.284482384,-93.221988664,0
chr2,24hrs,LOC103242614,-27.607443787,-35.196902186,-93.161038431,0
chr2,24hrs,GMEB2,-28.004238064,-35.974370543,-93.478466628,0
chr2,24hrs,LOC103242607,-27.6042044896,-35.206241056,-93.159063856,0
chr2,24hrs,HELZ2,-27.7479095254,-35.604239344,-93.278603419,0
chr2,24hrs,C2H20orf195,-27.764676067,-35.65067512,-93.292550495,0
chr2,24hrs,SRMS,-27.8028174049,-35.756309464000005,-93.3242779765,0
chr2,24hrs,PTK6,-27.839381314,-35.85757504,-93.35469329,0
chr2,24hrs,PPDPF,-27.8759070595,-35.958734920000005,-93.3850768575,0
chr2,24hrs,EEF1A2,-27.931269025,-35.854211038600006,-93.2379526608,0
chr2,24hrs,KCNQ2,-28.41490707625,-35.709192531250004,-93.1946283975,0
chr2,24hrs,LOC103242734,-28.4009077093,-35.2904868257,-92.831698453,0
chr2,24hrs,LOC103242768,-28.4471584135,-35.2988609115,-92.846709335,0
chr2,24hrs,LOC103242748,-28.5453939745,-35.3166473005,-92.878592145,0
chr2,24hrs,COL20A1,-28.1899633136,-35.1278219092,-92.4750972441,0
chr2,24hrs,ARFGAP1,-28.6880115125,-35.2632414925,-92.7414753225,0
chr2,24hrs,NKAIN4,-28.531593395,-35.170629403,-92.541881871,0
chr2,24hrs,BIRC7,-28.5025370845,-35.153425733300004,-92.5048052881,0
chr2,24hrs,LOC103242870,-28.4325845365,-35.1120082061,-92.4155440777,0
chr2,24hrs,YTHDF1,-28.069899912,-35.3958842775,-92.5410966927,0
chr2,24hrs,LOC103242877,-27.896741072,-35.230400291200006,-92.2458510528,0
chr2,24hrs,LOC103242906,-27.5055404057,-35.4980675857,-92.3044328231,0
chr2,24hrs,LOC103242914,-27.8344334303,-35.8098926503,-92.7500575649,0
chr2,24hrs,BHLHE23,-27.9937458,-35.709117372,-92.835486592,0
chr2,24hrs,SLC17A9,-28.16956165,-35.316553011,-92.784043996,0
chr2,24hrs,GID8,-28.220734625,-35.2022931975,-92.76907111,0
chr2,24hrs,DIDO1,-27.6071637167,-35.7173770262,-92.6757857289,0
chr2,24hrs,TCFL5,-27.6091630249,-35.569206273700004,-92.6293420061,0
chr2,24hrs,DPH3P1,-27.6465309265,-35.5418077945,-92.6362906085,0
chr2,24hrs,COL9A3,-28.309093448,-35.594728842,-92.953852702,0
chr2,24hrs,OGFR,-27.6932517113,-35.736482706800004,-92.7275718022,0
chr2,24hrs,LOC103243002,-27.7299043112,-35.7514416032,-92.7494798128,0
chr2,24hrs,MRGBP,-27.7728385276,-35.7689641936,-92.7751424744,0
chr2,24hrs,NTSR1,-28.42022601085,-35.524762036800006,-92.66485181785,0
chr2,24hrs,SLCO4A1,-28.945406812,-35.499957975200005,-92.7448732542,0
chr2,24hrs,LOC103243024,-28.805041384000003,-35.520705418000006,-92.602070366,0
chr2,24hrs,C2H20orf166,-28.4034541084,-35.6712077943,-92.4136152541,0
chr2,24hrs,GATA5,-28.0689413296,-35.388522193200004,-91.68431402,0
chr2,24hrs,RBBP8NL,-27.9864142948,-35.3001609265,-91.6000088361,0
chr2,24hrs,CABLES2,-27.9070610032,-35.394073526,-91.7825744124,0
chr2,24hrs,RPS21,-27.9012569104,-35.400942522,-91.7959277028,0
chr2,24hrs,LOC103249004,-27.7929383968,-35.529134724,-92.0451326376,0
chr2,24hrs,LAMA5,-28.1631921227,-36.03864068495,-92.18536777525,0
chr2,24hrs,ADRM1,-27.883510011,-35.9513796066,-92.3909814428,0
chr2,24hrs,LOC103243092,-27.90415425,-35.984186550000004,-92.4034049,0
chr2,24hrs,OSBPL2,-28.2625999275,-35.620433032,-92.3570654015,0
chr2,24hrs,LOC103243110,-28.2482992875,-36.4387157578,-92.5845738797,0
chr2,24hrs,HRH3,-28.369252775,-36.2589955412,-92.5529411338,0
chr2,24hrs,LOC103249014,-28.339267375,-36.303549714,-92.560783161,0
chr2,24hrs,MTG2,-28.5625232875,-35.9718221898,-92.5023954477,0
chr2,24hrs,SS18L1,-28.7813724,-35.646642563200004,-92.4451602368,0
