id,x,y,z
1.0,79.55747,91.87334,38.70286
2.0,79.78054,90.85285,38.3271
3.0,79.3891,90.29033,38.89393
4.0,79.5835,90.82463,38.04256
5.0,79.82643,90.83758,39.05909
6.0,79.59515,91.70137,38.37693
7.0,78.84414,91.28782,37.59277
8.0,78.02827,91.29034,36.82158
9.0,79.01687,91.33265,37.11818
10.0,78.22404,91.7524,37.33014
11.0,79.06985,92.16769,38.0044
12.0,78.99352,91.63937,37.22459
13.0,79.14524,92.19422,38.03422
14.0,78.31356,92.6221,38.45575
15.0,78.65446,92.42267,39.34018
16.0,79.58633,92.02169,39.29697
17.0,79.15429,91.54333,39.92813
18.0,79.34826,90.81509,39.23968
19.0,78.63677,91.02766,38.47634
20.0,78.82348,91.62347,37.59789
21.0,77.93136,91.75994,37.25312
22.0,78.41399,92.10442,37.92004
23.0,79.17174,91.25902,37.97756
24.0,78.87189,92.03374,38.44469
25.0,78.66913,91.69443,37.52248
26.0,77.73913,91.79977,37.86068
27.0,77.73241,91.16528,37.00821
28.0,77.77557,91.96921,37.70911
29.0,77.83418,91.13184,37.29425
30.0,78.72661,90.65361,37.6176
31.0,77.64719,90.83516,37.48066
32.0,78.77566,90.71132,37.66168
33.0,78.15479,90.03931,37.91961
34.0,78.18042,90.71063,37.2095
35.0,77.80073,90.73448,38.01454
36.0,77.58388,89.63308,38.04774
37.0,77.83549,90.50218,37.74847
38.0,77.93322,91.70251,37.7118
39.0,78.58167,90.91284,37.60234
40.0,78.7787,90.43405,38.45305
41.0,78.96285,90.14638,39.34071
42.0,78.98123,91.26787,39.53142
43.0,78.78254,92.02089,38.94696
44.0,79.06804,91.05308,39.28179
45.0,78.92257,91.95421,40.04523
46.0,78.67006,92.28655,39.16734
47.0,79.23289,91.64113,38.53526
48.0,79.24688,90.56746,38.40804
49.0,78.71938,90.00483,37.75029
50.0,79.01869,90.96841,37.816
51.0,78.21182,91.0642,37.36453
52.0,77.86442,90.15552,37.66193
53.0,77.50991,89.99968,38.52689
54.0,78.50002,89.7984,38.1895
55.0,79.24789,90.39411,38.10029
56.0,78.54491,89.69622,38.80113
57.0,77.54097,89.45059,38.45362
58.0,78.66447,89.86985,37.9924
59.0,77.7886,89.77263,37.52625
60.0,78.64663,90.35987,37.42246
61.0,78.99643,91.04219,38.09608
62.0,79.23174,91.8073,38.66366
63.0,79.0207,91.96135,39.56084
64.0,78.67122,91.08452,39.59264
65.0,78.70643,92.03448,39.86621
66.0,79.55481,91.68009,39.23422
67.0,78.70998,92.14852,39.71588
68.0,78.12499,92.3247,38.86402
69.0,77.92734,91.89686,37.93818
70.0,77.61669,90.92142,38.19827
71.0,77.78966,91.10939,37.19926
72.0,77.51684,90.85503,38.15279
73.0,77.69093,90.32648,39.08742
74.0,79.04366,90.55655,39.09051
75.0,79.19084,90.52397,38.07121
76.0,79.20826,90.22138,39.00282
77.0,79.09949,91.15951,38.68338
78.0,78.34908,90.54597,38.15237
79.0,77.42314,90.70634,38.66897
80.0,77.27626,90.51885,39.57515
81.0,78.3777,91.33571,40.13232
82.0,79.31209,91.4009,39.63887
83.0,78.82726,92.15259,39.40003
84.0,78.16833,92.46292,38.6948
85.0,78.72543,91.9853,39.27492
86.0,78.58438,91.90583,38.33102
87.0,77.93686,91.26999,37.8992
88.0,78.49166,90.60206,37.4207
89.0,77.96164,89.95171,38.039
90.0,77.38289,90.55093,38.52528
91.0,77.79234,91.21711,38.00681
92.0,77.91615,90.12901,37.71516
93.0,77.4027,89.58277,38.45804
94.0,77.79718,89.56105,39.52209
95.0,77.57932,90.59305,39.88241
96.0,79.00092,90.58083,39.72906
97.0,79.38562,90.1129,38.94177
98.0,79.3978,90.86115,39.50908
99.0,78.48692,90.5883,39.34766
100.0,78.75085,91.64604,39.78004
101.0,79.49017,90.89748,40.01324
102.0,78.58502,90.38794,40.02172
103.0,77.62532,90.44171,40.31785
104.0,78.78784,90.0901,40.62957
105.0,78.00882,90.57825,40.6342
106.0,78.96154,90.9408,40.40363
107.0,78.92332,91.92957,40.4854
108.0,78.76359,91.08909,40.933
109.0,78.47296,91.78287,40.09191
110.0,79.41678,91.69748,39.82948
