chromosome,start,end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr9,10899,11596,NC_023650.1,2803_002_autosomes_peak_30176,811,.,35.0533,84.5261,81.1041,305,0,1,"[-0.6020841231999999, 42.2656475967, -45.4845327926]",-0.6020841231999999,42.2656475967,-45.4845327926,"[-0.6027788928, 42.2596347868, -45.4788643704]",-0.6027788928,42.2596347868,-45.4788643704,11247,11.596,"[-0.6027788928, 42.2596347868, -45.4788643704]",-0.6027788928,42.2596347868,-45.4788643704
chr9,15324,15443,NC_023650.1,2803_002_autosomes_peak_30177,103,.,8.08922,12.6616,10.3521,44,0,1,"[-0.6064949632, 42.2274744492, -45.448546037599996]",-0.6064949632,42.2274744492,-45.448546037599996,"[-0.6066135824, 42.2264478719, -45.4475782582]",-0.6066135824,42.2264478719,-45.4475782582,15383,15.443000000000001,"[-0.6066135824, 42.2264478719, -45.4475782582]",-0.6066135824,42.2264478719,-45.4475782582
chr9,18197,18346,NC_023650.1,2803_002_autosomes_peak_30178,64,.,6.06692,8.5891,6.41772,84,0,1,"[-0.6093587696, 42.2026899401, -45.4251810778]",-0.6093587696,42.2026899401,-45.4251810778,"[-0.6095072927999999, 42.201404561800004, -45.4239693204]",-0.6095072927999999,42.201404561800004,-45.4239693204,18271,18.346,"[-0.6095072927999999, 42.201404561800004, -45.4239693204]",-0.6095072927999999,42.201404561800004,-45.4239693204
chr9,23573,23772,NC_023650.1,2803_002_autosomes_peak_30179,19,.,3.37051,3.83133,1.95257,27,0,1,"[-0.6147175664, 42.156312800900004, -45.3814602202]",-0.6147175664,42.156312800900004,-45.3814602202,"[-0.6149159296, 42.1545960876, -45.3798418328]",-0.6149159296,42.1545960876,-45.3798418328,23672,23.772,"[-0.6149159296, 42.1545960876, -45.3798418328]",-0.6149159296,42.1545960876,-45.3798418328
chr9,28004,28295,NC_023650.1,2803_002_autosomes_peak_30180,64,.,6.06692,8.5891,6.41772,109,0,1,"[-0.6191343871999999, 42.1180878932, -45.3454246696]",-0.6191343871999999,42.1180878932,-45.3454246696,"[-0.619424456, 42.1155775235, -45.343058082999995]",-0.619424456,42.1155775235,-45.343058082999995,28149,28.294999999999998,"[-0.619424456, 42.1155775235, -45.343058082999995]",-0.619424456,42.1155775235,-45.343058082999995
chr9,28603,29076,NC_023650.1,2803_002_autosomes_peak_30181,76,.,6.74102,9.90672,7.68582,344,0,1,"[-0.6197314704, 42.1129204999, -45.340553242199995]",-0.6197314704,42.1129204999,-45.340553242199995,"[-0.6202029567999999, 42.1088400708, -45.3367065224]",-0.6202029567999999,42.1088400708,-45.3367065224,28839,29.076,"[-0.6202029567999999, 42.1088400708, -45.3367065224]",-0.6202029567999999,42.1088400708,-45.3367065224
chr9,40336,40786,NC_023650.1,2803_002_autosomes_peak_30182,52,.,5.39281,7.31679,5.2005,325,0,1,"[-0.6314269248, 42.011703428800004, -45.2451334464]",-0.6314269248,42.011703428800004,-45.2451334464,"[-0.6318754848, 42.0078214138, -45.2414737764]",-0.6318754848,42.0078214138,-45.2414737764,40561,40.786,"[-0.6318754848, 42.0078214138, -45.2414737764]",-0.6318754848,42.0078214138,-45.2414737764
chr9,41361,42022,NC_023650.1,2803_002_autosomes_peak_30183,239,.,14.1561,26.5372,23.9125,200,0,1,"[-0.6324486448, 42.0028610613, -45.2367975314]",-0.6324486448,42.0028610613,-45.2367975314,"[-0.6331075295999999, 41.9971588126, -45.2314218828]",-0.6331075295999999,41.9971588126,-45.2314218828,41691,42.022,"[-0.6331075295999999, 41.9971588126, -45.2314218828]",-0.6331075295999999,41.9971588126,-45.2314218828
chr9,44763,44914,NC_023650.1,2803_002_autosomes_peak_30184,19,.,3.37051,3.83133,1.95257,31,0,1,"[-0.6358397584, 41.9735130279, -45.2091304262]",-0.6358397584,41.9735130279,-45.2091304262,"[-0.6359902752, 41.9722103962, -45.207902403599995]",-0.6359902752,41.9722103962,-45.207902403599995,44838,44.914,"[-0.6359902752, 41.9722103962, -45.207902403599995]",-0.6359902752,41.9722103962,-45.207902403599995
chr9,45497,45663,NC_023650.1,2803_002_autosomes_peak_30185,52,.,5.39281,7.31679,5.2005,114,0,1,"[-0.6365714095999999, 41.9671810301, -45.2031610978]",-0.6365714095999999,41.9671810301,-45.2031610978,"[-0.6367368783999999, 41.9657489979, -45.201811086199996]",-0.6367368783999999,41.9657489979,-45.201811086199996,45580,45.663,"[-0.6367368783999999, 41.9657489979, -45.201811086199996]",-0.6367368783999999,41.9657489979,-45.201811086199996
chr9,54734,55014,NC_023650.1,2803_002_autosomes_peak_30186,76,.,6.74102,9.90672,7.68582,138,0,1,"[-0.6457788512, 41.8874962022, -45.1280402716]",-0.6457788512,41.8874962022,-45.1280402716,"[-0.6460579552, 41.8850807262, -45.1257631436]",-0.6460579552,41.8850807262,-45.1257631436,54874,55.013999999999996,"[-0.6460579552, 41.8850807262, -45.1257631436]",-0.6460579552,41.8850807262,-45.1257631436
chr9,55616,56641,NC_023650.1,2803_002_autosomes_peak_30187a,176,.,11.4597,20.1152,17.6199,191,0,1,"[-0.6466580288, 41.8798874528, -45.120867318399995]",-0.6466580288,41.8798874528,-45.120867318399995,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034,56128,56.641,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034
chr9,55616,56641,NC_023650.1,2803_002_autosomes_peak_30187b,89,.,7.41512,11.2654,8.99864,523,0,1,"[-0.6466580288, 41.8798874528, -45.120867318399995]",-0.6466580288,41.8798874528,-45.120867318399995,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034,56128,56.641,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034
chr9,55616,56641,NC_023650.1,2803_002_autosomes_peak_30187c,103,.,8.08922,12.6616,10.3521,902,0,1,"[-0.6466580288, 41.8798874528, -45.120867318399995]",-0.6466580288,41.8798874528,-45.120867318399995,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034,56128,56.641,"[-0.6476797488, 41.871045085300004, -45.1125314034]",-0.6476797488,41.871045085300004,-45.1125314034
chr9,58664,58793,NC_023650.1,2803_002_autosomes_peak_30188,19,.,3.37051,3.83133,1.95257,24,0,1,"[-0.6496962752, 41.8535932712, -45.096079153599995]",-0.6496962752,41.8535932712,-45.096079153599995,"[-0.6498248623999999, 41.8524804269, -45.095030048199995]",-0.6498248623999999,41.8524804269,-45.095030048199995,58728,58.79299999999999,"[-0.6498248623999999, 41.8524804269, -45.095030048199995]",-0.6498248623999999,41.8524804269,-45.095030048199995
chr9,111111,111551,NC_023650.1,2803_002_autosomes_peak_30189,76,.,6.74102,9.90672,7.68582,184,1,2,"[-0.7019754448, 41.4011487363, -44.669548681399995]",-0.7019754448,41.4011487363,-44.669548681399995,"[-0.7024140367999999, 41.3973529883, -44.6659703374]",-0.7024140367999999,41.3973529883,-44.6659703374,111331,11.551,"[-0.7024140367999999, 41.3973529883, -44.6659703374]",-0.7024140367999999,41.3973529883,-44.6659703374
