id,x,y,z
1.0,11.25652,22.06068,-43.48282
2.0,11.53461,21.22791,-43.845
3.0,11.66306,21.9804,-44.47314
4.0,11.51223,21.72795,-45.40192
5.0,10.87018,22.12247,-46.21317
6.0,9.76515,21.9452,-46.12819
7.0,10.7409,21.72153,-46.0139
8.0,11.175,21.07295,-45.28921
9.0,10.13656,20.6037,-45.53502
10.0,9.27756,20.88136,-45.12303
11.0,10.13038,20.67681,-45.54793
12.0,10.59325,21.50227,-45.65313
13.0,11.12109,20.67835,-44.97143
14.0,10.33388,20.88744,-45.53327
15.0,9.49978,21.10632,-45.12102
16.0,10.44765,20.74854,-44.94014
17.0,10.89111,20.99284,-44.18237
18.0,10.69576,21.26782,-43.18166
19.0,10.38138,20.52516,-43.70555
20.0,9.54103,20.43627,-44.07327
21.0,9.65731,20.18062,-45.0648
22.0,8.92804,20.79104,-45.42382
23.0,8.9013,21.82256,-45.45638
24.0,9.98704,21.55273,-45.91743
25.0,9.09458,22.07679,-45.76622
26.0,9.23313,21.86007,-44.86632
27.0,9.6726,22.47123,-44.07084
28.0,8.87565,22.03744,-44.29734
29.0,8.67332,21.61697,-45.27741
30.0,8.6721,21.782,-44.29177
31.0,9.11886,20.94468,-44.24133
32.0,10.02076,20.77159,-43.84653
33.0,10.2648,20.19631,-44.63761
34.0,10.71916,20.90739,-44.13293
35.0,10.17218,20.89689,-43.339
36.0,9.49185,21.66125,-43.35196
37.0,10.51562,21.49982,-43.48223
38.0,11.18582,20.98361,-44.3096
39.0,11.32065,21.69204,-43.64204
40.0,11.64261,21.91533,-44.55908
41.0,11.16955,21.96913,-45.44428
42.0,10.3623,22.39351,-46.06338
43.0,11.07357,21.55771,-45.31661
44.0,10.45607,21.7203,-46.01616
45.0,9.74449,22.46401,-45.95004
46.0,9.00639,22.09612,-45.26716
47.0,8.63126,21.50954,-44.51617
48.0,8.69763,21.14347,-43.56495
49.0,8.72222,22.08825,-43.83293
50.0,9.56211,22.00902,-43.16428
51.0,10.6013,22.3568,-43.32848
52.0,10.01288,21.75607,-43.74911
53.0,9.40712,22.28813,-44.29457
54.0,10.4421,22.04587,-44.6885
55.0,10.41964,22.87973,-44.09441
56.0,11.18014,22.41255,-44.61446
57.0,10.37834,21.90901,-44.94257
58.0,9.48111,22.03232,-44.82558
59.0,8.99223,22.11522,-43.89413
60.0,9.82065,22.71013,-43.84117
61.0,10.71258,22.48099,-43.83761
62.0,9.8563,22.21681,-44.09767
63.0,10.47398,21.95446,-43.31391
64.0,9.47155,22.24734,-43.02581
65.0,8.99446,23.02746,-42.53675
66.0,9.19172,22.71535,-43.49193
67.0,9.8129,22.00018,-43.38038
68.0,8.88979,22.59187,-43.42652
69.0,9.51575,22.62675,-42.57803
70.0,10.30969,22.43178,-43.13576
71.0,10.5627,22.14232,-43.99845
72.0,10.13716,22.52676,-43.14923
73.0,10.98098,22.89118,-43.06284
74.0,11.18192,22.53432,-43.91981
75.0,10.68996,23.14817,-44.43471
76.0,11.00552,23.03178,-43.33238
77.0,10.99632,22.72284,-44.27795
78.0,10.7547,23.40048,-44.82653
79.0,10.89878,23.24047,-43.93853
80.0,10.54525,24.19326,-43.7821
81.0,10.90452,24.52198,-42.99477
82.0,11.38106,23.74972,-43.35104
83.0,10.57253,24.30388,-42.71808
84.0,11.02717,24.14583,-43.52664
85.0,10.36772,24.65809,-43.02045
86.0,9.78345,24.84977,-43.76416
87.0,10.69876,24.49767,-43.43416
88.0,10.64845,23.96596,-42.65708
89.0,10.61549,24.38512,-43.64605
90.0,11.15699,23.54124,-43.8396
91.0,10.70552,24.06349,-43.18033
92.0,10.88731,23.62086,-44.04952
93.0,10.47784,23.62629,-45.01823
94.0,10.95725,22.88848,-44.68414
95.0,10.31771,22.4063,-45.05952
96.0,10.62218,22.84322,-44.32292
97.0,10.23553,22.65582,-43.46026
98.0,11.03888,22.97366,-44.03645
99.0,10.65103,22.96263,-44.98513
100.0,9.94557,22.69878,-45.51481
101.0,10.91336,22.66125,-45.01495
102.0,10.22917,22.07736,-44.82049
103.0,10.61086,22.97798,-45.2458
104.0,9.62998,23.28737,-44.86343
105.0,9.11909,24.21005,-44.83789
106.0,9.50321,25.05917,-45.25303
107.0,9.50508,25.3618,-44.38832
108.0,9.4675,24.48853,-43.96815
109.0,9.57213,24.88684,-44.90116
110.0,9.15511,25.04313,-44.05857
111.0,9.50628,24.35218,-43.52536
112.0,9.00316,24.98874,-44.14111
113.0,9.577,24.97691,-44.99023
114.0,9.49894,24.27282,-44.38367
115.0,9.74395,23.56678,-43.65912
116.0,9.68692,23.41502,-44.61594
117.0,9.63833,22.65769,-45.18733
118.0,8.68341,22.94487,-45.15569
119.0,8.47214,22.95474,-44.17535
