gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
WASH1,gene-WASH1,10075,27633,chr11,10012,10570,NC_023652.1,2803_003_autosomes_peak_67535a,50,.,4.22906,6.78034,5.01545,134
WASH1,gene-WASH1,10075,27633,chr11,10012,10570,NC_023652.1,2803_003_autosomes_peak_67535b,74,.,5.13529,9.31252,7.43155,312
WASH1,gene-WASH1,10075,27633,chr11,10012,10570,NC_023652.1,2803_003_autosomes_peak_67535c,74,.,5.13529,9.31252,7.43155,466
WASH1,gene-WASH1,10075,27633,chr11,10820,11193,NC_023652.1,2803_003_autosomes_peak_67536,28,.,3.32283,4.51284,2.8984,164
WASH1,gene-WASH1,10075,27633,chr11,12239,12751,NC_023652.1,2803_003_autosomes_peak_67537,35,.,3.62491,5.23581,3.56625,283
WASH1,gene-WASH1,10075,27633,chr11,13407,13520,NC_023652.1,2803_003_autosomes_peak_67538,22,.,3.02076,3.8262,2.27297,49
WASH1,gene-WASH1,10075,27633,chr11,14742,15334,NC_023652.1,2803_003_autosomes_peak_67539,35,.,3.62491,5.23581,3.56625,427
WASH1,gene-WASH1,10075,27633,chr11,16989,17342,NC_023652.1,2803_003_autosomes_peak_67540,28,.,3.32283,4.51284,2.8984,101
WASH1,gene-WASH1,10075,27633,chr11,19451,19723,NC_023652.1,2803_003_autosomes_peak_67541,28,.,3.32283,4.51284,2.8984,161
WASH1,gene-WASH1,10075,27633,chr11,22547,22807,NC_023652.1,2803_003_autosomes_peak_67542,16,.,2.71868,3.17905,1.695,77
WASH1,gene-WASH1,10075,27633,chr11,23639,24263,NC_023652.1,2803_003_autosomes_peak_67543,110,.,6.34359,13.0263,11.0263,445
WASH1,gene-WASH1,10075,27633,chr11,26344,27206,NC_023652.1,2803_003_autosomes_peak_67544a,74,.,5.13529,9.31252,7.43155,213
WASH1,gene-WASH1,10075,27633,chr11,26344,27206,NC_023652.1,2803_003_autosomes_peak_67544b,110,.,6.34359,13.0263,11.0263,407
WASH1,gene-WASH1,10075,27633,chr11,26344,27206,NC_023652.1,2803_003_autosomes_peak_67544c,35,.,3.62491,5.23581,3.56625,823
IQSEC3,gene-IQSEC3,69565,179968,chr11,69790,70273,NC_023652.1,2803_003_autosomes_peak_67545,139,.,7.24982,16.0256,13.9539,165
IQSEC3,gene-IQSEC3,69565,179968,chr11,80563,81002,NC_023652.1,2803_003_autosomes_peak_67546,65,.,4.83321,8.44208,6.5967,310
IQSEC3,gene-IQSEC3,69565,179968,chr11,105560,106485,NC_023652.1,2803_003_autosomes_peak_67547,57,.,4.53114,7.59749,5.7907,745
IQSEC3,gene-IQSEC3,69565,179968,chr11,106751,107108,NC_023652.1,2803_003_autosomes_peak_67548,35,.,3.62491,5.23581,3.56625,288
IQSEC3,gene-IQSEC3,69565,179968,chr11,129411,130140,NC_023652.1,2803_003_autosomes_peak_67549a,42,.,3.92698,5.99243,4.27314,47
IQSEC3,gene-IQSEC3,69565,179968,chr11,129411,130140,NC_023652.1,2803_003_autosomes_peak_67549b,57,.,4.53114,7.59749,5.7907,374
IQSEC3,gene-IQSEC3,69565,179968,chr11,134664,134957,NC_023652.1,2803_003_autosomes_peak_67550,28,.,3.32283,4.51284,2.8984,142
IQSEC3,gene-IQSEC3,69565,179968,chr11,135846,136033,NC_023652.1,2803_003_autosomes_peak_67551,16,.,2.71868,3.17905,1.695,63
IQSEC3,gene-IQSEC3,69565,179968,chr11,136221,136365,NC_023652.1,2803_003_autosomes_peak_67552,16,.,2.71868,3.17905,1.695,10
IQSEC3,gene-IQSEC3,69565,179968,chr11,136674,136875,NC_023652.1,2803_003_autosomes_peak_67553,50,.,4.22906,6.78034,5.01545,95
IQSEC3,gene-IQSEC3,69565,179968,chr11,140458,140785,NC_023652.1,2803_003_autosomes_peak_67554,42,.,3.92698,5.99243,4.27314,213
IQSEC3,gene-IQSEC3,69565,179968,chr11,142889,143770,NC_023652.1,2803_003_autosomes_peak_67555a,42,.,3.92698,5.99243,4.27314,265
