gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1004217,1004534,NC_023665.1,2803_006_autosomes_peak_82357,27,.,4.03491,5.27184,2.76836,9
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1023860,1023966,NC_023665.1,2803_006_autosomes_peak_82358,16,.,3.22793,3.94805,1.68706,49
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,1004217,1004534,NC_023665.1,2803_006_autosomes_peak_82357,27,.,4.03491,5.27184,2.76836,9
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,1023860,1023966,NC_023665.1,2803_006_autosomes_peak_82358,16,.,3.22793,3.94805,1.68706,49
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1035242,1035482,NC_023665.1,2803_006_autosomes_peak_82359,16,.,3.22793,3.94805,1.68706,143
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1036004,1036302,NC_023665.1,2803_006_autosomes_peak_82360,39,.,4.8419,6.67379,3.97677,116
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1039972,1040118,NC_023665.1,2803_006_autosomes_peak_82361,27,.,4.03491,5.27184,2.76836,47
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1041598,1041720,NC_023665.1,2803_006_autosomes_peak_82362,16,.,3.22793,3.94805,1.68706,19
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1042000,1042222,NC_023665.1,2803_006_autosomes_peak_82363,39,.,4.8419,6.67379,3.97677,101
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1043709,1044030,NC_023665.1,2803_006_autosomes_peak_82364,27,.,4.03491,5.27184,2.76836,237
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1044338,1044452,NC_023665.1,2803_006_autosomes_peak_82365,27,.,4.03491,5.27184,2.76836,72
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1044743,1044876,NC_023665.1,2803_006_autosomes_peak_82366,39,.,4.8419,6.67379,3.97677,53
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1049643,1049836,NC_023665.1,2803_006_autosomes_peak_82367,27,.,4.03491,5.27184,2.76836,35
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1051172,1051500,NC_023665.1,2803_006_autosomes_peak_82368,16,.,3.22793,3.94805,1.68706,130
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1052650,1052771,NC_023665.1,2803_006_autosomes_peak_82369,16,.,3.22793,3.94805,1.68706,16
LOC103228698,gene-LOC103228698,1050226,1056397,chr24,1051172,1051500,NC_023665.1,2803_006_autosomes_peak_82368,16,.,3.22793,3.94805,1.68706,130
LOC103228698,gene-LOC103228698,1050226,1056397,chr24,1052650,1052771,NC_023665.1,2803_006_autosomes_peak_82369,16,.,3.22793,3.94805,1.68706,16
CPNE6,gene-CPNE6,1053980,1061544,chr24,1058625,1058764,NC_023665.1,2803_006_autosomes_peak_82370,16,.,3.22793,3.94805,1.68706,9
NRL,gene-NRL,1064266,1100995,chr24,1064449,1064701,NC_023665.1,2803_006_autosomes_peak_82371,39,.,4.8419,6.67379,3.97677,218
NRL,gene-NRL,1064266,1100995,chr24,1065794,1066248,NC_023665.1,2803_006_autosomes_peak_82372,39,.,4.8419,6.67379,3.97677,326
NRL,gene-NRL,1064266,1100995,chr24,1074138,1074260,NC_023665.1,2803_006_autosomes_peak_82373,39,.,4.8419,6.67379,3.97677,53
NRL,gene-NRL,1064266,1100995,chr24,1076851,1078060,NC_023665.1,2803_006_autosomes_peak_82374a,143,.,10.4908,17.9672,14.3973,470
NRL,gene-NRL,1064266,1100995,chr24,1076851,1078060,NC_023665.1,2803_006_autosomes_peak_82374b,81,.,7.26285,11.2446,8.10932,940
NRL,gene-NRL,1064266,1100995,chr24,1078263,1078545,NC_023665.1,2803_006_autosomes_peak_82375,27,.,4.03491,5.27184,2.76836,167
NRL,gene-NRL,1064266,1100995,chr24,1082173,1082406,NC_023665.1,2803_006_autosomes_peak_82376,27,.,4.03491,5.27184,2.76836,71
NRL,gene-NRL,1064266,1100995,chr24,1086387,1086543,NC_023665.1,2803_006_autosomes_peak_82377,27,.,4.03491,5.27184,2.76836,114
NRL,gene-NRL,1064266,1100995,chr24,1087054,1087325,NC_023665.1,2803_006_autosomes_peak_82378,52,.,5.64888,8.14205,5.28039,64
NRL,gene-NRL,1064266,1100995,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379a,230,.,14.5257,27.0875,23.0731,440
NRL,gene-NRL,1064266,1100995,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379b,212,.,13.7187,25.2107,21.2771,888
NRL,gene-NRL,1064266,1100995,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379c,305,.,17.7536,34.818,30.5282,1014
PCK2,gene-PCK2,1077206,1087306,chr24,1076851,1078060,NC_023665.1,2803_006_autosomes_peak_82374a,143,.,10.4908,17.9672,14.3973,470
PCK2,gene-PCK2,1077206,1087306,chr24,1076851,1078060,NC_023665.1,2803_006_autosomes_peak_82374b,81,.,7.26285,11.2446,8.10932,940
PCK2,gene-PCK2,1077206,1087306,chr24,1078263,1078545,NC_023665.1,2803_006_autosomes_peak_82375,27,.,4.03491,5.27184,2.76836,167
PCK2,gene-PCK2,1077206,1087306,chr24,1082173,1082406,NC_023665.1,2803_006_autosomes_peak_82376,27,.,4.03491,5.27184,2.76836,71
PCK2,gene-PCK2,1077206,1087306,chr24,1086387,1086543,NC_023665.1,2803_006_autosomes_peak_82377,27,.,4.03491,5.27184,2.76836,114
PCK2,gene-PCK2,1077206,1087306,chr24,1087054,1087325,NC_023665.1,2803_006_autosomes_peak_82378,52,.,5.64888,8.14205,5.28039,64
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379a,230,.,14.5257,27.0875,23.0731,440
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379b,212,.,13.7187,25.2107,21.2771,888
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099914,1101756,NC_023665.1,2803_006_autosomes_peak_82379c,305,.,17.7536,34.818,30.5282,1014
DCAF11,gene-DCAF11,1100974,1110283,chr24,1102034,1102143,NC_023665.1,2803_006_autosomes_peak_82380,16,.,3.22793,3.94805,1.68706,49
FITM1,gene-FITM1,1116201,1118814,chr24,1116606,1116830,NC_023665.1,2803_006_autosomes_peak_82381,27,.,4.03491,5.27184,2.76836,47
PSME1,gene-PSME1,1122086,1124907,chr24,1121993,1122676,NC_023665.1,2803_006_autosomes_peak_82382,96,.,8.06983,12.8668,9.61173,124
PSME1,gene-PSME1,1122086,1124907,chr24,1124514,1124760,NC_023665.1,2803_006_autosomes_peak_82383,27,.,4.03491,5.27184,2.76836,13
EMC9,gene-EMC9,1124905,1127574,chr24,1127207,1127967,NC_023665.1,2803_006_autosomes_peak_82384a,96,.,8.06983,12.8668,9.61173,89
EMC9,gene-EMC9,1124905,1127574,chr24,1127207,1127967,NC_023665.1,2803_006_autosomes_peak_82384b,177,.,12.1047,21.5329,17.7725,318
PSME2,gene-PSME2,1129389,1133289,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385a,160,.,11.2978,19.7351,16.0682,430
PSME2,gene-PSME2,1129389,1133289,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385b,160,.,11.2978,19.7351,16.0682,810
PSME2,gene-PSME2,1129389,1133289,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385c,195,.,12.9117,23.3586,19.5098,1059
RNF31,gene-RNF31,1133589,1146020,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385a,160,.,11.2978,19.7351,16.0682,430
RNF31,gene-RNF31,1133589,1146020,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385b,160,.,11.2978,19.7351,16.0682,810
RNF31,gene-RNF31,1133589,1146020,chr24,1132393,1133938,NC_023665.1,2803_006_autosomes_peak_82385c,195,.,12.9117,23.3586,19.5098,1059
RNF31,gene-RNF31,1133589,1146020,chr24,1135359,1135529,NC_023665.1,2803_006_autosomes_peak_82386,16,.,3.22793,3.94805,1.68706,35
RNF31,gene-RNF31,1133589,1146020,chr24,1136954,1137120,NC_023665.1,2803_006_autosomes_peak_82387,16,.,3.22793,3.94805,1.68706,46
RNF31,gene-RNF31,1133589,1146020,chr24,1145430,1145724,NC_023665.1,2803_006_autosomes_peak_82388,39,.,4.8419,6.67379,3.97677,19
IRF9,gene-IRF9,1146116,1151622,chr24,1146201,1146812,NC_023665.1,2803_006_autosomes_peak_82389,111,.,8.87681,14.5303,11.1642,417
REC8,gene-REC8,1157135,1165927,chr24,1157674,1157940,NC_023665.1,2803_006_autosomes_peak_82390,39,.,4.8419,6.67379,3.97677,69
REC8,gene-REC8,1157135,1165927,chr24,1162765,1163286,NC_023665.1,2803_006_autosomes_peak_82391,27,.,4.03491,5.27184,2.76836,245
IPO4,gene-IPO4,1165892,1174660,chr24,1173781,1174618,NC_023665.1,2803_006_autosomes_peak_82392,39,.,4.8419,6.67379,3.97677,581
TM9SF1,gene-TM9SF1,1174808,1181558,chr24,1180975,1181779,NC_023665.1,2803_006_autosomes_peak_82393a,111,.,8.87681,14.5303,11.1642,240
TM9SF1,gene-TM9SF1,1174808,1181558,chr24,1180975,1181779,NC_023665.1,2803_006_autosomes_peak_82393b,111,.,8.87681,14.5303,11.1642,571
TSSK4,gene-TSSK4,1181695,1191387,chr24,1180975,1181779,NC_023665.1,2803_006_autosomes_peak_82393a,111,.,8.87681,14.5303,11.1642,240
TSSK4,gene-TSSK4,1181695,1191387,chr24,1180975,1181779,NC_023665.1,2803_006_autosomes_peak_82393b,111,.,8.87681,14.5303,11.1642,571
TSSK4,gene-TSSK4,1181695,1191387,chr24,1181951,1182089,NC_023665.1,2803_006_autosomes_peak_82394,16,.,3.22793,3.94805,1.68706,40
TSSK4,gene-TSSK4,1181695,1191387,chr24,1183180,1183394,NC_023665.1,2803_006_autosomes_peak_82395,39,.,4.8419,6.67379,3.97677,103
CHMP4A,gene-CHMP4A,1192581,1196989,chr24,1196108,1196948,NC_023665.1,2803_006_autosomes_peak_82396,160,.,11.2978,19.7351,16.0682,500
NEDD8,gene-NEDD8,1199974,1215079,chr24,1214901,1216012,NC_023665.1,2803_006_autosomes_peak_82397,39,.,4.8419,6.67379,3.97677,954
GMPR2,gene-GMPR2,1215137,1222219,chr24,1214901,1216012,NC_023665.1,2803_006_autosomes_peak_82397,39,.,4.8419,6.67379,3.97677,954
GMPR2,gene-GMPR2,1215137,1222219,chr24,1216910,1217020,NC_023665.1,2803_006_autosomes_peak_82398,16,.,3.22793,3.94805,1.68706,49
GMPR2,gene-GMPR2,1215137,1222219,chr24,1221283,1221441,NC_023665.1,2803_006_autosomes_peak_82399,27,.,4.03491,5.27184,2.76836,87
TINF2,gene-TINF2,1222617,1225981,chr24,1225222,1226461,NC_023665.1,2803_006_autosomes_peak_82400a,111,.,8.87681,14.5303,11.1642,249
TINF2,gene-TINF2,1222617,1225981,chr24,1225222,1226461,NC_023665.1,2803_006_autosomes_peak_82400b,143,.,10.4908,17.9672,14.3973,448
TGM1,gene-TGM1,1231827,1248018,chr24,1242016,1242218,NC_023665.1,2803_006_autosomes_peak_82401,39,.,4.8419,6.67379,3.97677,139
TGM1,gene-TGM1,1231827,1248018,chr24,1243950,1244120,NC_023665.1,2803_006_autosomes_peak_82402,39,.,4.8419,6.67379,3.97677,103
TGM1,gene-TGM1,1231827,1248018,chr24,1246103,1246395,NC_023665.1,2803_006_autosomes_peak_82403,27,.,4.03491,5.27184,2.76836,45
TGM1,gene-TGM1,1231827,1248018,chr24,1247160,1247565,NC_023665.1,2803_006_autosomes_peak_82404,27,.,4.03491,5.27184,2.76836,45
RABGGTA,gene-RABGGTA,1248637,1254937,chr24,1250742,1250860,NC_023665.1,2803_006_autosomes_peak_82406,16,.,3.22793,3.94805,1.68706,108
RABGGTA,gene-RABGGTA,1248637,1254937,chr24,1253609,1253925,NC_023665.1,2803_006_autosomes_peak_82407,16,.,3.22793,3.94805,1.68706,38
RABGGTA,gene-RABGGTA,1248637,1254937,chr24,1254118,1254363,NC_023665.1,2803_006_autosomes_peak_82408,16,.,3.22793,3.94805,1.68706,138
RABGGTA,gene-RABGGTA,1248637,1254937,chr24,1254542,1254815,NC_023665.1,2803_006_autosomes_peak_82409,52,.,5.64888,8.14205,5.28039,63
DHRS1,gene-DHRS1,1273717,1282761,chr24,1279612,1279714,NC_023665.1,2803_006_autosomes_peak_82413,16,.,3.22793,3.94805,1.68706,24
DHRS1,gene-DHRS1,1273717,1282761,chr24,1282400,1282784,NC_023665.1,2803_006_autosomes_peak_82414,81,.,7.26285,11.2446,8.10932,244
LTB4R2,gene-LTB4R2,1292283,1298723,chr24,1292518,1292705,NC_023665.1,2803_006_autosomes_peak_82415,27,.,4.03491,5.27184,2.76836,11
LTB4R2,gene-LTB4R2,1292283,1298723,chr24,1294933,1295190,NC_023665.1,2803_006_autosomes_peak_82416,39,.,4.8419,6.67379,3.97677,91
LTB4R,gene-LTB4R,1294453,1301113,chr24,1294933,1295190,NC_023665.1,2803_006_autosomes_peak_82416,39,.,4.8419,6.67379,3.97677,91
ADCY4,gene-ADCY4,1301445,1318171,chr24,1306456,1306609,NC_023665.1,2803_006_autosomes_peak_82417,16,.,3.22793,3.94805,1.68706,18
