chromosome,start,end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr7,9121,9871,NC_023648.1,2803_001_autosomes_peak_32750,225,.,12.0293,24.8224,22.538,291,0,1,"[46.0949442912, 18.096212984700003, -2.1198522007]",46.0949442912,18.096212984700003,-2.1198522007,"[46.0891146912, 18.099663509700004, -2.1170747257]",46.0891146912,18.099663509700004,-2.1170747257,9496,9.871,"[46.0891146912, 18.099663509700004, -2.1170747257]",46.0891146912,18.099663509700004,-2.1170747257
chr7,49264,49582,NC_023648.1,2803_001_autosomes_peak_32751,252,.,12.9916,27.6047,25.2812,171,0,1,"[45.7829207808, 18.280898884800003, -1.9711906288]",45.7829207808,18.280898884800003,-1.9711906288,"[45.7804490304, 18.282361907400002, -1.9700129794]",45.7804490304,18.282361907400002,-1.9700129794,49423,49.582,"[45.7804490304, 18.282361907400002, -1.9700129794]",45.7804490304,18.282361907400002,-1.9700129794
chr7,130248,131963,NC_023648.1,2803_001_autosomes_peak_32752a,78,.,6.25522,9.80253,7.81385,230,1,2,"[45.1534483456, 18.6534819736, -1.6712825816]",45.1534483456,18.6534819736,-1.6712825816,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221,131105,31.963,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221
chr7,130248,131963,NC_023648.1,2803_001_autosomes_peak_32752b,147,.,9.14224,16.9076,14.754,564,1,2,"[45.1534483456, 18.6534819736, -1.6712825816]",45.1534483456,18.6534819736,-1.6712825816,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221,131105,31.963,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221
chr7,130248,131963,NC_023648.1,2803_001_autosomes_peak_32752c,100,.,7.21756,12.0637,10.0145,980,1,2,"[45.1534483456, 18.6534819736, -1.6712825816]",45.1534483456,18.6534819736,-1.6712825816,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221,131105,31.963,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221
chr7,130248,131963,NC_023648.1,2803_001_autosomes_peak_32752d,280,.,13.954,30.4499,28.0891,1378,1,2,"[45.1534483456, 18.6534819736, -1.6712825816]",45.1534483456,18.6534819736,-1.6712825816,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221,131105,31.963,"[45.1401179936, 18.661372174100002, -1.6649314221]",45.1401179936,18.661372174100002,-1.6649314221
chr7,134454,134924,NC_023648.1,2803_001_autosomes_peak_32753,159,.,9.62341,18.1771,15.9999,140,1,2,"[45.120755948799996, 18.6728325178, -1.6557065018000001]",45.120755948799996,18.6728325178,-1.6557065018000001,"[45.1171027328, 18.6749948468, -1.6539659508]",45.1171027328,18.6749948468,-1.6539659508,134689,34.924,"[45.1171027328, 18.6749948468, -1.6539659508]",45.1171027328,18.6749948468,-1.6539659508
chr7,192925,193356,NC_023648.1,2803_001_autosomes_peak_32754,29,.,3.84937,4.75735,2.97448,255,1,2,"[44.66627256, 18.9418400475, -1.4391708475]",44.66627256,18.9418400475,-1.4391708475,"[44.6629224832, 18.9438229492, -1.4375747252000002]",44.6629224832,18.9438229492,-1.4375747252000002,193140,93.356,"[44.6629224832, 18.9438229492, -1.4375747252000002]",44.6629224832,18.9438229492,-1.4375747252000002
chr7,194270,194487,NC_023648.1,2803_001_autosomes_peak_32755,14,.,2.88702,3.05827,1.41458,138,1,2,"[44.655818144, 18.948027989, -1.434189909]",44.655818144,18.948027989,-1.434189909,"[44.6541314464, 18.9490263409, -1.4333862929]",44.6541314464,18.9490263409,-1.4333862929,194378,94.487,"[44.6541314464, 18.9490263409, -1.4333862929]",44.6541314464,18.9490263409,-1.4333862929
chr7,233065,233290,NC_023648.1,2803_001_autosomes_peak_32756,47,.,4.81171,6.6564,4.77727,106,2,3,"[44.326563898, 18.8632949065, -1.6161907965]",44.326563898,18.8632949065,-1.6161907965,"[44.324626468, 18.862538929, -1.617573669]",44.324626468,18.862538929,-1.617573669,233177,33.29,"[44.324626468, 18.862538929, -1.617573669]",44.324626468,18.862538929,-1.617573669
chr7,269558,270876,NC_023648.1,2803_001_autosomes_peak_32757a,57,.,5.29288,7.66889,5.74981,283,2,3,"[44.012329973599996, 18.7406820758, -1.8404804237999999]",44.012329973599996,18.7406820758,-1.8404804237999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836,270217,70.87599999999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836
chr7,269558,270876,NC_023648.1,2803_001_autosomes_peak_32757b,111,.,7.69873,13.2369,11.1598,549,2,3,"[44.012329973599996, 18.7406820758, -1.8404804237999999]",44.012329973599996,18.7406820758,-1.8404804237999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836,270217,70.87599999999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836
chr7,269558,270876,NC_023648.1,2803_001_autosomes_peak_32757c,211,.,11.5481,23.4565,21.1922,725,2,3,"[44.012329973599996, 18.7406820758, -1.8404804237999999]",44.012329973599996,18.7406820758,-1.8404804237999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836,270217,70.87599999999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836
chr7,269558,270876,NC_023648.1,2803_001_autosomes_peak_32757d,111,.,7.69873,13.2369,11.1598,912,2,3,"[44.012329973599996, 18.7406820758, -1.8404804237999999]",44.012329973599996,18.7406820758,-1.8404804237999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836,270217,70.87599999999999,"[44.0009809392, 18.7362537276, -1.8485809836]",44.0009809392,18.7362537276,-1.8485809836
chr7,401501,401675,NC_023648.1,2803_001_autosomes_peak_32758,14,.,2.88702,3.05827,1.41458,9,4,5,"[43.7854567887, 19.524598572, -1.733147371]",43.7854567887,19.524598572,-1.733147371,"[43.7852373225, 19.5229581, -1.733298925]",43.7852373225,19.5229581,-1.733298925,401588,1.675,"[43.7852373225, 19.5229581, -1.733298925]",43.7852373225,19.5229581,-1.733298925
chr7,516688,517083,NC_023648.1,2803_001_autosomes_peak_32759,100,.,7.21756,12.0637,10.0145,158,5,6,"[43.8249075856, 18.6022230192, -1.7867188096]",43.8249075856,18.6022230192,-1.7867188096,"[43.8287820221, 18.6023714997, -1.7859561436]",43.8287820221,18.6023714997,-1.7859561436,516885,17.083000000000002,"[43.8287820221, 18.6023714997, -1.7859561436]",43.8287820221,18.6023714997,-1.7859561436
chr7,566329,566622,NC_023648.1,2803_001_autosomes_peak_32760,29,.,3.84937,4.75735,2.97448,72,5,6,"[44.3118212623, 18.6208830711, -1.6908719668]",44.3118212623,18.6208830711,-1.6908719668,"[44.3146952114, 18.620993209799998, -1.6903062424000002]",44.3146952114,18.620993209799998,-1.6903062424000002,566475,66.622,"[44.3146952114, 18.620993209799998, -1.6903062424000002]",44.3146952114,18.620993209799998,-1.6903062424000002
chr7,566818,567023,NC_023648.1,2803_001_autosomes_peak_32761,29,.,3.84937,4.75735,2.97448,168,5,6,"[44.3166177166, 18.621066886199998, -1.6899278056]",44.3166177166,18.621066886199998,-1.6899278056,"[44.318628500100004, 18.6211439457, -1.6895319916]",44.318628500100004,18.6211439457,-1.6895319916,566920,67.023,"[44.318628500100004, 18.6211439457, -1.6895319916]",44.318628500100004,18.6211439457,-1.6895319916
chr7,574650,574856,NC_023648.1,2803_001_autosomes_peak_32762,21,.,3.3682,3.87986,2.15898,19,5,6,"[44.393439455, 18.624010935, -1.67480578]",44.393439455,18.624010935,-1.67480578,"[44.395460047200004, 18.6240883704, -1.6744080352000001]",44.395460047200004,18.6240883704,-1.6744080352000001,574753,74.856,"[44.395460047200004, 18.6240883704, -1.6744080352000001]",44.395460047200004,18.6240883704,-1.6744080352000001
chr7,615314,615926,NC_023648.1,2803_001_autosomes_peak_32763,47,.,4.81171,6.6564,4.77727,177,6,7,"[44.657143662, 18.7773292716, -1.6759122776000002]",44.657143662,18.7773292716,-1.6759122776000002,"[44.657745258000006, 18.7830755844, -1.6779125384]",44.657745258000006,18.7830755844,-1.6779125384,615620,15.926000000000002,"[44.657745258000006, 18.7830755844, -1.6779125384]",44.657745258000006,18.7830755844,-1.6779125384
chr7,621150,621539,NC_023648.1,2803_001_autosomes_peak_32764,135,.,8.66107,15.6603,13.5311,270,6,7,"[44.66288045, 18.83212581, -1.69498666]",44.66288045,18.83212581,-1.69498666,"[44.663262837000005, 18.8357782866, -1.6962580676]",44.663262837000005,18.8357782866,-1.6962580676,621344,21.539,"[44.663262837000005, 18.8357782866, -1.6962580676]",44.663262837000005,18.8357782866,-1.6962580676
chr7,622784,623094,NC_023648.1,2803_001_autosomes_peak_32765,57,.,5.29288,7.66889,5.74981,72,6,7,"[44.664486672, 18.8474680896, -1.7003272256000002]",44.664486672,18.8474680896,-1.7003272256000002,"[44.664791402, 18.850378803599998, -1.7013404296]",44.664791402,18.850378803599998,-1.7013404296,622939,23.094,"[44.664791402, 18.850378803599998, -1.7013404296]",44.664791402,18.850378803599998,-1.7013404296
chr7,632774,633879,NC_023648.1,2803_001_autosomes_peak_32766,1382,.,44.7489,141.483,138.241,401,6,7,"[44.674306842, 18.9412681956, -1.7329785416]",44.674306842,18.9412681956,-1.7329785416,"[44.675393057, 18.951643482599998, -1.7365901236]",44.675393057,18.951643482599998,-1.7365901236,633326,33.879,"[44.675393057, 18.951643482599998, -1.7365901236]",44.675393057,18.951643482599998,-1.7365901236
chr7,635773,636034,NC_023648.1,2803_001_autosomes_peak_32767,21,.,3.3682,3.87986,2.15898,41,6,7,"[44.677254859, 18.9694270062, -1.7427804732]",44.677254859,18.9694270062,-1.7427804732,"[44.677511422, 18.9718776396, -1.7436335256000002]",44.677511422,18.9718776396,-1.7436335256000002,635903,36.034,"[44.677511422, 18.9718776396, -1.7436335256000002]",44.677511422,18.9718776396,-1.7436335256000002
chr7,636665,636781,NC_023648.1,2803_001_autosomes_peak_32768,14,.,2.88702,3.05827,1.41458,47,6,7,"[44.678131695000005, 18.977802351, -1.745695886]",44.678131695000005,18.977802351,-1.745695886,"[44.678245723, 18.9788915214, -1.7460750204000002]",44.678245723,18.9788915214,-1.7460750204000002,636723,36.781000000000006,"[44.678245723, 18.9788915214, -1.7460750204000002]",44.678245723,18.9788915214,-1.7460750204000002
chr7,640615,641180,NC_023648.1,2803_001_autosomes_peak_32769,159,.,9.62341,18.1771,15.9999,319,6,7,"[44.682014545, 19.014890481, -1.758606066]",44.682014545,19.014890481,-1.758606066,"[44.68256994, 19.020195492, -1.7604527120000002]",44.68256994,19.020195492,-1.7604527120000002,640897,41.18,"[44.68256994, 19.020195492, -1.7604527120000002]",44.68256994,19.020195492,-1.7604527120000002
chr7,674749,674904,NC_023648.1,2803_001_autosomes_peak_32770,21,.,3.3682,3.87986,2.15898,72,6,7,"[44.715568267, 19.3353882606, -1.8701696316]",44.715568267,19.3353882606,-1.8701696316,"[44.715720632, 19.3368436176, -1.8706762336000002]",44.715720632,19.3368436176,-1.8706762336000002,674826,74.90400000000001,"[44.715720632, 19.3368436176, -1.8706762336000002]",44.715720632,19.3368436176,-1.8706762336000002
