seqid,start,end,id,name,seqid_old,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos,center_of_mass,distance_from_com
chr2,11397,31197,gene-PCMTD2,PCMTD2,NC_023643.1,0,1,"[11.926082906500001, 28.1607787084, 48.8363187778]",11.9260829065,28.1607787084,48.8363187778,"[12.073880006500001, 28.0510312684, 48.9259612978]",12.0738800065,28.0510312684,48.9259612978,21297,12.0738800065,28.0510312684,48.9259612978,31.197000000000003,"[12.073880006500001, 28.0510312684, 48.9259612978]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",1.6078178857156853
chr2,44849,50451,gene-LOC103242308,LOC103242308,NC_023643.1,0,1,"[12.1757853605, 27.9753609628, 48.9877693626]",12.1757853605,27.9753609628,48.9877693626,"[12.2176014895, 27.9443101972, 49.0131318574]",12.2176014895,27.9443101972,49.0131318574,47650,12.2176014895,27.9443101972,49.0131318574,50.451,"[12.2176014895, 27.9443101972, 49.0131318574]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",1.663340812144688
chr2,59574,96113,gene-MYT1,MYT1,NC_023643.1,0,1,"[12.285700123, 27.8937432328, 49.0544353276]",12.285700123,27.8937432328,49.0544353276,"[12.5584454885, 27.6912148636, 49.219861996199995]",12.5584454885,27.6912148636,49.2198619962,77843,12.5584454885,27.6912148636,49.2198619962,96.113,"[12.5584454885, 27.6912148636, 49.219861996199995]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",1.8746793485084865
chr2,141897,145294,gene-NPBWR2,NPBWR2,NC_023643.1,1,2,"[12.9002001565, 27.4374433084, 49.4271444778]",12.9002001565,27.4374433084,49.4271444778,"[12.925557063, 27.4186144168, 49.442524055599996]",12.925557063,27.4186144168,49.4425240556,143595,12.925557063,27.4186144168,49.4425240556,45.294,"[12.925557063, 27.4186144168, 49.442524055599996]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.1951263276571056
chr2,148462,157915,gene-OPRL1,OPRL1,NC_023643.1,1,2,"[12.949204599, 27.4010548264, 49.4568668588]",12.949204599,27.4010548264,49.4568668588,"[13.019766517499999, 27.348658738, 49.499664370999994]",13.0197665175,27.348658738,49.499664371,153188,13.0197665175,27.348658738,49.499664371,57.915000000000006,"[13.019766517499999, 27.348658738, 49.499664370999994]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.2883770333686324
chr2,155881,166480,gene-LOC103242338,LOC103242338,NC_023643.1,1,2,"[13.0045837245, 27.359932793200002, 49.4904556394]",13.0045837245,27.3599327932,49.4904556394,"[13.083699959999999, 27.301184656, 49.538441551999995]",13.08369996,27.301184656,49.538441552,161180,13.08369996,27.301184656,49.538441552,66.47999999999999,"[13.083699959999999, 27.301184656, 49.538441551999995]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.353678614473905
chr2,160545,163273,gene-LKAAEAR1,LKAAEAR1,NC_023643.1,1,2,"[13.0393981525, 27.334081174, 49.511571433]",13.0393981525,27.334081174,49.511571433,"[13.0597613085, 27.3189604156, 49.523922180199996]",13.0597613085,27.3189604156,49.5239221802,161909,13.0597613085,27.3189604156,49.5239221802,63.273,"[13.0597613085, 27.3189604156, 49.523922180199996]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.3290476437981464
chr2,166690,173324,gene-RGS19,RGS19,NC_023643.1,1,2,"[13.085267505, 27.300020668000002, 49.539392305999996]",13.085267505,27.300020668,49.539392306,"[13.134786998, 27.263249732800002, 49.5694270776]",13.134786998,27.2632497328,49.5694270776,170007,13.134786998,27.2632497328,49.5694270776,73.324,"[13.134786998, 27.263249732800002, 49.5694270776]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.406928419325965
chr2,174158,184237,gene-TCEA2,TCEA2,NC_023643.1,1,2,"[13.141012391, 27.2586270376, 49.5732029292]",13.141012391,27.2586270376,49.5732029292,"[13.2162470865, 27.2027611564, 49.618834593799996]",13.2162470865,27.2027611564,49.6188345938,179197,13.2162470865,27.2027611564,49.6188345938,84.237,"[13.2162470865, 27.2027611564, 49.618834593799996]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.493640746607157
chr2,185205,209280,gene-LOC103242374,LOC103242374,NC_023643.1,1,3,"[12.82356731525, 27.8883486325, 49.404870783999996]",12.82356731525,27.8883486325,49.404870784,"[12.890280344, 27.95013712, 49.452173344]",12.890280344,27.95013712,49.452173344,197242,12.890280344,27.95013712,49.452173344,54.64,"[12.890280344, 27.95013712, 49.452173344]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.297617356616466
chr2,195418,197221,gene-SOX18,SOX18,NC_023643.1,1,2,"[13.299707661, 27.1407871096, 49.669455453199994]",13.299707661,27.1407871096,49.6694554532,"[13.3131661545, 27.1307934412, 49.6776183554]",13.3131661545,27.1307934412,49.6776183554,196319,13.3131661545,27.1307934412,49.6776183554,97.221,"[13.3131661545, 27.1307934412, 49.6776183554]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.5994243812800915
chr2,211482,259590,gene-PRPF6,PRPF6,NC_023643.1,2,3,"[13.311837003199999, 27.2379695356, 49.683336060399995]",13.3118370032,27.2379695356,49.6833360604,"[13.219354184, 27.751560922, 49.654577098]",13.219354184,27.751560922,49.654577098,235536,13.219354184,27.751560922,49.654577098,59.59,"[13.219354184, 27.751560922, 49.654577098]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.5822124257207055
chr2,260273,266808,gene-SAMD10,SAMD10,NC_023643.1,2,3,"[13.218041184799999, 27.758852493400003, 49.6541688006]",13.2180411848,27.758852493400003,49.6541688006,"[13.2054783008, 27.8286188464, 49.6502621776]",13.2054783008,27.8286188464,49.6502621776,263540,13.2054783008,27.8286188464,49.6502621776,66.808,"[13.2054783008, 27.8286188464, 49.6502621776]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.588319428805878
chr2,271544,282028,gene-ZNF512B,ZNF512B,NC_023643.1,2,3,"[13.1963738144, 27.8791794352, 49.6474309968]",13.1963738144,27.8791794352,49.6474309968,"[13.1762193728, 27.9911045224, 49.6411636616]",13.1762193728,27.9911045224,49.6411636616,276786,13.1762193728,27.9911045224,49.6411636616,82.028,"[13.1762193728, 27.9911045224, 49.6411636616]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.6088860934632065
chr2,281992,282314,gene-LOC103242444,LOC103242444,NC_023643.1,2,3,"[13.1762885792, 27.9907201936, 49.6411851824]",13.1762885792,27.9907201936,49.6411851824,"[13.1756695664, 27.9941578012, 49.6409926908]",13.1756695664,27.9941578012,49.6409926908,282153,13.1756695664,27.9941578012,49.6409926908,82.314,"[13.1756695664, 27.9941578012, 49.6409926908]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.6093713075402305
chr2,282267,299148,gene-UCKL1,UCKL1,NC_023643.1,2,3,"[13.175759919199999, 27.9936560386, 49.6410207874]",13.1757599192,27.9936560386,49.6410207874,"[13.143307884799999, 28.1738742184, 49.6309293256]",13.1433078848,28.1738742184,49.6309293256,290707,13.1433078848,28.1738742184,49.6309293256,99.148,"[13.143307884799999, 28.1738742184, 49.6309293256]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.6442136111742376
chr2,303195,310618,gene-DNAJC5,DNAJC5,NC_023643.1,3,4,"[13.1559775295, 28.169941429, 49.656125692]",13.1559775295,28.169941429,49.656125692,"[13.1892184658, 28.1396719196, 49.7158481808]",13.1892184658,28.1396719196,49.7158481808,306906,13.1892184658,28.1396719196,49.7158481808,10.618,"[13.1892184658, 28.1396719196, 49.7158481808]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.7220084193511163
chr2,343782,359474,gene-TPD52L2,TPD52L2,NC_023643.1,3,4,"[13.337730174199999, 28.0044357604, 49.9826724592]",13.3377301742,28.0044357604,49.9826724592,"[13.4080005194, 27.9404469228, 50.1089240144]",13.4080005194,27.9404469228,50.1089240144,351628,13.4080005194,27.9404469228,50.1089240144,59.474,"[13.4080005194, 27.9404469228, 50.1089240144]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",3.094195675657654
chr2,356487,362611,gene-LOC103242465,LOC103242465,NC_023643.1,3,4,"[13.394624434699999, 27.9526273114, 50.0848918072]",13.3946244347,27.9526273114,50.0848918072,"[13.4220483191, 27.9276548642, 50.1341630616]",13.4220483191,27.9276548642,50.1341630616,359549,13.4220483191,27.9276548642,50.1341630616,62.611,"[13.4220483191, 27.9276548642, 50.1341630616]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",3.119227816705193
chr2,364379,366665,gene-LOC103248979,LOC103248979,NC_023643.1,3,4,"[13.4299655999, 27.9204453138, 50.1483876824]",13.4299655999,27.9204453138,50.1483876824,"[13.4402025365, 27.911123463, 50.166779924000004]",13.4402025365,27.911123463,50.166779924,365522,13.4402025365,27.911123463,50.166779924,66.66499999999999,"[13.4402025365, 27.911123463, 50.166779924000004]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",3.1517518291427664
chr2,367344,370151,gene-ABHD16B,ABHD16B,NC_023643.1,3,4,"[13.4432431664, 27.9083546368, 50.1722428864]",13.4432431664,27.9083546368,50.1722428864,"[13.4558131931, 27.8969082522, 50.1948268856]",13.4558131931,27.8969082522,50.1948268856,368747,13.4558131931,27.8969082522,50.1948268856,70.151,"[13.4558131931, 27.8969082522, 50.1948268856]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",3.179872078338216
chr2,397663,487145,gene-ZBTB46,ZBTB46,NC_023643.1,3,5,"[13.3515380207, 28.14096026055, 49.594240741650005]",13.3515380207,28.14096026055,49.594240741650005,"[13.5438258905, 28.102469578250002, 49.561092134750005]",13.5438258905,28.10246957825,49.561092134750005,442404,13.5438258905,28.10246957825,49.561092134750005,93.5725,"[13.5438258905, 28.102469578250002, 49.561092134750005]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.800830615052904
chr2,455137,461152,gene-LOC103242515,LOC103242515,NC_023643.1,4,5,"[13.5795387989, 27.952593297499998, 49.950518749500006]",13.5795387989,27.9525932975,49.950518749500006,"[13.5784542944, 27.97194656, 49.897667952000006]",13.5784542944,27.97194656,49.897667952000006,458144,13.5784542944,27.97194656,49.897667952000006,61.152,"[13.5784542944, 27.97194656, 49.897667952000006]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",3.031799954980771
chr2,481160,483545,gene-LOC103242511,LOC103242511,NC_023643.1,4,5,"[13.574846852, 28.0363223, 49.72186766]",13.574846852,28.0363223,49.72186766,"[13.574416836500001, 28.0439960375, 49.7009118575]",13.5744168365,28.0439960375,49.7009118575,482352,13.5744168365,28.0439960375,49.7009118575,83.545,"[13.574416836500001, 28.0439960375, 49.7009118575]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.9023523695790447
chr2,487282,490957,gene-SLC2A4RG,SLC2A4RG,NC_023643.1,4,5,"[13.5737430554, 28.056019835, 49.668076707000004]",13.5737430554,28.056019835,49.668076707,"[13.573080452900001, 28.0678441475, 49.6357863195]",13.5730804529,28.0678441475,49.6357863195,489119,13.5730804529,28.0678441475,49.6357863195,90.957,"[13.573080452900001, 28.0678441475, 49.6357863195]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.861597446359582
chr2,491618,494446,gene-LIME1,LIME1,NC_023643.1,4,5,"[13.5729612746, 28.069970915, 49.629978443000006]",13.5729612746,28.069970915,49.629978443000006,"[13.572451386200001, 28.079070005, 49.605130221]",13.5724513862,28.079070005,49.605130221,493032,13.5724513862,28.079070005,49.605130221,94.446,"[13.572451386200001, 28.079070005, 49.605130221]","[11.763841692477879, 27.20897205752212, 47.591835785398224]",2.84279685289961
