chr,bin1_start,bin2_start,contact_count
chr29,1000000,1000000,21523.337890625
chr29,1000000,1100000,3368.997802734375
chr29,1100000,1100000,17823.53515625
chr29,1000000,1200000,878.9755249023438
chr29,1100000,1200000,1995.9744873046875
chr29,1200000,1200000,15289.0478515625
chr29,1000000,1300000,366.3934020996094
chr29,1100000,1300000,829.5194091796875
chr29,1200000,1300000,3371.73828125
chr29,1300000,1300000,15693.203125
chr29,1000000,1400000,769.6846923828125
chr29,1100000,1400000,1688.6561279296875
chr29,1200000,1400000,3325.88525390625
chr29,1300000,1400000,4337.08154296875
chr29,1400000,1400000,14074.34765625
chr29,1000000,1500000,564.8433837890625
chr29,1100000,1500000,986.8629150390625
chr29,1200000,1500000,1202.438720703125
chr29,1300000,1500000,848.5470581054688
chr29,1400000,1500000,1716.2906494140625
chr29,1500000,1500000,13300.3056640625
chr29,1000000,1600000,198.29931640625
chr29,1100000,1600000,374.0218200683594
chr29,1200000,1600000,445.1982116699219
chr29,1300000,1600000,397.3444519042969
chr29,1400000,1600000,466.7354736328125
chr29,1500000,1600000,2247.395263671875
chr29,1600000,1600000,13036.0673828125
chr29,1000000,1700000,155.97918701171875
chr29,1100000,1700000,272.4042053222656
chr29,1200000,1700000,335.7333984375
chr29,1300000,1700000,341.7518615722656
chr29,1400000,1700000,387.4454650878906
chr29,1500000,1700000,1294.501708984375
chr29,1600000,1700000,3758.08984375
chr29,1700000,1700000,13474.111328125
chr29,1000000,1800000,78.11309814453125
chr29,1100000,1800000,154.24391174316406
chr29,1200000,1800000,307.73614501953125
chr29,1300000,1800000,355.71258544921875
chr29,1400000,1800000,408.828369140625
chr29,1500000,1800000,1182.9334716796875
chr29,1600000,1800000,2204.9443359375
chr29,1700000,1800000,3549.84375
chr29,1800000,1800000,14130.955078125
chr29,1000000,1900000,152.50164794921875
chr29,1100000,1900000,236.11907958984375
chr29,1200000,1900000,355.41314697265625
chr29,1300000,1900000,379.9500427246094
chr29,1400000,1900000,472.6224365234375
chr29,1500000,1900000,1419.7637939453125
chr29,1600000,1900000,2076.821533203125
chr29,1700000,1900000,2140.300537109375
chr29,1800000,1900000,3976.82421875
chr29,1900000,1900000,13363.361328125
chr29,1000000,2000000,236.70050048828125
chr29,1100000,2000000,419.3050842285156
chr29,1200000,2000000,408.94830322265625
chr29,1300000,2000000,308.8025817871094
chr29,1400000,2000000,504.7518005371094
chr29,1500000,2000000,1708.138671875
chr29,1600000,2000000,1602.4036865234375
chr29,1700000,2000000,1299.7169189453125
chr29,1800000,2000000,1016.9889526367188
chr29,1900000,2000000,2199.476806640625
chr29,2000000,2000000,11393.0146484375
chr29,1000000,2100000,190.35421752929688
chr29,1100000,2100000,358.18939208984375
chr29,1200000,2100000,372.8192443847656
chr29,1300000,2100000,248.42074584960938
chr29,1400000,2100000,342.87420654296875
chr29,1500000,2100000,1053.2620849609375
chr29,1600000,2100000,815.5431518554688
chr29,1700000,2100000,633.4076538085938
chr29,1800000,2100000,572.0159912109375
chr29,1900000,2100000,785.1435546875
chr29,2000000,2100000,3723.95751953125
chr29,2100000,2100000,12808.5537109375
chr29,1000000,2200000,155.68392944335938
chr29,1100000,2200000,232.78208923339844
chr29,1200000,2200000,259.6083679199219
chr29,1300000,2200000,224.49940490722656
chr29,1400000,2200000,281.707275390625
chr29,1500000,2200000,563.8780517578125
chr29,1600000,2200000,535.308349609375
chr29,1700000,2200000,515.0980834960938
chr29,1800000,2200000,368.3624572753906
chr29,1900000,2200000,520.1652221679688
chr29,2000000,2200000,1463.169189453125
chr29,2100000,2200000,2493.51220703125
chr29,2200000,2200000,13156.751953125
chr29,1000000,2300000,147.06980895996094
chr29,1100000,2300000,226.4689483642578
chr29,1200000,2300000,258.24664306640625
chr29,1300000,2300000,200.07525634765625
chr29,1400000,2300000,234.36346435546875
chr29,1500000,2300000,579.1724243164062
chr29,1600000,2300000,493.2015380859375
chr29,1700000,2300000,486.3192138671875
chr29,1800000,2300000,339.4762268066406
chr29,1900000,2300000,501.04351806640625
chr29,2000000,2300000,1578.1044921875
chr29,2100000,2300000,2166.55126953125
chr29,2200000,2300000,4193.775390625
chr29,2300000,2300000,12395.1220703125
chr29,1000000,2400000,48.343204498291016
chr29,1100000,2400000,98.18700408935547
chr29,1200000,2400000,177.6119384765625
chr29,1300000,2400000,189.27011108398438
chr29,1400000,2400000,197.15740966796875
chr29,1500000,2400000,311.3069763183594
chr29,1600000,2400000,351.362548828125
chr29,1700000,2400000,280.5048828125
chr29,1800000,2400000,315.7460632324219
chr29,1900000,2400000,388.409423828125
chr29,2000000,2400000,597.0197143554688
chr29,2100000,2400000,900.8842163085938
chr29,2200000,2400000,1299.6116943359375
chr29,2300000,2400000,2104.726806640625
chr29,2400000,2400000,13330.0048828125
chr29,1000000,2500000,66.99063873291016
chr29,1100000,2500000,126.989990234375
chr29,1200000,2500000,133.01458740234375
chr29,1300000,2500000,130.18492126464844
chr29,1400000,2500000,108.37210845947266
chr29,1500000,2500000,212.80650329589844
chr29,1600000,2500000,217.0520782470703
chr29,1700000,2500000,206.75157165527344
chr29,1800000,2500000,170.66651916503906
chr29,1900000,2500000,246.209228515625
chr29,2000000,2500000,393.3962097167969
chr29,2100000,2500000,621.4384765625
chr29,2200000,2500000,865.49755859375
chr29,2300000,2500000,1110.6270751953125
chr29,2400000,2500000,3504.900390625
chr29,2500000,2500000,13401.6953125
chr29,1000000,2600000,38.288726806640625
chr29,1100000,2600000,49.81087112426758
chr29,1200000,2600000,91.71261596679688
chr29,1300000,2600000,98.57421112060547
chr29,1400000,2600000,95.13728332519531
chr29,1500000,2600000,112.11729431152344
chr29,1600000,2600000,128.15789794921875
chr29,1700000,2600000,130.0608367919922
chr29,1800000,2600000,167.8477325439453
chr29,1900000,2600000,172.772216796875
chr29,2000000,2600000,286.723388671875
chr29,2100000,2600000,340.5006103515625
chr29,2200000,2600000,519.7081298828125
chr29,2300000,2600000,692.0775756835938
chr29,2400000,2600000,1656.7779541015625
chr29,2500000,2600000,3066.771240234375
chr29,2600000,2600000,11384.82421875
chr29,1000000,2700000,41.89751052856445
chr29,1100000,2700000,49.792747497558594
chr29,1200000,2700000,68.80411529541016
chr29,1300000,2700000,86.8047866821289
chr29,1400000,2700000,61.902915954589844
chr29,1500000,2700000,83.35506439208984
chr29,1600000,2700000,112.48485565185547
chr29,1700000,2700000,122.30900573730469
chr29,1800000,2700000,122.07398986816406
chr29,1900000,2700000,143.63088989257812
chr29,2000000,2700000,191.53111267089844
chr29,2100000,2700000,287.3340759277344
chr29,2200000,2700000,371.38818359375
chr29,2300000,2700000,454.7763977050781
chr29,2400000,2700000,853.4415893554688
