chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr20,1003274,1003485,2.90997659256108,10,11,"[38.5912405584, 21.694112665200002, -1.5154029118]",38.5912405584,21.694112665200002,-1.5154029118,"[38.588957876, 21.693306603, -1.5149029895000001]",38.588957876,21.693306603,-1.5149029895000001,1003379,3.485,"[38.588957876, 21.693306603, -1.5149029895000001]",38.588957876,21.693306603,-1.5149029895000001
chr20,1288698,1289272,5.561619012613329,12,13,"[38.103662603400004, 20.712921117, -0.7653647333999999]",38.103662603400004,20.712921117,-0.7653647333999999,"[38.107998197600004, 20.710749388, -0.7689455176]",38.107998197600004,20.710749388,-0.7689455176,1288985,89.27199999999999,"[38.107998197600004, 20.710749388, -0.7689455176]",38.107998197600004,20.710749388,-0.7689455176
chr20,1290519,1290773,2.691929370868863,12,13,"[38.1174171627, 20.7060313635, -0.7767246777000001]",38.1174171627,20.7060313635,-0.7767246777000001,"[38.1193357009, 20.7050703545, -0.7783092059000001]",38.1193357009,20.7050703545,-0.7783092059000001,1290646,90.77300000000001,"[38.1193357009, 20.7050703545, -0.7783092059000001]",38.1193357009,20.7050703545,-0.7783092059000001
chr20,1402783,1403127,1.9761208659687708,14,15,"[37.6321206613, 20.1853711035, -1.3401590979]",37.6321206613,20.1853711035,-1.3401590979,"[37.6311578397, 20.1871820915, -1.3434481851]",37.6311578397,20.1871820915,-1.3434481851,1402955,3.127,"[37.6311578397, 20.1871820915, -1.3434481851]",37.6311578397,20.1871820915,-1.3434481851
chr20,1527223,1528254,5.001395706119871,15,16,"[37.1621441799, 20.5804296091, -2.3666673821]",37.1621441799,20.5804296091,-2.3666673821,"[37.1546501502, 20.5760083718, -2.3703405258]",37.1546501502,20.5760083718,-2.3703405258,1527738,28.254,"[37.1546501502, 20.5760083718, -2.3703405258]",37.1546501502,20.5760083718,-2.3703405258
chr20,1548458,1549049,1.72572515095551,15,16,"[37.0077933354, 20.489367558599998, -2.4423213166]",37.0077933354,20.489367558599998,-2.4423213166,"[37.0034975337, 20.4868331733, -2.4444268723]",37.0034975337,20.4868331733,-2.4444268723,1548753,49.049,"[37.0034975337, 20.4868331733, -2.4444268723]",37.0034975337,20.4868331733,-2.4444268723
chr20,1709332,1709572,1.5229807063937186,17,18,"[37.0820776248, 20.3915263612, -1.8530267628000001]",37.0820776248,20.3915263612,-1.8530267628000001,"[37.0836571608, 20.3900693452, -1.8542814588]",37.0836571608,20.3900693452,-1.8542814588,1709452,9.572,"[37.0836571608, 20.3900693452, -1.8542814588]",37.0836571608,20.3900693452,-1.8542814588
chr20,1714878,1715112,2.36694439761659,17,18,"[37.1185780692, 20.3578571498, -1.8820206962000001]",37.1185780692,20.3578571498,-1.8820206962000001,"[37.1201181168, 20.356436559200002, -1.8832440248000002]",37.1201181168,20.356436559200002,-1.8832440248000002,1714995,15.112,"[37.1201181168, 20.356436559200002, -1.8832440248000002]",37.1201181168,20.356436559200002,-1.8832440248000002
chr20,1716348,1716722,4.433373971418901,17,18,"[37.1282527272, 20.3489329268, -1.8897057092]",37.1282527272,20.3489329268,-1.8897057092,"[37.1307141708, 20.3466624102, -1.8916609438]",37.1307141708,20.3466624102,-1.8916609438,1716535,16.722,"[37.1307141708, 20.3466624102, -1.8916609438]",37.1307141708,20.3466624102,-1.8916609438
chr20,2002608,2002831,1.6108994532059129,20,21,"[37.9582716704, 19.979460447999998, -1.4964534944]",37.9582716704,19.979460447999998,-1.4964534944,"[37.9577083278, 19.977365585999998, -1.4972566958]",37.9577083278,19.977365585999998,-1.4972566958,2002719,2.831,"[37.9577083278, 19.977365585999998, -1.4972566958]",37.9577083278,19.977365585999998,-1.4972566958
chr20,2052993,2054109,2.4986853226752266,20,21,"[37.8309890834, 19.506143758, -1.6779301874]",37.8309890834,19.506143758,-1.6779301874,"[37.828169844200005, 19.495660054, -1.6819497962]",37.828169844200005,19.495660054,-1.6819497962,2053551,54.108999999999995,"[37.828169844200005, 19.495660054, -1.6819497962]",37.828169844200005,19.495660054,-1.6819497962
chr20,2073102,2073576,4.636160841093788,20,21,"[37.7801897276, 19.317239812, -1.7503587836]",37.7801897276,19.317239812,-1.7503587836,"[37.7789923088, 19.312787056, -1.7520660368]",37.7789923088,19.312787056,-1.7520660368,2073339,73.576,"[37.7789923088, 19.312787056, -1.7520660368]",37.7789923088,19.312787056,-1.7520660368
chr20,2073905,2074453,7.359866302161321,20,21,"[37.778161189, 19.30969643, -1.753251029]",37.778161189,19.30969643,-1.753251029,"[37.7767768314, 19.304548518, -1.7552248154]",37.7767768314,19.304548518,-1.7552248154,2074179,74.453,"[37.7767768314, 19.304548518, -1.7552248154]",37.7767768314,19.304548518,-1.7552248154
chr20,2082771,2083319,4.5207833588993465,20,21,"[37.7557638998, 19.226409226, -1.7851845878]",37.7557638998,19.226409226,-1.7851845878,"[37.7543795422, 19.221261314, -1.7871583742000001]",37.7543795422,19.221261314,-1.7871583742000001,2083045,83.319,"[37.7543795422, 19.221261314, -1.7871583742000001]",37.7543795422,19.221261314,-1.7871583742000001
chr20,2087988,2088279,1.9352135006914437,20,21,"[37.7425847144, 19.177400728, -1.8039751784]",37.7425847144,19.177400728,-1.8039751784,"[37.741849590200005, 19.174667074, -1.8050233022]",37.741849590200005,19.174667074,-1.8050233022,2088133,88.279,"[37.741849590200005, 19.174667074, -1.8050233022]",37.741849590200005,19.174667074,-1.8050233022
chr20,2190876,2191136,2.1185980732624348,21,22,"[37.1200192832, 19.108007815599997, -2.5551822152]",37.1200192832,19.108007815599997,-2.5551822152,"[37.118324915200006, 19.108132121599997, -2.5572076671999997]",37.118324915200006,19.108132121599997,-2.5572076671999997,2191006,91.136,"[37.118324915200006, 19.108132121599997, -2.5572076671999997]",37.118324915200006,19.108132121599997,-2.5572076671999997
chr20,2319085,2319835,2.231401986440023,23,24,"[37.170783111999995, 19.8255979955, -2.04652629]",37.170783111999995,19.8255979955,-2.04652629,"[37.175603511999995, 19.8206947205, -2.04388179]",37.175603511999995,19.8206947205,-2.04388179,2319460,19.835,"[37.175603511999995, 19.8206947205, -2.04388179]",37.175603511999995,19.8206947205,-2.04388179
chr20,2349995,2350281,1.7268727192511926,23,24,"[37.369447864, 19.6235176885, -1.93753763]",37.369447864,19.6235176885,-1.93753763,"[37.3712860432, 19.6216479063, -1.936529194]",37.3712860432,19.6216479063,-1.936529194,2350138,50.281,"[37.3712860432, 19.6216479063, -1.936529194]",37.3712860432,19.6216479063,-1.936529194
chr20,2366185,2366667,3.593327931843358,23,24,"[37.473504232, 19.5176723255, -1.8804516900000001]",37.473504232,19.5176723255,-1.8804516900000001,"[37.4766021424, 19.514521154100002, -1.878752158]",37.4766021424,19.514521154100002,-1.878752158,2366426,66.667,"[37.4766021424, 19.514521154100002, -1.878752158]",37.4766021424,19.514521154100002,-1.878752158
chr20,2375100,2375383,3.0278694954019554,23,24,"[37.53080272, 19.45938873, -1.8490174000000001]",37.53080272,19.45938873,-1.8490174000000001,"[37.5326216176, 19.4575385609, -1.848019542]",37.5326216176,19.4575385609,-1.848019542,2375241,75.383,"[37.5326216176, 19.4575385609, -1.848019542]",37.5326216176,19.4575385609,-1.848019542
chr20,2480016,2480361,3.5836472072463104,24,25,"[37.811544136, 19.3824251616, -0.8834524816000002]",37.811544136,19.3824251616,-0.8834524816000002,"[37.8120645685, 19.3827952086, -0.8796678661]",37.8120645685,19.3827952086,-0.8796678661,2480188,80.361,"[37.8120645685, 19.3827952086, -0.8796678661]",37.8120645685,19.3827952086,-0.8796678661
