gene_name,gene_id,start,end,chromosome,chromosome_nc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
ODF3,gene-ODF3,4916,10379,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
BET1L,gene-BET1L,14423,18444,chr1,NC_023642.1,115.1778851,0.324415271,0.219941211,1.475009026,0.140210117,0.387518142
RIC8A,gene-RIC8A,18597,25398,chr1,NC_023642.1,159.0762357,0.0429928,0.199179212,0.215849836,0.829104801,0.930621498
SIRT3,gene-SIRT3,25740,49471,chr1,NC_023642.1,5.485128021,0.677431553,1.010181662,0.670603693,0.502473029,NA
LOC103234607,gene-LOC103234607,28649,29165,chr1,NC_023642.1,1.317037436,0.145950145,2.256555614,0.064678284,0.948430153,NA
PSMD13,gene-PSMD13,49510,67353,chr1,NC_023642.1,339.7951963,-0.285069974,0.141959783,-2.008103756,0.044632267,0.192393149
NLRP6,gene-NLRP6,92213,99919,chr1,NC_023642.1,0.23152667,0.0,5.39771668,0.0,1.0,NA
ATHL1,gene-ATHL1,102388,109337,chr1,NC_023642.1,4.425596925,0.95025336,1.06944664,0.888546772,0.374246708,NA
IFITM5,gene-IFITM5,112164,113988,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
LOC103241759,gene-LOC103241759,124603,127671,chr1,NC_023642.1,2.058550005,0.978397583,1.575437493,0.621032308,0.534578366,NA
IFITM1,gene-IFITM1,128309,129543,chr1,NC_023642.1,4.833498397,0.20844272,1.130790453,0.18433364,0.853751726,NA
LOC103241765,gene-LOC103241765,129666,136899,chr1,NC_023642.1,0.176560493,0.0,5.39771668,0.0,1.0,NA
IFITM3,gene-IFITM3,147228,148078,chr1,NC_023642.1,NA,NA,NA,NA,NA,NA
B4GALNT4,gene-B4GALNT4,194763,206351,chr1,NC_023642.1,49.87740477,1.626033349,0.410777954,3.958424096,7.54459091506247e-05,0.001772176
PKP3,gene-PKP3,214986,223958,chr1,NC_023642.1,70.20971173,0.410296993,0.299040683,1.372044061,0.170049722,0.432015862
SIGIRR,gene-SIGIRR,224727,234769,chr1,NC_023642.1,14.70695492,1.703719005,0.761522545,2.237253534,0.025269774,NA
ANO9,gene-ANO9,235246,253391,chr1,NC_023642.1,0.092514041,0.0,5.39771668,0.0,1.0,NA
PTDSS2,gene-PTDSS2,265181,302521,chr1,NC_023642.1,0.394043139,0.0,4.890104404,0.0,1.0,NA
RNH1,gene-RNH1,305960,321021,chr1,NC_023642.1,227.7022296,0.475938701,0.182861514,2.602727551,0.009248542,0.068119726
LOC103243628,gene-LOC103243628,309542,310479,chr1,NC_023642.1,4.293905716,1.352256052,1.32460021,1.020878633,0.307311944,NA
HRAS,gene-HRAS,343613,345782,chr1,NC_023642.1,86.85252915,-0.229347697,0.258012199,-0.888902531,0.374055465,0.650554017
LRRC56,gene-LRRC56,352131,370276,chr1,NC_023642.1,19.55138598,0.924851739,0.587749262,1.573548108,0.115591958,NA
C1H11orf35,gene-C1H11orf35,370216,374411,chr1,NC_023642.1,41.9348996,0.35311451,0.400451547,0.881790852,0.37788992,NA
RASSF7,gene-RASSF7,374723,379582,chr1,NC_023642.1,34.91179876,0.644245053,0.470058732,1.370562889,0.170511258,NA
LOC103222129,gene-LOC103222129,382280,384748,chr1,NC_023642.1,16.25874242,-0.363511131,0.598245794,-0.607628395,0.543433964,NA
PHRF1,gene-PHRF1,391692,429982,chr1,NC_023642.1,587.5527978,0.133362205,0.151803251,0.878520085,0.379661543,0.655137725
IRF7,gene-IRF7,430412,433959,chr1,NC_023642.1,0.115025653,0.0,5.39771668,0.0,1.0,NA
CDHR5,gene-CDHR5,435562,443116,chr1,NC_023642.1,0.175300877,0.0,5.39771668,0.0,1.0,NA
SCT,gene-SCT,444487,445535,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
DRD4,gene-DRD4,454018,459582,chr1,NC_023642.1,0.803827879,-0.74822227,2.840277364,-0.263432818,0.792216999,NA
DEAF1,gene-DEAF1,487497,510440,chr1,NC_023642.1,NA,NA,NA,NA,NA,NA
TMEM80,gene-TMEM80,510440,521231,chr1,NC_023642.1,48.94201311,0.334352115,0.356291628,0.938422597,0.348027277,0.625768916
EPS8L2,gene-EPS8L2,523811,540781,chr1,NC_023642.1,33.32314389,0.595883147,0.446845486,1.333532877,0.182356994,NA
TALDO1,gene-TALDO1,553475,569935,chr1,NC_023642.1,419.3799702,-0.034456152,0.137136762,-0.251253944,0.80161778,0.916052713
PDDC1,gene-PDDC1,575986,583503,chr1,NC_023642.1,130.1490765,0.588238328,0.216025652,2.723002215,0.006469162,0.053520065
CEND1,gene-CEND1,590581,593599,chr1,NC_023642.1,105.954563,-0.258212206,0.260284991,-0.992036477,0.321179732,0.601213605
SLC25A22,gene-SLC25A22,593914,601603,chr1,NC_023642.1,126.4647555,0.261762588,0.252531,1.036556258,0.299942708,0.582859745
