seqid,start,end,id,name,seqid_old
chr1,2628,4911,gene-SCGB1C1,SCGB1C1,NC_023642.1
chr1,4916,10379,gene-ODF3,ODF3,NC_023642.1
chr1,14423,18444,gene-BET1L,BET1L,NC_023642.1
chr1,18597,25398,gene-RIC8A,RIC8A,NC_023642.1
chr1,25740,49471,gene-SIRT3,SIRT3,NC_023642.1
chr1,28649,29165,gene-LOC103234607,LOC103234607,NC_023642.1
chr1,49510,67353,gene-PSMD13,PSMD13,NC_023642.1
chr1,92213,99919,gene-NLRP6,NLRP6,NC_023642.1
chr1,102388,109337,gene-ATHL1,ATHL1,NC_023642.1
chr1,112164,113988,gene-IFITM5,IFITM5,NC_023642.1
chr1,124603,127671,gene-LOC103241759,LOC103241759,NC_023642.1
chr1,128309,129543,gene-IFITM1,IFITM1,NC_023642.1
chr1,129666,136899,gene-LOC103241765,LOC103241765,NC_023642.1
chr1,147228,148078,gene-IFITM3,IFITM3,NC_023642.1
chr1,194763,206351,gene-B4GALNT4,B4GALNT4,NC_023642.1
chr1,214986,223958,gene-PKP3,PKP3,NC_023642.1
chr1,224727,234769,gene-SIGIRR,SIGIRR,NC_023642.1
chr1,235246,253391,gene-ANO9,ANO9,NC_023642.1
chr1,265181,302521,gene-PTDSS2,PTDSS2,NC_023642.1
chr1,305960,321021,gene-RNH1,RNH1,NC_023642.1
chr1,309542,310479,gene-LOC103243628,LOC103243628,NC_023642.1
chr1,343613,345782,gene-HRAS,HRAS,NC_023642.1
chr1,352131,370276,gene-LRRC56,LRRC56,NC_023642.1
chr1,370216,374411,gene-C1H11orf35,C1H11orf35,NC_023642.1
chr1,374723,379582,gene-RASSF7,RASSF7,NC_023642.1
chr1,382280,384748,gene-LOC103222129,LOC103222129,NC_023642.1
chr1,391692,429982,gene-PHRF1,PHRF1,NC_023642.1
chr1,430412,433959,gene-IRF7,IRF7,NC_023642.1
chr1,435562,443116,gene-CDHR5,CDHR5,NC_023642.1
chr1,444487,445535,gene-SCT,SCT,NC_023642.1
chr1,454018,459582,gene-DRD4,DRD4,NC_023642.1
chr1,487497,510440,gene-DEAF1,DEAF1,NC_023642.1
chr1,510440,521231,gene-TMEM80,TMEM80,NC_023642.1
chr1,523811,540781,gene-EPS8L2,EPS8L2,NC_023642.1
chr1,553475,569935,gene-TALDO1,TALDO1,NC_023642.1
chr1,575986,583503,gene-PDDC1,PDDC1,NC_023642.1
chr1,590581,593599,gene-CEND1,CEND1,NC_023642.1
chr1,593914,601603,gene-SLC25A22,SLC25A22,NC_023642.1
chr1,600919,602589,gene-LOC103233437,LOC103233437,NC_023642.1
chr1,602594,609388,gene-PIDD1,PIDD1,NC_023642.1
