chr,bin1_start,bin2_start,contact_count
chr29,1000000,1000000,23075.572265625
chr29,1000000,1100000,3915.9208984375
chr29,1100000,1100000,19038.310546875
chr29,1000000,1200000,750.5886840820312
chr29,1100000,1200000,2436.505126953125
chr29,1200000,1200000,16498.0546875
chr29,1000000,1300000,477.5465087890625
chr29,1100000,1300000,925.55712890625
chr29,1200000,1300000,4087.7021484375
chr29,1300000,1300000,16437.8828125
chr29,1000000,1400000,815.3430786132812
chr29,1100000,1400000,1801.161376953125
chr29,1200000,1400000,3737.629638671875
chr29,1300000,1400000,5262.43505859375
chr29,1400000,1400000,14880.4619140625
chr29,1000000,1500000,454.2191162109375
chr29,1100000,1500000,1030.02685546875
chr29,1200000,1500000,1409.7095947265625
chr29,1300000,1500000,1017.0736083984375
chr29,1400000,1500000,1930.7021484375
chr29,1500000,1500000,14400.0732421875
chr29,1000000,1600000,140.68215942382812
chr29,1100000,1600000,267.3515930175781
chr29,1200000,1600000,382.5491638183594
chr29,1300000,1600000,392.75726318359375
chr29,1400000,1600000,472.34033203125
chr29,1500000,1600000,2518.750244140625
chr29,1600000,1600000,14638.833984375
chr29,1000000,1700000,135.29637145996094
chr29,1100000,1700000,236.19276428222656
chr29,1200000,1700000,314.32568359375
chr29,1300000,1700000,290.5655822753906
chr29,1400000,1700000,360.5885925292969
chr29,1500000,1700000,1474.769287109375
chr29,1600000,1700000,4242.84326171875
chr29,1700000,1700000,14855.322265625
chr29,1000000,1800000,67.8462142944336
chr29,1100000,1800000,159.9769287109375
chr29,1200000,1800000,282.1958312988281
chr29,1300000,1800000,339.1864929199219
chr29,1400000,1800000,350.4986572265625
chr29,1500000,1800000,1282.4573974609375
chr29,1600000,1800000,2505.24462890625
chr29,1700000,1800000,4407.837890625
chr29,1800000,1800000,15581.037109375
chr29,1000000,1900000,98.39344787597656
chr29,1100000,1900000,239.97067260742188
chr29,1200000,1900000,365.9894104003906
chr29,1300000,1900000,391.0266418457031
chr29,1400000,1900000,456.8139343261719
chr29,1500000,1900000,1593.501708984375
chr29,1600000,1900000,2441.2626953125
chr29,1700000,1900000,2505.625244140625
chr29,1800000,1900000,4545.18896484375
chr29,1900000,1900000,14455.48828125
chr29,1000000,2000000,216.00790405273438
chr29,1100000,2000000,419.248046875
chr29,1200000,2000000,431.033935546875
chr29,1300000,2000000,313.0996398925781
chr29,1400000,2000000,569.1220703125
chr29,1500000,2000000,1799.7022705078125
chr29,1600000,2000000,1701.1683349609375
chr29,1700000,2000000,1334.8984375
chr29,1800000,2000000,1132.7685546875
chr29,1900000,2000000,2671.177001953125
chr29,2000000,2000000,11896.7705078125
chr29,1000000,2100000,266.21478271484375
chr29,1100000,2100000,375.35943603515625
chr29,1200000,2100000,375.5058898925781
chr29,1300000,2100000,274.4275817871094
chr29,1400000,2100000,371.2562561035156
chr29,1500000,2100000,1104.6639404296875
chr29,1600000,2100000,812.695556640625
chr29,1700000,2100000,690.7172241210938
chr29,1800000,2100000,510.5162353515625
chr29,1900000,2100000,888.7799072265625
chr29,2000000,2100000,4325.14794921875
chr29,2100000,2100000,13391.43359375
chr29,1000000,2200000,179.48037719726562
chr29,1100000,2200000,216.84780883789062
chr29,1200000,2200000,278.88629150390625
chr29,1300000,2200000,262.40216064453125
chr29,1400000,2200000,290.96478271484375
chr29,1500000,2200000,640.8345336914062
chr29,1600000,2200000,554.5859375
chr29,1700000,2200000,494.26513671875
chr29,1800000,2200000,457.90966796875
chr29,1900000,2200000,599.43212890625
chr29,2000000,2200000,1716.588623046875
chr29,2100000,2200000,2954.6259765625
chr29,2200000,2200000,13699.4111328125
chr29,1000000,2300000,158.66444396972656
chr29,1100000,2300000,256.0538024902344
chr29,1200000,2300000,239.59991455078125
chr29,1300000,2300000,216.26171875
chr29,1400000,2300000,300.4876403808594
chr29,1500000,2300000,641.49072265625
chr29,1600000,2300000,523.4031982421875
chr29,1700000,2300000,465.5522155761719
chr29,1800000,2300000,396.3393859863281
chr29,1900000,2300000,602.1787719726562
chr29,2000000,2300000,1875.5625
chr29,2100000,2300000,2613.2001953125
chr29,2200000,2300000,5123.62353515625
chr29,2300000,2300000,12982.0869140625
chr29,1000000,2400000,79.26017761230469
chr29,1100000,2400000,146.72103881835938
chr29,1200000,2400000,198.60842895507812
chr29,1300000,2400000,196.63088989257812
chr29,1400000,2400000,190.64732360839844
chr29,1500000,2400000,357.68780517578125
chr29,1600000,2400000,365.11572265625
chr29,1700000,2400000,337.54534912109375
chr29,1800000,2400000,323.111572265625
chr29,1900000,2400000,427.3787841796875
chr29,2000000,2400000,769.21923828125
chr29,2100000,2400000,1073.14404296875
chr29,2200000,2400000,1533.7510986328125
chr29,2300000,2400000,2422.869873046875
chr29,2400000,2400000,13747.2216796875
chr29,1000000,2500000,89.5764389038086
chr29,1100000,2500000,78.12568664550781
chr29,1200000,2500000,137.8711395263672
chr29,1300000,2500000,145.83433532714844
chr29,1400000,2500000,143.02178955078125
chr29,1500000,2500000,225.74851989746094
chr29,1600000,2500000,210.54039001464844
chr29,1700000,2500000,242.39825439453125
chr29,1800000,2500000,181.0934600830078
chr29,1900000,2500000,228.54640197753906
chr29,2000000,2500000,516.0704345703125
chr29,2100000,2500000,664.83642578125
chr29,2200000,2500000,904.7732543945312
chr29,2300000,2500000,1196.0087890625
chr29,2400000,2500000,4184.19140625
chr29,2500000,2500000,14140.919921875
chr29,1000000,2600000,25.805330276489258
chr29,1100000,2600000,64.30451202392578
chr29,1200000,2600000,91.17688751220703
chr29,1300000,2600000,113.9865951538086
chr29,1400000,2600000,90.51944732666016
chr29,1500000,2600000,111.28814697265625
chr29,1600000,2600000,147.19837951660156
chr29,1700000,2600000,162.1746368408203
chr29,1800000,2600000,150.22691345214844
chr29,1900000,2600000,194.21066284179688
chr29,2000000,2600000,298.9423522949219
chr29,2100000,2600000,417.860595703125
chr29,2200000,2600000,640.955078125
chr29,2300000,2600000,705.3148803710938
chr29,2400000,2600000,2086.702880859375
chr29,2500000,2600000,3664.018310546875
chr29,2600000,2600000,12111.9658203125
chr29,1000000,2700000,50.86680603027344
chr29,1100000,2700000,90.01470947265625
chr29,1200000,2700000,74.50206756591797
chr29,1300000,2700000,101.5978012084961
chr29,1400000,2700000,100.5840072631836
chr29,1500000,2700000,121.60636138916016
chr29,1600000,2700000,139.52911376953125
chr29,1700000,2700000,104.97750854492188
chr29,1800000,2700000,137.64471435546875
chr29,1900000,2700000,155.84608459472656
chr29,2000000,2700000,208.62265014648438
chr29,2100000,2700000,294.791015625
chr29,2200000,2700000,421.8372497558594
chr29,2300000,2700000,443.17584228515625
chr29,2400000,2700000,933.0214233398438
chr29,2500000,2700000,1288.6483154296875
chr29,2600000,2700000,4286.46435546875
chr29,2700000,2700000,14630.2119140625
chr29,1000000,2800000,49.349395751953125
chr29,1100000,2800000,52.17085266113281
chr29,1200000,2800000,71.656494140625
chr29,1300000,2800000,91.72346496582031
chr29,1400000,2800000,71.63043212890625
chr29,1500000,2800000,101.57525634765625
chr29,1600000,2800000,111.92092895507812
chr29,1700000,2800000,105.48017883300781
chr29,1800000,2800000,87.37407684326172
chr29,1900000,2800000,119.9148941040039
chr29,2000000,2800000,168.90811157226562
chr29,2100000,2800000,252.4000244140625
chr29,2200000,2800000,339.85711669921875
chr29,2300000,2800000,375.72991943359375
chr29,2400000,2800000,800.894775390625
chr29,2500000,2800000,1094.2159423828125
chr29,2600000,2800000,2816.2958984375
chr29,2700000,2800000,3442.459716796875
chr29,2800000,2800000,13398.8095703125
chr29,1000000,2900000,62.51205062866211
chr29,1100000,2900000,71.1561508178711
chr29,1200000,2900000,83.37299346923828
chr29,1300000,2900000,71.29615783691406
chr29,1400000,2900000,81.7743911743164
chr29,1500000,2900000,112.32902526855469
chr29,1600000,2900000,82.10417175292969
chr29,1700000,2900000,70.8687744140625
chr29,1800000,2900000,61.75556945800781
chr29,1900000,2900000,73.1365737915039
chr29,2000000,2900000,167.63241577148438
chr29,2100000,2900000,227.4483184814453
chr29,2200000,2900000,295.45025634765625
chr29,2300000,2900000,351.2605285644531
chr29,2400000,2900000,608.5691528320312
chr29,2500000,2900000,793.38134765625
chr29,2600000,2900000,1322.4229736328125
chr29,2700000,2900000,1486.822021484375
chr29,2800000,2900000,3415.936279296875
chr29,2900000,2900000,13834.3916015625
chr29,1000000,3000000,86.81267547607422
chr29,1100000,3000000,74.00735473632812
chr29,1200000,3000000,65.0173568725586
chr29,1300000,3000000,80.72979736328125
chr29,1400000,3000000,66.32011413574219
chr29,1500000,3000000,104.68102264404297
