chromosome,start,end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr13,99149,99445,NC_023654.1,2803_004_autosomes_peak_65037,44,.,4.89857,6.57994,4.47868,85,0,1,"[-13.307877790100001, -29.4686627932, -22.633618070799997]",-13.307877790100001,-29.4686627932,-22.633618070799997,"[-13.3090750805, -29.469973126, -22.636314394]",-13.3090750805,-29.469973126,-22.636314394,99297,99.445,"[-13.3090750805, -29.469973126, -22.636314394]",-13.3090750805,-29.469973126,-22.636314394
chr13,130885,131094,NC_023654.1,2803_004_autosomes_peak_65038,35,.,4.35428,5.54425,3.53438,104,1,2,"[-13.4362467365, -29.609151718, -22.922707642]",-13.4362467365,-29.609151718,-22.922707642,"[-13.4370921206, -29.610076919199997, -22.924611464799998]",-13.4370921206,-29.610076919199997,-22.924611464799998,130989,31.094,"[-13.4370921206, -29.610076919199997, -22.924611464799998]",-13.4370921206,-29.610076919199997,-22.924611464799998
chr13,314976,315711,NC_023654.1,2803_004_autosomes_peak_65039,76,.,6.53143,9.9408,7.62777,511,3,4,"[-13.7466797696, -29.4508631168, -22.8042173728]",-13.7466797696,-29.4508631168,-22.8042173728,"[-13.743287450599999, -29.4514414148, -22.8107903308]",-13.743287450599999,-29.4514414148,-22.8107903308,315343,15.711,"[-13.743287450599999, -29.4514414148, -22.8107903308]",-13.743287450599999,-29.4514414148,-22.8107903308
chr13,445693,446015,NC_023654.1,2803_004_autosomes_peak_65040,54,.,5.44286,7.66058,5.47972,47,4,5,"[-13.0908215778, -29.7584433082, -23.8593949439]",-13.0908215778,-29.7584433082,-23.8593949439,"[-13.088965119000001, -29.760139411, -23.8614725845]",-13.088965119000001,-29.760139411,-23.8614725845,445854,46.015,"[-13.088965119000001, -29.760139411, -23.8614725845]",-13.088965119000001,-29.760139411,-23.8614725845
chr13,456877,457294,NC_023654.1,2803_004_autosomes_peak_65041,44,.,4.89857,6.57994,4.47868,330,4,5,"[-13.0263413442, -29.817353909799998, -23.9315574671]",-13.0263413442,-29.817353909799998,-23.9315574671,"[-13.0239371724, -29.8195504156, -23.9342480762]",-13.0239371724,-29.8195504156,-23.9342480762,457085,57.294,"[-13.0239371724, -29.8195504156, -23.9342480762]",-13.0239371724,-29.8195504156,-23.9342480762
chr13,457460,457723,NC_023654.1,2803_004_autosomes_peak_65042,35,.,4.35428,5.54425,3.53438,191,4,5,"[-13.022980116, -29.820424803999998, -23.935319158000002]",-13.022980116,-29.820424803999998,-23.935319158000002,"[-13.0214638158, -29.8218101302, -23.9370161129]",-13.0214638158,-29.8218101302,-23.9370161129,457591,57.723,"[-13.0214638158, -29.8218101302, -23.9370161129]",-13.0214638158,-29.8218101302,-23.9370161129
chr13,462470,462614,NC_023654.1,2803_004_autosomes_peak_65043,65,.,5.98714,8.78202,6.53109,60,4,5,"[-12.994095462, -29.846814478, -23.967645181]",-12.994095462,-29.846814478,-23.967645181,"[-12.9932652444, -29.8475729836, -23.9685743122]",-12.9932652444,-29.8475729836,-23.9685743122,462542,62.614000000000004,"[-12.9932652444, -29.8475729836, -23.9685743122]",-12.9932652444,-29.8475729836,-23.9685743122
chr13,703699,703912,NC_023654.1,2803_004_autosomes_peak_65044,44,.,4.89857,6.57994,4.47868,63,7,8,"[-14.3810918241, -29.8256323144, -23.2740194697]",-14.3810918241,-29.8256323144,-23.2740194697,"[-14.3789630808, -29.8252927072, -23.2739428536]",-14.3789630808,-29.8252927072,-23.2739428536,703805,3.9120000000000004,"[-14.3789630808, -29.8252927072, -23.2739428536]",-14.3789630808,-29.8252927072,-23.2739428536
chr13,1836064,1836375,NC_023654.1,2803_004_autosomes_peak_65045,44,.,4.89857,6.57994,4.47868,73,18,19,"[-12.570400816000001, -30.3472483008, -24.530213008]",-12.570400816000001,-30.3472483008,-24.530213008,"[-12.572474875000001, -30.3452515875, -24.531627125]",-12.572474875000001,-30.3452515875,-24.531627125,1836219,36.375,"[-12.572474875000001, -30.3452515875, -24.531627125]",-12.572474875000001,-30.3452515875,-24.531627125
chr13,2950694,2951011,NC_023654.1,2803_004_autosomes_peak_65046,35,.,4.35428,5.54425,3.53438,108,29,30,"[-12.7733937498, -30.440475673799998, -24.6628517434]",-12.7733937498,-30.440475673799998,-24.6628517434,"[-12.7734434237, -30.4373699297, -24.6635399821]",-12.7734434237,-30.4373699297,-24.6635399821,2950852,51.010999999999996,"[-12.7734434237, -30.4373699297, -24.6635399821]",-12.7734434237,-30.4373699297,-24.6635399821
chr13,3575254,3575855,NC_023654.1,2803_004_autosomes_peak_65047a,111,.,8.16428,13.6139,11.1449,227,35,36,"[-13.8546359196, -29.3606932958, -22.761458509]",-13.8546359196,-29.3606932958,-22.761458509,"[-13.860506126999999, -29.3582698835, -22.762229892500002]",-13.860506126999999,-29.3582698835,-22.762229892500002,3575554,75.85499999999999,"[-13.860506126999999, -29.3582698835, -22.762229892500002]",-13.860506126999999,-29.3582698835,-22.762229892500002
chr13,3575254,3575855,NC_023654.1,2803_004_autosomes_peak_65047b,44,.,4.89857,6.57994,4.47868,516,35,36,"[-13.8546359196, -29.3606932958, -22.761458509]",-13.8546359196,-29.3606932958,-22.761458509,"[-13.860506126999999, -29.3582698835, -22.762229892500002]",-13.860506126999999,-29.3582698835,-22.762229892500002,3575554,75.85499999999999,"[-13.860506126999999, -29.3582698835, -22.762229892500002]",-13.860506126999999,-29.3582698835,-22.762229892500002
chr13,3781825,3782156,NC_023654.1,2803_004_autosomes_peak_65048,99,.,7.62,12.3591,9.93822,258,37,38,"[-14.091163995, -29.4627501975, -22.9792134525]",-14.091163995,-29.4627501975,-22.9792134525,"[-14.0942266056, -29.4630687188, -22.9773067932]",-14.0942266056,-29.4630687188,-22.9773067932,3781990,82.15599999999999,"[-14.0942266056, -29.4630687188, -22.9773067932]",-14.0942266056,-29.4630687188,-22.9773067932
chr13,3782975,3784001,NC_023654.1,2803_004_autosomes_peak_65049a,123,.,8.70857,14.8965,12.3825,300,37,38,"[-14.101804485, -29.4638568425, -22.9725891075]",-14.101804485,-29.4638568425,-22.9725891075,"[-14.111297652600001, -29.4648441623, -22.9666790397]",-14.111297652600001,-29.4648441623,-22.9666790397,3783488,84.001,"[-14.111297652600001, -29.4648441623, -22.9666790397]",-14.111297652600001,-29.4648441623,-22.9666790397
chr13,3782975,3784001,NC_023654.1,2803_004_autosomes_peak_65049b,136,.,9.25285,16.2053,13.6482,639,37,38,"[-14.101804485, -29.4638568425, -22.9725891075]",-14.101804485,-29.4638568425,-22.9725891075,"[-14.111297652600001, -29.4648441623, -22.9666790397]",-14.111297652600001,-29.4648441623,-22.9666790397,3783488,84.001,"[-14.111297652600001, -29.4648441623, -22.9666790397]",-14.111297652600001,-29.4648441623,-22.9666790397
chr13,3941449,3941890,NC_023654.1,2803_004_autosomes_peak_65050,136,.,9.25285,16.2053,13.6482,271,39,40,"[-13.7759077084, -29.658105989899997, -23.3531855939]",-13.7759077084,-29.658105989899997,-23.3531855939,"[-13.779484924, -29.660489638999998, -23.353186079]",-13.779484924,-29.660489638999998,-23.353186079,3941669,41.89,"[-13.779484924, -29.660489638999998, -23.353186079]",-13.779484924,-29.660489638999998,-23.353186079
chr13,3942189,3942884,NC_023654.1,2803_004_autosomes_peak_65051a,54,.,5.44286,7.66058,5.47972,66,39,40,"[-13.781910292400001, -29.662105763899998, -23.3531864079]",-13.781910292400001,-29.662105763899998,-23.3531864079,"[-13.7875478544, -29.665862308399998, -23.3531871724]",-13.7875478544,-29.665862308399998,-23.3531871724,3942536,42.884,"[-13.7875478544, -29.665862308399998, -23.3531871724]",-13.7875478544,-29.665862308399998,-23.3531871724
chr13,3942189,3942884,NC_023654.1,2803_004_autosomes_peak_65051b,149,.,9.79714,17.5389,14.9404,364,39,40,"[-13.781910292400001, -29.662105763899998, -23.3531864079]",-13.781910292400001,-29.662105763899998,-23.3531864079,"[-13.7875478544, -29.665862308399998, -23.3531871724]",-13.7875478544,-29.665862308399998,-23.3531871724,3942536,42.884,"[-13.7875478544, -29.665862308399998, -23.3531871724]",-13.7875478544,-29.665862308399998,-23.3531871724
chr13,3986876,3987114,NC_023654.1,2803_004_autosomes_peak_65052,44,.,4.89857,6.57994,4.47868,54,39,40,"[-14.1443933616, -29.9036434676, -23.3532355636]",-14.1443933616,-29.9036434676,-23.3532355636,"[-14.1463239224, -29.9049298814, -23.3532358254]",-14.1463239224,-29.9049298814,-23.3532358254,3986995,87.114,"[-14.1463239224, -29.9049298814, -23.3532358254]",-14.1463239224,-29.9049298814,-23.3532358254
chr13,4248221,4249536,NC_023654.1,2803_004_autosomes_peak_65053a,76,.,6.53143,9.9408,7.62777,176,42,43,"[-14.6846541064, -29.5796231727, -22.622983697]",-14.6846541064,-29.5796231727,-22.622983697,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997,4248878,49.536,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997
chr13,4248221,4249536,NC_023654.1,2803_004_autosomes_peak_65053b,189,.,11.43,21.675,18.9594,407,42,43,"[-14.6846541064, -29.5796231727, -22.622983697]",-14.6846541064,-29.5796231727,-22.622983697,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997,4248878,49.536,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997
chr13,4248221,4249536,NC_023654.1,2803_004_autosomes_peak_65053c,290,.,15.24,31.9948,29.0315,891,42,43,"[-14.6846541064, -29.5796231727, -22.622983697]",-14.6846541064,-29.5796231727,-22.622983697,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997,4248878,49.536,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997
chr13,4248221,4249536,NC_023654.1,2803_004_autosomes_peak_65053d,320,.,16.3286,35.0894,32.0593,990,42,43,"[-14.6846541064, -29.5796231727, -22.622983697]",-14.6846541064,-29.5796231727,-22.622983697,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997,4248878,49.536,"[-14.6821009024, -29.5673393632, -22.627135151999997]",-14.6821009024,-29.5673393632,-22.627135151999997
chr13,4256225,4256437,NC_023654.1,2803_004_autosomes_peak_65054,35,.,4.35428,5.54425,3.53438,124,42,43,"[-14.66911354, -29.5048554075, -22.648252324999998]",-14.66911354,-29.5048554075,-22.648252324999998,"[-14.6687019208, -29.5028750519, -22.648921609]",-14.6687019208,-29.5028750519,-22.648921609,4256331,56.437000000000005,"[-14.6687019208, -29.5028750519, -22.648921609]",-14.6687019208,-29.5028750519,-22.648921609
chr13,4343022,4343231,NC_023654.1,2803_004_autosomes_peak_65055,35,.,4.35428,5.54425,3.53438,155,43,44,"[-14.1542398738, -29.217128671799998, -22.8579697728]",-14.1542398738,-29.217128671799998,-22.8579697728,"[-14.1521515249, -29.2177174039, -22.8583172144]",-14.1521515249,-29.2177174039,-22.8583172144,4343126,43.231,"[-14.1521515249, -29.2177174039, -22.8583172144]",-14.1521515249,-29.2177174039,-22.8583172144
chr13,4605430,4605573,NC_023654.1,2803_004_autosomes_peak_65056,26,.,3.81,4.55861,2.65564,59,46,47,"[-13.949716855, -29.738870008, -23.282519348]",-13.949716855,-29.738870008,-23.282519348,"[-13.9510751405, -29.7394027688, -23.282785842800003]",-13.9510751405,-29.7394027688,-23.282785842800003,4605501,5.573,"[-13.9510751405, -29.7394027688, -23.282785842800003]",-13.9510751405,-29.7394027688,-23.282785842800003
chr13,4686154,4687641,NC_023654.1,2803_004_autosomes_peak_65057a,76,.,6.53143,9.9408,7.62777,358,46,47,"[-14.716473769, -30.0396153424, -23.4329565944]",-14.716473769,-30.0396153424,-23.4329565944,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003,4686897,87.641,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003
chr13,4686154,4687641,NC_023654.1,2803_004_autosomes_peak_65057b,123,.,8.70857,14.8965,12.3825,697,46,47,"[-14.716473769, -30.0396153424, -23.4329565944]",-14.716473769,-30.0396153424,-23.4329565944,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003,4686897,87.641,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003
chr13,4686154,4687641,NC_023654.1,2803_004_autosomes_peak_65057c,189,.,11.43,21.675,18.9594,1058,46,47,"[-14.716473769, -30.0396153424, -23.4329565944]",-14.716473769,-30.0396153424,-23.4329565944,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003,4686897,87.641,"[-14.7305980385, -30.045155309600002, -23.435727767600003]",-14.7305980385,-30.045155309600002,-23.435727767600003
