id,x,y,z
0.0,79.92964,30.304850000000002,8.245750000000001
1.0,80.84936,30.66214,7.80876
2.0,81.76908,31.01943,7.37177
3.0,81.14797,30.69255,6.69487
4.0,80.56107,30.55404,5.98202
5.0,79.88982,31.2463,5.75399
6.0,78.9285,31.41225,5.91419
7.0,77.99112,31.79225,6.3155
8.0,77.50437,31.35426,7.02955
9.0,77.9878,30.49832,7.0011
10.0,77.99906,31.00738,7.95165
11.0,78.39624,30.89802,8.95312
12.0,77.95673,31.54871,9.81115
13.0,77.19043,30.93969,10.05958
14.0,77.55703,31.7389,9.74584
15.0,76.65621,31.28004,9.79303
16.0,76.56129,30.85263,8.93406
17.0,75.9758,31.13371,9.76951
18.0,76.85655,31.08157,10.21085
19.0,77.43122,31.30599,9.48529
20.0,78.34652,31.70956,9.76235
21.0,77.93296,31.35208,8.97219
22.0,78.07108,30.43209,9.14049
23.0,77.24834,29.82612,8.96931
24.0,76.98176,30.42963,9.71807
25.0,77.01047,30.09809,8.8057
26.0,77.96385,30.00925,8.7549
27.0,77.33915,29.34802,9.12969
28.0,76.79894,30.15531,9.32018
29.0,77.08074,29.25086,9.64532
30.0,76.61347,29.97237,10.13875
31.0,76.32439,30.49257,11.05189
32.0,76.31045,29.97914,10.14571
33.0,76.61119,29.30903,10.77929
34.0,76.69123,30.091,11.45225
35.0,76.83379,29.22591,10.90022
36.0,76.08734,29.5453,10.46076
37.0,76.22304,30.46811,11.11216
38.0,77.08033,30.42405,10.52668
39.0,77.63533,31.29744,10.25952
40.0,78.49826,31.47099,9.81837
41.0,77.92332,30.72987,10.36687
42.0,77.43998,30.66321,11.2002
43.0,76.36898,30.38059,10.97745
44.0,76.94238,29.64279,11.20675
45.0,76.92025,30.59612,10.99115
46.0,77.82573,30.84016,10.50363
47.0,78.45364,30.05236,10.56769
48.0,78.64268,30.95572,10.22744
49.0,78.32887,30.72309,11.1414
50.0,78.68761,30.39912,10.3132
51.0,78.48457,29.54553,9.88985
52.0,78.7242,28.68647,10.28709
53.0,78.62553,29.61103,9.9796
54.0,78.69266,29.40224,11.08107
55.0,77.64511,29.49204,11.25935
56.0,78.0316,30.40044,11.20755
57.0,77.56896,29.77463,10.6668
58.0,77.58133,28.7638,11.06764
59.0,77.55915,28.79057,10.04003
60.0,78.42165,28.46888,9.6878
61.0,78.74148,29.29119,10.18901
62.0,78.73877,29.47446,9.19768
63.0,77.95983,29.03088,9.58004
64.0,77.37945,28.61485,10.47283
65.0,77.54212,29.10619,11.26177
66.0,77.89141,28.5993,10.56305
67.0,78.09024,28.69028,9.62695
68.0,77.97451,28.85414,10.66546
69.0,77.92668,29.71383,10.0878
70.0,78.17843,28.74118,9.91826
71.0,78.44303,29.71785,9.70285
72.0,78.83624,30.1659,10.77464
73.0,78.19248,30.33165,11.42304
74.0,78.65991,30.6769,10.72533
75.0,77.92507,30.74086,11.37061
76.0,77.27852,30.85463,12.0263
77.0,77.891,30.12416,12.06955
78.0,78.59163,30.02173,11.36764
79.0,78.14897,30.28598,12.29901
80.0,77.92767,29.26348,12.05761
81.0,78.16139,30.2092,12.38127
82.0,78.27406,29.2458,12.54922
83.0,78.69502,29.10126,11.66549
84.0,78.66859,29.65348,12.51725
85.0,78.53492,28.61942,12.65944
86.0,78.75251,28.57563,11.72557
