id,x,y,z
1.0,-33.40806,17.53655,67.91184
2.0,-33.58592,17.6713,66.96564
3.0,-33.86778,17.5859,67.98681
4.0,-32.95162,17.81741,68.29768
5.0,-33.84977,17.55289,67.92585
6.0,-33.2294,17.16427,67.0481
7.0,-32.96021,17.08704,67.97971
8.0,-32.73517,16.76199,67.03405
9.0,-33.59921,16.72718,66.4423
10.0,-33.2821,16.21258,67.18703
11.0,-33.2812,17.03584,68.00231
12.0,-33.1839,16.23405,67.16106
13.0,-33.59193,16.9532,66.65005
14.0,-33.15117,16.89054,67.64214
15.0,-32.93678,17.5381,68.38051
16.0,-32.9094,16.7602,67.7424
17.0,-33.07734,16.89041,68.78731
18.0,-32.83185,17.1602,67.74002
19.0,-33.70411,17.2836,67.99602
20.0,-33.01856,17.17402,68.71052
21.0,-33.58309,17.4216,68.03479
22.0,-32.79381,17.03884,68.50274
23.0,-32.72406,17.66599,69.21635
24.0,-33.04375,17.00948,68.41115
25.0,-32.2641,17.67565,68.5809
26.0,-32.5396,18.68968,68.7117
27.0,-32.46332,17.71054,68.81268
28.0,-32.57287,16.62959,68.51643
29.0,-32.46572,17.57764,67.99231
30.0,-33.39639,17.38134,67.77425
31.0,-33.03024,16.57782,67.34491
32.0,-32.25505,16.82345,67.81725
33.0,-32.20904,17.61967,68.30537
34.0,-32.22613,17.27682,67.34578
35.0,-32.76162,16.50239,67.68539
36.0,-33.28239,16.456,66.8059
37.0,-33.56905,17.31846,66.35821
38.0,-33.36155,17.72786,65.54496
39.0,-32.79042,17.46457,66.37805
40.0,-33.53974,16.85644,66.18933
41.0,-33.49894,17.71572,65.78202
42.0,-32.80863,16.9875,65.84501
43.0,-33.70042,16.75946,66.14097
44.0,-33.09145,17.51505,65.82286
45.0,-33.24535,16.66271,66.38854
46.0,-33.15317,17.69831,66.31009
47.0,-34.06828,17.823,65.85804
48.0,-33.41096,17.07668,66.09181
49.0,-33.44458,18.05918,66.19045
50.0,-33.2608,18.94985,66.53345
51.0,-32.30748,18.81025,66.76498
52.0,-31.85661,17.89715,66.73507
53.0,-32.22165,17.01657,67.06499
54.0,-31.91937,17.90081,66.80868
55.0,-32.75434,17.56578,66.21503
56.0,-32.60073,16.68425,66.54264
57.0,-32.10819,17.16418,67.31403
58.0,-31.48586,17.94096,67.63509
59.0,-32.25473,18.29415,68.40868
60.0,-31.72519,18.88317,67.69752
61.0,-31.55772,17.80821,67.78765
62.0,-31.86735,17.44846,66.89007
63.0,-31.63855,18.36923,66.78178
64.0,-31.71193,17.39563,66.77323
65.0,-32.42477,17.28868,66.19076
66.0,-33.08897,17.91748,65.81348
67.0,-32.90626,18.8357,65.70269
68.0,-31.98372,18.62666,66.02544
69.0,-32.43166,17.81671,65.59409
70.0,-32.551,18.81048,66.03365
71.0,-33.44008,19.06588,66.43791
72.0,-33.1323,18.46091,65.6608
73.0,-33.35001,19.34989,66.0294
74.0,-32.73548,19.42712,66.78953
75.0,-32.9072,18.54069,66.23794
76.0,-33.44586,19.36413,66.40013
77.0,-34.12757,18.76856,65.9641
78.0,-33.28014,19.22553,65.88413
79.0,-32.80545,19.66772,66.54688
80.0,-32.37345,18.73161,66.36239
81.0,-33.30505,18.76541,66.34248
82.0,-32.67698,19.42994,66.67355
83.0,-32.46325,18.87985,67.42992
84.0,-33.32267,18.70208,67.93378
85.0,-32.46029,18.35771,67.89269
86.0,-32.05916,18.83175,67.10242
87.0,-32.49611,18.30359,67.79562
88.0,-32.91105,19.21603,67.73063
89.0,-32.274,18.72865,66.96604
90.0,-32.40187,17.78997,67.30495
91.0,-32.16792,18.92279,67.60118
92.0,-32.5853,18.94039,68.51831
