gene_name,gene_id,start,end,chromosome,chromosome_nc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FILIP1,gene-FILIP1,6620,315021,chr13,NC_023654.1,0.293857347696089,1.41464397484005,4.97492801182741,0.284354662314081,0.776138599702817,NA
LOC103239941,gene-LOC103239941,111761,112188,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239940,gene-LOC103239940,203791,211757,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
SENP6,gene-SENP6,315000,427549,chr13,NC_023654.1,11.0638266900303,1.76715899556075,0.862933864158678,2.04784986307572,0.0405747127890412,0.10367177125238
LOC103239946,gene-LOC103239946,477363,478002,chr13,NC_023654.1,5.71379366824134,-0.560656897355152,0.92642151701717,-0.605185530621436,0.545055728807748,0.690345739781868
MYO6,gene-MYO6,527361,620418,chr13,NC_023654.1,557.244924883222,-0.150009254105108,0.126410312747914,-1.18668525410783,0.235351793607407,0.390054632035542
IMPG1,gene-IMPG1,624694,783466,chr13,NC_023654.1,0.418273072011422,0.685529779466555,4.00529363131046,0.171155935761509,0.864101154324693,NA
LOC103239948,gene-LOC103239948,1131745,1132729,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239949,gene-LOC103239949,1371514,1372572,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239953,gene-LOC103239953,1775638,1778756,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239952,gene-LOC103239952,1815704,1880063,chr13,NC_023654.1,0.115025653459332,0.0,5.39771667962051,0.0,1.0,NA
LOC103239951,gene-LOC103239951,1843600,1844746,chr13,NC_023654.1,1.50371911453121,0.606071325150581,1.81300933228021,0.334290240187749,0.738160554453094,NA
LOC103239950,gene-LOC103239950,1845369,1846476,chr13,NC_023654.1,0.624794956194573,1.26411473359325,3.08609440196336,0.409616352885715,0.682087399125403,NA
HTR1B,gene-HTR1B,2143646,2145943,chr13,NC_023654.1,0.0339794636637609,0.676753251344636,5.36625539842859,0.12611275481648,0.899642671200261,NA
LOC103239955,gene-LOC103239955,2182020,2185388,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239956,gene-LOC103239956,2189040,2195251,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
MEI4,gene-MEI4,2369069,2619149,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
LOC103239960,gene-LOC103239960,3512602,3513626,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
IRAK1BP1,gene-IRAK1BP1,3575414,3615533,chr13,NC_023654.1,87.5664311269651,0.318422983328062,0.259483001089341,1.22714390534749,0.21976850836573,0.371263417243387
PHIP,gene-PHIP,3646331,3783930,chr13,NC_023654.1,1311.81100372842,0.122921325873084,0.115465115464047,1.0645754380366,0.287068099709532,0.449364281901318
TRNAF-GAA,gene-TRNAF-GAA,3669977,3670049,chr13,NC_023654.1,10.1747722643872,0.434052608749029,0.793378422510545,0.547094042935431,0.584314124663976,0.722770121775712
LOC103239962,gene-LOC103239962,3854519,3888844,chr13,NC_023654.1,0.0,NA,NA,NA,NA,NA
HMGN3,gene-HMGN3,3909460,3943339,chr13,NC_023654.1,198.677088629973,-0.952437304024973,0.187363229606292,-5.08337364821441,3.7078926684301e-07,4.90545060861232e-06
LOC103239964,gene-LOC103239964,4097634,4159121,chr13,NC_023654.1,2.98007327239466,-0.249170177144469,1.32925727918053,-0.187450677191762,0.851307292050804,NA
LCA5,gene-LCA5,4197522,4230274,chr13,NC_023654.1,46.6003347130672,-0.167852545399449,0.327097795725432,-0.51315706676405,0.607841455420056,0.740495841170887
