gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
LOC103237737,gene-LOC103237737,53653,54893,chr9,NC_023650.1,0,1,"[0.01339256009999995, -31.5379915782, -0.6570442276]",0.01339256009999995,-31.5379915782,-0.6570442276,"[0.023252668099999985, -31.5319024342, -0.6527652356]",0.023252668099999985,-31.5319024342,-0.6527652356,54273,0.023252668099999985,-31.5319024342,-0.6527652356,54.893,"[0.023252668099999985, -31.5319024342, -0.6527652356]"
LOC103237738,gene-LOC103237738,57937,59227,chr9,NC_023650.1,0,1,"[0.047457642899999986, -31.5169545678, -0.6422610004]",0.047457642899999986,-31.5169545678,-0.6422610004,"[0.05771533589999994, -31.5106198938, -0.6378094684]",0.05771533589999994,-31.5106198938,-0.6378094684,58582,0.05771533589999994,-31.5106198938,-0.6378094684,59.227,"[0.05771533589999994, -31.5106198938, -0.6378094684]"
LOC103238131,gene-LOC103238131,110923,163286,chr9,NC_023650.1,1,2,"[0.46878641909999996, -31.2567615162, -0.4594169116]",0.46878641909999996,-31.2567615162,-0.4594169116,"[0.8851612862, -30.9996277684, -0.2787226712]",0.8851612862,-30.9996277684,-0.2787226712,137104,0.8851612862,-30.9996277684,-0.2787226712,63.286,"[0.8851612862, -30.9996277684, -0.2787226712]"
LOC103237741,gene-LOC103237741,114225,116215,chr9,NC_023650.1,1,2,"[0.4950429325, -31.240546715, -0.44802237]",0.4950429325,-31.240546715,-0.44802237,"[0.5108668155, -31.230774621000002, -0.441155278]",0.5108668155,-31.230774621000002,-0.441155278,115220,0.5108668155,-31.230774621000002,-0.441155278,16.215,"[0.5108668155, -31.230774621000002, -0.441155278]"
ZMYND11,gene-ZMYND11,162438,275764,chr9,NC_023650.1,1,3,"[0.5966667696000001, -31.4672473779, -0.4466444865]",0.5966667696000001,-31.4672473779,-0.4466444865,"[0.9864175488000001, -31.7519279562, -0.355048747]",0.9864175488000001,-31.7519279562,-0.355048747,219101,0.9864175488000001,-31.7519279562,-0.355048747,87.882,"[0.9864175488000001, -31.7519279562, -0.355048747]"
LOC103237740,gene-LOC103237740,163790,198322,chr9,NC_023650.1,1,2,"[0.889168943, -30.997152826, -0.27698346799999995]",0.889168943,-30.997152826,-0.27698346799999995,"[1.1637570473999999, -30.8275799868, -0.15782044239999998]",1.1637570473999999,-30.8275799868,-0.15782044239999998,181056,1.1637570473999999,-30.8275799868,-0.15782044239999998,98.322,"[1.1637570473999999, -30.8275799868, -0.15782044239999998]"
DIP2C,gene-DIP2C,293786,668102,chr9,NC_023650.1,2,7,"[1.0702496102, -31.238289564880002, -0.098900231]",1.0702496102,-31.238289564880002,-0.098900231,"[0.6437913914000001, -32.91038908216, 0.113149783]",0.6437913914000001,-32.91038908216,0.113149783,480944,0.6437913914000001,-32.91038908216,0.113149783,93.6204,"[0.6437913914000001, -32.91038908216, 0.113149783]"
LOC103237753,gene-LOC103237753,480006,486192,chr9,NC_023650.1,4,5,"[0.01048603440000001, -31.6679927394, 0.22334230259999993]",0.01048603440000001,-31.6679927394,0.22334230259999993,"[-0.016284499200000024, -31.7099950608, 0.25870828319999994]",-0.016284499200000024,-31.7099950608,0.25870828319999994,483099,-0.016284499200000024,-31.7099950608,0.25870828319999994,86.19200000000001,"[-0.016284499200000024, -31.7099950608, 0.25870828319999994]"
LOC103237752,gene-LOC103237752,517924,518707,chr9,NC_023650.1,5,6,"[0.022536622800000003, -31.887119901200002, 0.19873720760000002]",0.022536622800000003,-31.887119901200002,0.19873720760000002,"[0.026842887899999987, -31.8907618691, 0.19266887930000004]",0.026842887899999987,-31.8907618691,0.19266887930000004,518315,0.026842887899999987,-31.8907618691,0.19266887930000004,18.706999999999997,"[0.026842887899999987, -31.8907618691, 0.19266887930000004]"
LOC103237751,gene-LOC103237751,547813,551165,chr9,NC_023650.1,5,6,"[0.18691715610000004, -32.0261426069, -0.03290553129999996]",0.18691715610000004,-32.0261426069,-0.03290553129999996,"[0.20535215050000005, -32.0417337645, -0.05888386649999999]",0.20535215050000005,-32.0417337645,-0.05888386649999999,549489,0.20535215050000005,-32.0417337645,-0.05888386649999999,51.165000000000006,"[0.20535215050000005, -32.0417337645, -0.05888386649999999]"
LOC103237750,gene-LOC103237750,553107,553794,chr9,NC_023650.1,5,6,"[0.21603256790000008, -32.0507665891, -0.07393456070000004]",0.21603256790000008,-32.0507665891,-0.07393456070000004,"[0.21981086180000003, -32.053962032200005, -0.07925887939999998]",0.21981086180000003,-32.053962032200005,-0.07925887939999998,553450,0.21981086180000003,-32.053962032200005,-0.07925887939999998,53.794,"[0.21981086180000003, -32.053962032200005, -0.07925887939999998]"
LOC103237749,gene-LOC103237749,614569,617088,chr9,NC_023650.1,6,7,"[0.4933825288, -32.38310096, -0.35452357980000004]",0.4933825288,-32.38310096,-0.35452357980000004,"[0.49674589760000004, -32.40284992, -0.3402010496]",0.49674589760000004,-32.40284992,-0.3402010496,615828,0.49674589760000004,-32.40284992,-0.3402010496,17.088,"[0.49674589760000004, -32.40284992, -0.3402010496]"
LOC103237748,gene-LOC103237748,627536,627888,chr9,NC_023650.1,6,7,"[0.5106960672, -32.48476224, -0.28079581119999997]",0.5106960672,-32.48476224,-0.28079581119999997,"[0.5111660576, -32.487521920000006, -0.2787944096]",0.5111660576,-32.487521920000006,-0.2787944096,627712,0.5111660576,-32.487521920000006,-0.2787944096,27.888,"[0.5111660576, -32.487521920000006, -0.2787944096]"
