id,x,y,z
1.0,47.17624,5.81807,41.57772
2.0,47.34654,5.11238,42.18963
3.0,48.05219,4.54966,41.87912
4.0,48.59906,4.7586,43.02201
5.0,49.45917,4.60162,42.13416
6.0,49.29381,3.98086,42.82491
7.0,48.81181,3.1978,42.91895
8.0,48.64796,2.82793,41.9581
9.0,48.64127,2.13278,41.22931
10.0,49.50325,1.98097,41.51658
11.0,49.52974,0.79624,41.56243
12.0,50.48826,1.3333,41.70478
13.0,49.7091,0.80362,41.86265
14.0,48.88791,0.3916,41.38036
15.0,49.40689,0.98248,41.91192
16.0,48.74615,0.31705,41.5365
17.0,48.51824,-0.2334,42.38856
18.0,48.80057,0.32798,41.66663
19.0,49.23917,0.71236,42.42345
20.0,49.93702,0.1508,43.07392
21.0,49.85551,0.09464,44.10793
22.0,50.70245,0.07955,43.55833
23.0,50.27906,0.04205,44.40944
24.0,50.59406,0.75286,43.7772
25.0,50.52988,1.3413,43.05606
26.0,49.84755,0.82186,43.51653
27.0,50.74902,0.833,43.93166
28.0,50.1656,0.07314,44.63231
29.0,49.32152,0.40062,44.04204
30.0,48.60628,0.21293,43.32995
31.0,49.57859,0.43175,43.53552
32.0,48.75816,0.89071,43.1722
33.0,48.68212,-0.03006,43.19624
34.0,48.57741,-1.26664,42.99419
35.0,49.38164,-1.77266,43.44781
36.0,48.96765,-1.30858,42.78853
37.0,48.79931,-0.34604,42.41282
38.0,49.40373,0.38601,42.23043
39.0,50.14496,1.28797,42.37166
40.0,50.61821,0.62297,42.93396
41.0,50.96509,-0.28497,42.80191
42.0,50.66145,-0.58064,43.68795
43.0,50.44208,-0.19537,42.51875
44.0,50.16393,0.58581,41.99522
45.0,51.00793,1.04865,42.11825
46.0,50.07355,1.19537,42.01251
47.0,49.19107,0.41286,42.02626
48.0,49.10515,-0.43043,42.55903
49.0,49.22215,-1.42818,42.88439
50.0,49.79997,-1.21292,43.59058
51.0,49.38319,-1.74998,42.93364
52.0,48.82056,-1.01474,43.15235
53.0,48.51482,-0.19922,42.6589
54.0,48.92869,-1.20573,42.7227
55.0,48.95052,-0.32972,42.86605
56.0,48.61928,0.57971,42.55105
