chromosome,id,x,y,z
NC_023642.1,1.0,40.10451,66.43681,-29.06834
NC_023642.1,2.0,39.06416,66.44925,-28.75961
NC_023642.1,3.0,39.46981,66.99132,-28.11362
NC_023642.1,4.0,39.60874,67.25578,-27.17639
NC_023642.1,5.0,40.32439,67.32667,-27.85067
NC_023642.1,6.0,40.22699,66.38261,-28.03198
NC_023642.1,7.0,40.67231,67.34855,-28.24337
NC_023642.1,8.0,40.33095,68.01238,-28.82892
NC_023642.1,9.0,39.60418,68.00951,-28.03439
NC_023642.1,10.0,38.53878,68.39121,-28.24005
NC_023642.1,11.0,38.75242,67.47907,-28.6446
NC_023642.1,12.0,39.10243,66.99719,-27.76086
NC_023642.1,13.0,39.39082,67.84848,-27.37609
NC_023642.1,14.0,38.83544,67.09897,-27.84675
NC_023642.1,15.0,38.3767,67.94174,-28.08521
NC_023642.1,16.0,39.47623,68.50036,-28.16159
NC_023642.1,17.0,39.98678,68.54002,-29.03781
NC_023642.1,18.0,39.35537,69.2538,-28.68955
NC_023642.1,19.0,38.76145,69.03827,-27.85508
NC_023642.1,20.0,38.1759,69.11588,-28.74061
NC_023642.1,21.0,38.58454,68.607,-29.59089
NC_023642.1,22.0,38.33566,68.13854,-28.80065
NC_023642.1,23.0,38.91472,68.76574,-28.24522
NC_023642.1,24.0,38.02088,68.54673,-28.42823
NC_023642.1,25.0,38.57646,68.26961,-29.28805
NC_023642.1,26.0,38.01259,67.94771,-28.49007
NC_023642.1,27.0,38.59131,68.41245,-27.84302
NC_023642.1,28.0,39.0056,67.92111,-28.51362
NC_023642.1,29.0,38.85797,67.04693,-28.38419
NC_023642.1,30.0,38.17553,67.63772,-28.38766
NC_023642.1,31.0,38.53487,68.20756,-29.26616
NC_023642.1,32.0,39.11457,69.04157,-29.78743
NC_023642.1,33.0,39.50498,68.09838,-29.90887
NC_023642.1,34.0,39.00011,68.90987,-30.43292
NC_023642.1,35.0,38.77323,68.76926,-29.37191
NC_023642.1,36.0,39.6266,68.63822,-29.94064
NC_023642.1,37.0,39.995,67.8056,-30.45408
NC_023642.1,38.0,39.78411,68.26112,-29.60228
NC_023642.1,39.0,39.07177,68.87452,-30.088
NC_023642.1,40.0,39.61641,67.96651,-30.32925
NC_023642.1,41.0,39.24475,68.84081,-29.95311
NC_023642.1,42.0,39.6685,67.91862,-30.24345
NC_023642.1,43.0,39.3097,67.72341,-29.32626
NC_023642.1,44.0,40.07224,67.71101,-30.08848
NC_023642.1,45.0,40.10093,68.66389,-29.80826
NC_023642.1,46.0,40.13169,69.17649,-28.93455
NC_023642.1,47.0,40.52526,68.45618,-29.61974
NC_023642.1,48.0,40.36863,67.48748,-29.845
NC_023642.1,49.0,40.71539,68.35095,-29.20478
NC_023642.1,50.0,41.03698,68.82833,-28.31843
NC_023642.1,51.0,40.22474,68.4076,-27.86728
NC_023642.1,52.0,40.33068,68.50421,-28.87352
NC_023642.1,53.0,40.30682,68.08317,-27.81527
NC_023642.1,54.0,39.99338,68.83839,-28.40913
NC_023642.1,55.0,40.44411,68.93171,-27.61096
NC_023642.1,56.0,40.38959,67.98589,-27.50141
NC_023642.1,57.0,40.40099,67.11514,-27.51685
NC_023642.1,58.0,39.60588,67.29094,-28.11303
NC_023642.1,59.0,38.66663,67.30651,-27.78116
NC_023642.1,60.0,39.0116,66.72857,-28.73127
