gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1004237,1004365,NC_023665.1,2803_002_autosomes_peak_90805,29,.,4.04461,4.93036,2.95342,50
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1004545,1004758,NC_023665.1,2803_002_autosomes_peak_90806,29,.,4.04461,4.93036,2.95342,17
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1021328,1021640,NC_023665.1,2803_002_autosomes_peak_90807,52,.,5.39281,7.31679,5.2005,199
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1022652,1022767,NC_023665.1,2803_002_autosomes_peak_90808,29,.,4.04461,4.93036,2.95342,46
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,1004237,1004365,NC_023665.1,2803_002_autosomes_peak_90805,29,.,4.04461,4.93036,2.95342,50
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,1004545,1004758,NC_023665.1,2803_002_autosomes_peak_90806,29,.,4.04461,4.93036,2.95342,17
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,1021328,1021640,NC_023665.1,2803_002_autosomes_peak_90807,52,.,5.39281,7.31679,5.2005,199
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,1022652,1022767,NC_023665.1,2803_002_autosomes_peak_90808,29,.,4.04461,4.93036,2.95342,46
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1035810,1036525,NC_023665.1,2803_002_autosomes_peak_90809,103,.,8.08922,12.6616,10.3521,115
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1037086,1037508,NC_023665.1,2803_002_autosomes_peak_90810,64,.,6.06692,8.5891,6.41772,350
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1039784,1039916,NC_023665.1,2803_002_autosomes_peak_90811,40,.,4.71871,6.09502,4.04188,43
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1041265,1041423,NC_023665.1,2803_002_autosomes_peak_90812,19,.,3.37051,3.83133,1.95257,57
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1041759,1042671,NC_023665.1,2803_002_autosomes_peak_90813,89,.,7.41512,11.2654,8.99864,481
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1044443,1044570,NC_023665.1,2803_002_autosomes_peak_90814,19,.,3.37051,3.83133,1.95257,31
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1048860,1048971,NC_023665.1,2803_002_autosomes_peak_90815,19,.,3.37051,3.83133,1.95257,16
LOC103228698,gene-LOC103228698,1050226,1056397,chr24,1056174,1056879,NC_023665.1,2803_002_autosomes_peak_90816,52,.,5.39281,7.31679,5.2005,483
CPNE6,gene-CPNE6,1053980,1061544,chr24,1056174,1056879,NC_023665.1,2803_002_autosomes_peak_90816,52,.,5.39281,7.31679,5.2005,483
CPNE6,gene-CPNE6,1053980,1061544,chr24,1060142,1060451,NC_023665.1,2803_002_autosomes_peak_90817,40,.,4.71871,6.09502,4.04188,209
CPNE6,gene-CPNE6,1053980,1061544,chr24,1061097,1061228,NC_023665.1,2803_002_autosomes_peak_90818,19,.,3.37051,3.83133,1.95257,19
NRL,gene-NRL,1064266,1100995,chr24,1064346,1064842,NC_023665.1,2803_002_autosomes_peak_90819,89,.,7.41512,11.2654,8.99864,273
NRL,gene-NRL,1064266,1100995,chr24,1065230,1065487,NC_023665.1,2803_002_autosomes_peak_90820,19,.,3.37051,3.83133,1.95257,71
NRL,gene-NRL,1064266,1100995,chr24,1065682,1066019,NC_023665.1,2803_002_autosomes_peak_90821,19,.,3.37051,3.83133,1.95257,115
NRL,gene-NRL,1064266,1100995,chr24,1068109,1068271,NC_023665.1,2803_002_autosomes_peak_90822,19,.,3.37051,3.83133,1.95257,10
NRL,gene-NRL,1064266,1100995,chr24,1073614,1074243,NC_023665.1,2803_002_autosomes_peak_90823,322,.,17.5266,35.0145,32.2417,541
NRL,gene-NRL,1064266,1100995,chr24,1074398,1074558,NC_023665.1,2803_002_autosomes_peak_90824,29,.,4.04461,4.93036,2.95342,51
NRL,gene-NRL,1064266,1100995,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825a,103,.,8.08922,12.6616,10.3521,245
NRL,gene-NRL,1064266,1100995,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825b,831,.,35.7274,86.5661,83.1213,652
NRL,gene-NRL,1064266,1100995,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825c,912,.,38.4238,94.8058,91.2728,834
NRL,gene-NRL,1064266,1100995,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825d,557,.,26.29,58.8244,55.7088,1201
NRL,gene-NRL,1064266,1100995,chr24,1081732,1082354,NC_023665.1,2803_002_autosomes_peak_90826,40,.,4.71871,6.09502,4.04188,226
NRL,gene-NRL,1064266,1100995,chr24,1086251,1086503,NC_023665.1,2803_002_autosomes_peak_90827,29,.,4.04461,4.93036,2.95342,58
NRL,gene-NRL,1064266,1100995,chr24,1096836,1097066,NC_023665.1,2803_002_autosomes_peak_90828,40,.,4.71871,6.09502,4.04188,55
NRL,gene-NRL,1064266,1100995,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829a,1207,.,47.8612,124.547,120.722,359
NRL,gene-NRL,1064266,1100995,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829b,974,.,40.4461,101.065,97.4687,787
NRL,gene-NRL,1064266,1100995,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829c,1207,.,47.8612,124.547,120.722,998
NRL,gene-NRL,1064266,1100995,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829d,1058,.,43.1425,109.511,105.83,1188
PCK2,gene-PCK2,1077206,1087306,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825a,103,.,8.08922,12.6616,10.3521,245
PCK2,gene-PCK2,1077206,1087306,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825b,831,.,35.7274,86.5661,83.1213,652
PCK2,gene-PCK2,1077206,1087306,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825c,912,.,38.4238,94.8058,91.2728,834
PCK2,gene-PCK2,1077206,1087306,chr24,1076675,1079008,NC_023665.1,2803_002_autosomes_peak_90825d,557,.,26.29,58.8244,55.7088,1201
PCK2,gene-PCK2,1077206,1087306,chr24,1081732,1082354,NC_023665.1,2803_002_autosomes_peak_90826,40,.,4.71871,6.09502,4.04188,226
PCK2,gene-PCK2,1077206,1087306,chr24,1086251,1086503,NC_023665.1,2803_002_autosomes_peak_90827,29,.,4.04461,4.93036,2.95342,58
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829a,1207,.,47.8612,124.547,120.722,359
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829b,974,.,40.4461,101.065,97.4687,787
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829c,1207,.,47.8612,124.547,120.722,998
DCAF11,gene-DCAF11,1100974,1110283,chr24,1099950,1101944,NC_023665.1,2803_002_autosomes_peak_90829d,1058,.,43.1425,109.511,105.83,1188
FITM1,gene-FITM1,1116201,1118814,chr24,1116247,1117048,NC_023665.1,2803_002_autosomes_peak_90830,103,.,8.08922,12.6616,10.3521,322
PSME1,gene-PSME1,1122086,1124907,chr24,1121578,1122703,NC_023665.1,2803_002_autosomes_peak_90832a,103,.,8.08922,12.6616,10.3521,118
PSME1,gene-PSME1,1122086,1124907,chr24,1121578,1122703,NC_023665.1,2803_002_autosomes_peak_90832b,117,.,8.76332,14.0924,11.7426,274
PSME1,gene-PSME1,1122086,1124907,chr24,1121578,1122703,NC_023665.1,2803_002_autosomes_peak_90832c,790,.,34.3792,82.4944,79.0952,555
PSME1,gene-PSME1,1122086,1124907,chr24,1122863,1123254,NC_023665.1,2803_002_autosomes_peak_90833,64,.,6.06692,8.5891,6.41772,263
PSME1,gene-PSME1,1122086,1124907,chr24,1124560,1124722,NC_023665.1,2803_002_autosomes_peak_90834,29,.,4.04461,4.93036,2.95342,37
