seqid,start,end,id,name,seqid_old,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos,center_of_mass,distance_from_com
chr26,1077059,1085393,gene-LOC103245207,LOC103245207,NC_023667.1,10,11,"[-18.307551964199998, -28.0791379881, -24.435530908900002]",-18.3075519642,-28.0791379881,-24.4355309089,"[-18.3780892734, -28.0980219987, -24.4756766203]",-18.3780892734,-28.0980219987,-24.4756766203,1081226,-18.3780892734,-28.0980219987,-24.4756766203,85.393,"[-18.3780892734, -28.0980219987, -24.4756766203]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.85876168451323
chr26,1112259,1134043,gene-FAM154B,FAM154B,NC_023667.1,11,12,"[-18.6171250001, -28.1631331526, -24.554393282600003]",-18.6171250001,-28.1631331526,-24.554393282600003,"[-18.8221973977, -28.2200198902, -24.5692369002]",-18.8221973977,-28.2200198902,-24.5692369002,1123151,-18.8221973977,-28.2200198902,-24.5692369002,34.043,"[-18.8221973977, -28.2200198902, -24.5692369002]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.4088335304010813
chr26,1134150,1270216,gene-EFTUD1,EFTUD1,NC_023667.1,11,13,"[-18.5693626125, -28.0871330925, -24.6593582375]",-18.5693626125,-28.0871330925,-24.6593582375,"[-18.838875342, -27.9118732812, -25.110859242]",-18.838875342,-27.9118732812,-25.110859242,1202183,-18.838875342,-27.9118732812,-25.110859242,85.10799999999999,"[-18.838875342, -27.9118732812, -25.110859242]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.251579891245494
chr26,1366900,1371243,gene-MEX3B,MEX3B,NC_023667.1,13,14,"[-19.32093891, -28.2090135, -24.79399347]",-19.32093891,-28.2090135,-24.79399347,"[-19.3484036077, -28.230793645, -24.7670073709]",-19.3484036077,-28.230793645,-24.7670073709,1369071,-19.3484036077,-28.230793645,-24.7670073709,71.243,"[-19.3484036077, -28.230793645, -24.7670073709]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",1.8488035125292563
chr26,2018238,2059627,gene-TMC3,TMC3,NC_023667.1,20,21,"[-18.8015047128, -28.8318791728, -24.4916964558]",-18.8015047128,-28.8318791728,-24.4916964558,"[-18.9221784812, -28.4629210712, -24.7964891907]",-18.9221784812,-28.4629210712,-24.7964891907,2038932,-18.9221784812,-28.4629210712,-24.7964891907,59.627,"[-18.9221784812, -28.4629210712, -24.7964891907]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.232479215906148
chr26,2067420,2079132,gene-STARD5,STARD5,NC_023667.1,20,21,"[-18.944899752, -28.393451152, -24.853877622000002]",-18.944899752,-28.393451152,-24.853877622,"[-18.979047259199998, -28.2890456992, -24.9401259612]",-18.9790472592,-28.2890456992,-24.9401259612,2073276,-18.9790472592,-28.2890456992,-24.9401259612,79.132,"[-18.979047259199998, -28.2890456992, -24.9401259612]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.1259023287595262
chr26,2080985,2208764,gene-IL16,IL16,NC_023667.1,20,23,"[-18.863031754999998, -28.789271005, -24.35620222]",-18.863031755,-28.789271005,-24.35620222,"[-19.044009412, -28.465521612, -24.354328128]",-19.044009412,-28.465521612,-24.354328128,2144874,-19.044009412,-28.465521612,-24.354328128,69.58800000000001,"[-19.044009412, -28.465521612, -24.354328128]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.320618060260868
chr26,2242522,2257405,gene-C26H15orf26,C26H15orf26,NC_023667.1,22,23,"[-18.8256202994, -28.619836207, -24.5853045804]",-18.8256202994,-28.619836207,-24.5853045804,"[-18.9156282185, -28.5200233675, -24.525150471]",-18.9156282185,-28.5200233675,-24.525150471,2249963,-18.9156282185,-28.5200233675,-24.525150471,57.405,"[-18.9156282185, -28.5200233675, -24.525150471]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.352517893801414
chr26,2291219,2300551,gene-LOC103245216,LOC103245216,NC_023667.1,22,24,"[-18.7921654756, -28.43614434, -24.962125410149998]",-18.7921654756,-28.43614434,-24.96212541015,"[-18.8150512724, -28.38817786, -24.98309301435]",-18.8150512724,-28.38817786,-24.98309301435,2295885,-18.8150512724,-28.38817786,-24.98309301435,50.2755,"[-18.8150512724, -28.38817786, -24.98309301435]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.272429394824394
chr26,2388914,2391944,gene-MESDC1,MESDC1,NC_023667.1,23,24,"[-19.0716101894, -27.916625821, -25.111915447]",-19.0716101894,-27.916625821,-25.111915447,"[-19.0681472024, -27.905798116, -25.137778012000002]",-19.0681472024,-27.905798116,-25.137778012,2390429,-19.0681472024,-27.905798116,-25.137778012,91.944,"[-19.0681472024, -27.905798116, -25.137778012000002]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.0270841439226936
chr26,2402719,2413682,gene-MESDC2,MESDC2,NC_023667.1,24,25,"[-19.0365278268, -27.8673227468, -25.2043223836]",-19.0365278268,-27.8673227468,-25.2043223836,"[-18.9461620104, -27.8282637704, -25.1953809608]",-18.9461620104,-27.8282637704,-25.1953809608,2408200,-18.9461620104,-27.8282637704,-25.1953809608,13.682,"[-18.9461620104, -27.8282637704, -25.1953809608]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.1484812778395406
chr26,2440075,2611636,gene-CEMIP,CEMIP,NC_023667.1,24,27,"[-18.999574230833332, -27.859697599999997, -25.232097163333332]",-18.99957423083333,-27.8596976,-25.23209716333333,"[-18.745429484133332, -27.785583248, -25.341507331733336]",-18.74542948413333,-27.785583248,-25.341507331733336,2525855,-18.74542948413333,-27.785583248,-25.341507331733336,70.54533333333333,"[-18.745429484133332, -27.785583248, -25.341507331733336]","[-21.004636460481102, -28.304329364261168, -25.585273625429558]",2.330780062780886
