chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr10,9281,9540,2.2923283351434245,0,1,"[-23.7923685315, -49.6098258598, 51.624942709500004]",-23.7923685315,-49.6098258598,51.624942709500004,"[-23.79180171, -49.608695532, 51.62218423]",-23.79180171,-49.608695532,51.62218423,9410,9.54,"[-23.79180171, -49.608695532, 51.62218423]",-23.79180171,-49.608695532,51.62218423
chr10,36799,37143,1.8127292271616848,0,1,"[-23.7321453885, -49.4897318042, 51.3318622505]",-23.7321453885,-49.4897318042,51.3318622505,"[-23.7313925445, -49.4882305194, 51.3281984785]",-23.7313925445,-49.4882305194,51.3281984785,36971,37.143,"[-23.7313925445, -49.4882305194, 51.3281984785]",-23.7313925445,-49.4882305194,51.3281984785
chr10,52866,53391,1.4855160969779604,0,1,"[-23.696982759, -49.419612202799996, 51.160740667]",-23.696982759,-49.419612202799996,51.160740667,"[-23.6958337965, -49.4173209978, 51.1551491545]",-23.6958337965,-49.4173209978,51.1551491545,53128,53.391,"[-23.6958337965, -49.4173209978, 51.1551491545]",-23.6958337965,-49.4173209978,51.1551491545
chr10,65526,65991,3.244113753944315,0,1,"[-23.669276349, -49.364361430799995, 51.025905337000005]",-23.669276349,-49.364361430799995,51.025905337000005,"[-23.6682586965, -49.3623320778, 51.0209528545]",-23.6682586965,-49.3623320778,51.0209528545,65758,65.991,"[-23.6682586965, -49.3623320778, 51.0209528545]",-23.6682586965,-49.3623320778,51.0209528545
chr10,66332,66759,1.5730742757716838,0,1,"[-23.667512418, -49.3608438856, 51.017321034]",-23.667512418,-49.3608438856,51.017321034,"[-23.6665779285, -49.3589803722, 51.0127732705]",-23.6665779285,-49.3589803722,51.0127732705,66545,66.759,"[-23.6665779285, -49.3589803722, 51.0127732705]",-23.6665779285,-49.3589803722,51.0127732705
chr10,71533,71733,2.0906164824962614,0,1,"[-23.6561300295, -49.3381456814, 50.9619277835]",-23.6561300295,-49.3381456814,50.9619277835,"[-23.6556923295, -49.3372728414, 50.9597976835]",-23.6556923295,-49.3372728414,50.9597976835,71633,71.733,"[-23.6556923295, -49.3372728414, 50.9597976835]",-23.6556923295,-49.3372728414,50.9597976835
chr10,131455,132292,3.521626554011159,1,2,"[-23.5249907325, -49.076634089, 50.323728522500005]",-23.5249907325,-49.076634089,50.323728522500005,"[-23.523158958, -49.0729812536, 50.314814054]",-23.523158958,-49.0729812536,50.314814054,131873,32.292,"[-23.523158958, -49.0729812536, 50.314814054]",-23.523158958,-49.0729812536,50.314814054
chr10,375708,375930,2.7672846601890013,3,4,"[-22.640185522, -48.823323457200004, 50.1254369132]",-22.640185522,-48.823323457200004,50.1254369132,"[-22.640822995, -48.822833037, 50.127750797]",-22.640822995,-48.822833037,50.127750797,375819,75.92999999999999,"[-22.640822995, -48.822833037, 50.127750797]",-22.640822995,-48.822833037,50.127750797
chr10,473268,473479,1.9656039120461704,4,5,"[-22.9628684628, -48.9277943244, 49.6947757952]",-22.9628684628,-48.9277943244,49.6947757952,"[-22.9635968559, -48.9282497257, 49.6928064056]",-22.9635968559,-48.9282497257,49.6928064056,473373,73.479,"[-22.9635968559, -48.9282497257, 49.6928064056]",-22.9635968559,-48.9282497257,49.6928064056
chr10,1170869,1171328,1.9380284747786511,11,12,"[-23.9375091108, -50.2623369252, 48.980251675800005]",-23.9375091108,-50.2623369252,48.980251675800005,"[-23.9391492096, -50.258972822400004, 48.9829864896]",-23.9391492096,-50.258972822400004,48.9829864896,1171098,71.328,"[-23.9391492096, -50.258972822400004, 48.9829864896]",-23.9391492096,-50.258972822400004,48.9829864896
chr10,1227668,1228201,5.0865919894170135,12,13,"[-24.0765972532, -50.337216330800004, 49.188914091200004]",-24.0765972532,-50.337216330800004,49.188914091200004,"[-24.0772714449, -50.3427718431, 49.1895901484]",-24.0772714449,-50.3427718431,49.1895901484,1227934,28.200999999999997,"[-24.0772714449, -50.3427718431, 49.1895901484]",-24.0772714449,-50.3427718431,49.1895901484
chr10,1295271,1295666,1.2693925139270252,12,13,"[-24.1621082879, -51.0418491601, 49.2746617364]",-24.1621082879,-51.0418491601,49.2746617364,"[-24.1626079234, -51.045966284600006, 49.2751627544]",-24.1626079234,-51.045966284600006,49.2751627544,1295468,95.666,"[-24.1626079234, -51.045966284600006, 49.2751627544]",-24.1626079234,-51.045966284600006,49.2751627544
chr10,1834527,1834809,1.4759135034912867,18,19,"[-23.7814475146, -49.0145314668, 50.086598004900004]",-23.7814475146,-49.0145314668,50.086598004900004,"[-23.7804491782, -49.0136088756, 50.0888733783]",-23.7804491782,-49.0136088756,50.0888733783,1834668,34.809,"[-23.7804491782, -49.0136088756, 50.0888733783]",-23.7804491782,-49.0136088756,50.0888733783
chr10,1834864,1835630,1.8853259755799416,18,19,"[-23.780254467200002, -49.013428937600004, 50.0893171568]",-23.780254467200002,-49.013428937600004,50.0893171568,"[-23.777542674, -49.010922892, 50.095497781]",-23.777542674,-49.010922892,50.095497781,1835247,35.63,"[-23.777542674, -49.010922892, 50.095497781]",-23.777542674,-49.010922892,50.095497781
chr10,1841458,1841833,2.7288847754796346,18,19,"[-23.7569103884, -48.9918560072, 50.1425221646]",-23.7569103884,-48.9918560072,50.1425221646,"[-23.7555828134, -48.990629157200004, 50.145547927100004]",-23.7555828134,-48.990629157200004,50.145547927100004,1841645,41.833,"[-23.7555828134, -48.990629157200004, 50.145547927100004]",-23.7555828134,-48.990629157200004,50.145547927100004
chr10,1849794,1850084,2.489542653848385,18,19,"[-23.7273992812, -48.964583949600005, 50.2097828478]",-23.7273992812,-48.964583949600005,50.2097828478,"[-23.7263726232, -48.963635185600005, 50.2121227708]",-23.7263726232,-48.963635185600005,50.2121227708,1849939,50.083999999999996,"[-23.7263726232, -48.963635185600005, 50.2121227708]",-23.7263726232,-48.963635185600005,50.2121227708
chr10,1856460,1856828,3.5124358146086982,18,19,"[-23.703800308, -48.942775464, 50.263568802]",-23.703800308,-48.942775464,50.263568802,"[-23.7024975144, -48.9415715152, 50.266538083600004]",-23.7024975144,-48.9415715152,50.266538083600004,1856644,56.828,"[-23.7024975144, -48.9415715152, 50.266538083600004]",-23.7024975144,-48.9415715152,50.266538083600004
