id,x,y,z
1.0,86.9882,16.71874,10.90337
2.0,86.36978,17.5679,11.57725
3.0,87.57848,17.79852,10.98821
4.0,88.12769,18.40346,10.48984
5.0,87.9172,17.68166,9.92204
6.0,87.41233,16.75729,9.65045
7.0,86.46475,17.62684,9.34396
8.0,86.20218,16.7501,9.13238
9.0,86.29894,15.76501,8.3571
10.0,86.80275,15.32425,7.40763
11.0,86.11861,16.15812,7.4564
12.0,86.87322,16.74678,7.5461
13.0,86.8547,17.84636,7.10585
14.0,85.97877,18.5732,6.30466
15.0,86.96789,18.39024,6.33901
16.0,86.08448,17.91855,6.41967
17.0,87.10228,17.73403,6.82899
18.0,86.18559,18.10408,6.40375
19.0,87.13319,17.96564,6.60912
20.0,87.1169,17.18294,7.27074
21.0,87.17841,18.14677,7.17582
22.0,86.20194,17.72986,6.9573
23.0,85.4446,17.33727,6.19362
24.0,85.74443,16.56854,5.6142
25.0,85.58086,17.3815,6.04954
26.0,85.79485,17.75515,5.26112
27.0,86.11762,18.38625,4.53879
28.0,85.48759,17.72013,4.32675
29.0,85.65159,17.42325,5.19756
30.0,85.85035,16.97472,4.07373
31.0,86.44348,16.96902,4.80764
32.0,85.57636,16.4219,5.26317
33.0,85.82812,17.31422,5.67227
34.0,86.11245,17.46812,4.65696
35.0,86.23011,18.35645,5.19822
36.0,85.88658,17.57204,5.58919
37.0,85.94056,18.31922,4.68081
38.0,86.22496,18.54691,5.63863
39.0,86.39748,18.34178,4.6059
40.0,85.89463,17.65243,5.00671
41.0,86.08074,16.8149,5.53263
42.0,85.58769,16.89581,4.6933
43.0,86.11914,16.52835,5.4796
44.0,86.84186,16.56988,6.15008
45.0,87.01675,15.64167,5.69628
46.0,87.37782,16.53134,5.99994
47.0,88.14358,16.90507,6.4782
48.0,87.93784,16.01339,5.93889
49.0,87.03424,15.71022,5.95853
50.0,86.1712,15.66803,5.34691
51.0,87.11666,15.59147,5.60308
52.0,86.08442,15.76965,5.72558
53.0,86.36886,16.45776,6.45753
54.0,85.90944,16.07227,5.59475
55.0,86.48549,15.8416,6.32563
56.0,86.02998,16.12839,5.42026
57.0,85.8034,17.1396,5.95082
58.0,86.34266,16.31133,6.50319
59.0,86.60891,15.76938,5.49803
60.0,86.9877,16.19193,6.36738
61.0,86.56285,17.17268,6.24258
62.0,87.07234,16.32557,6.49057
63.0,86.29209,17.15836,6.37692
64.0,86.3486,16.29956,6.12234
65.0,87.22107,16.3562,6.62511
66.0,86.35399,16.71611,6.12577
67.0,87.48439,16.36331,6.70812
68.0,87.97022,15.89193,6.00607
69.0,87.14717,15.44174,6.00405
70.0,87.90978,15.99297,6.08273
71.0,86.78093,16.17518,6.3075
72.0,86.15253,15.75406,5.51156
73.0,86.16439,16.6811,6.0541
74.0,85.9472,16.08865,5.35285
75.0,86.85247,16.08377,5.85439
76.0,87.39498,16.61378,6.46214
77.0,88.44768,16.81725,6.1995
78.0,87.48082,17.07988,5.9061
79.0,87.42542,17.96408,6.44397
80.0,87.03541,18.15027,5.49413
81.0,87.78718,17.94407,6.1409
82.0,87.68442,17.10124,6.59018
83.0,88.03588,17.85678,5.88412
84.0,87.00738,17.92739,5.95612
85.0,88.04294,17.80158,5.69499
86.0,87.23065,17.33082,5.95716
87.0,86.24628,17.59729,5.43696
88.0,86.68062,16.68802,5.69792
89.0,87.74632,16.59833,5.93202
90.0,86.93231,16.89437,6.39402
91.0,87.76577,16.34109,6.64964
92.0,88.00663,16.75226,5.65671
93.0,88.62223,17.55411,5.65015
94.0,87.87181,17.20217,6.10435
95.0,88.31313,16.39542,5.99878
96.0,87.42277,17.04656,5.94771
97.0,88.26596,17.58989,6.27219
98.0,87.79766,17.9711,5.53082
99.0,88.6876,17.71951,5.51142
100.0,88.26019,17.23072,6.26364
101.0,88.33926,17.8856,5.59954
102.0,88.13615,17.06171,6.11342
103.0,88.65502,17.10841,5.28269
104.0,87.66967,17.41374,5.73349
105.0,88.27581,17.15732,6.35257
106.0,88.25969,17.80536,5.3439
107.0,87.35774,18.01545,5.26751
108.0,88.43738,17.55871,5.10368
109.0,87.64638,18.03882,5.08035
110.0,87.79308,19.08823,5.11529
111.0,88.76063,19.16735,4.81981
112.0,87.51391,18.85805,5.04499
113.0,87.32067,19.26035,4.22461
114.0,86.55285,19.25017,3.52372
115.0,87.55734,19.23275,4.33253
116.0,86.74761,19.14495,4.97128
117.0,87.63276,19.22721,5.25676
118.0,88.43743,18.36427,5.46466
119.0,87.34319,18.42165,5.34357
120.0,86.41698,18.1173,5.60205
121.0,86.84914,18.95833,5.2414
122.0,86.77364,17.9372,5.27591
123.0,87.93011,18.24245,5.47296
124.0,87.1147,18.00364,5.90033
125.0,87.6307,18.78893,5.86133
126.0,86.92243,18.56572,5.17779
127.0,87.71822,19.22364,4.78449
128.0,87.85743,18.77705,3.91714
129.0,86.93011,18.91625,4.38801
130.0,86.47636,18.5611,5.20579
131.0,86.3485,17.69025,4.75981
132.0,85.92549,16.73646,4.76943
133.0,86.70084,17.38649,5.01343
134.0,86.11805,17.22952,4.30754
135.0,86.58516,17.98326,4.65479
136.0,85.9258,17.34763,4.92164
137.0,86.29325,18.2454,4.54629
138.0,87.23051,18.33348,4.37034
139.0,86.85824,19.22923,4.24836
140.0,85.95798,18.60185,4.15828
141.0,86.23774,18.25814,3.15059
142.0,86.85176,19.23344,3.03347
143.0,86.44417,18.86933,4.02321
144.0,86.89108,19.02356,3.15781
145.0,86.24249,17.99174,2.87814
146.0,86.15577,17.84759,3.78381
147.0,86.5087,18.13024,2.86262
148.0,87.38194,18.59293,3.16923
149.0,86.70465,18.19312,3.94657
150.0,87.72717,18.56694,4.06276
151.0,87.24697,18.13737,4.79904
152.0,86.4114,17.34375,4.44717
153.0,87.18191,17.7804,4.61538
154.0,86.42777,17.26186,4.19548
155.0,86.78513,17.35069,5.15972
156.0,86.26215,16.55484,4.31589
157.0,86.32767,17.56386,4.09737
158.0,87.11894,18.0621,4.4648
159.0,88.07165,17.95314,4.89092
160.0,88.50188,16.94894,5.36377
161.0,88.09854,17.8224,5.31478
162.0,87.03308,17.54995,5.29466
163.0,87.73845,17.94743,4.78237
164.0,87.00952,17.95796,4.05621
165.0,87.88291,18.16026,3.86316
166.0,87.05498,18.30756,4.27453
167.0,88.13649,18.88819,4.18997
168.0,88.03822,18.46202,3.43096
169.0,87.45139,18.75149,4.12436
170.0,88.68175,18.65658,4.06354
171.0,88.4915,17.95207,4.75515
172.0,88.36804,17.02905,4.92278
173.0,88.43235,18.15821,4.51965
174.0,88.2038,18.61568,3.61229
175.0,86.84204,18.40269,3.38985
176.0,87.78977,19.11387,3.51677
177.0,88.67216,18.59673,3.51879
178.0,88.97949,18.37503,4.45852
179.0,88.0319,18.47896,4.14177
180.0,86.88404,17.91129,3.86277
181.0,87.08502,17.29184,4.75422
182.0,87.90048,17.08891,4.18226
183.0,87.3895,18.10484,4.33452
184.0,86.35826,17.81121,3.74392
185.0,87.13645,17.56406,3.18295
186.0,86.71714,16.82976,3.61659
187.0,87.2935,17.5755,3.87498
188.0,87.94804,18.16866,4.39996
189.0,88.31308,17.41362,4.76763
190.0,87.30779,17.24065,4.6834
191.0,88.1891,17.30886,5.52619
192.0,87.95292,16.57721,4.83456
193.0,87.05238,16.57065,5.13712
194.0,86.75225,15.75186,4.87077
195.0,86.25015,16.25909,4.06747
196.0,86.48886,16.87831,4.74109
197.0,86.74582,16.38459,3.99339
198.0,87.57213,16.88331,3.92971
199.0,88.15713,17.04009,4.88405
200.0,87.5788,16.29017,5.5244
201.0,88.63952,16.79306,5.40756
202.0,87.63319,16.45454,5.36974
203.0,87.18547,15.87753,4.64102
204.0,87.52344,16.44828,3.78273
205.0,87.33486,17.56584,4.58933
206.0,87.08081,16.53674,4.33398
207.0,87.4434,16.87641,5.31821
208.0,87.94146,16.0495,5.37177
209.0,87.06373,15.53805,5.20345
210.0,86.72314,16.19793,4.20646
211.0,87.6738,15.76205,5.12738
212.0,88.43297,16.47089,5.49916
213.0,87.43989,16.36329,5.34955
214.0,88.22489,16.86321,5.577
215.0,88.26328,16.36851,4.71005
216.0,88.77888,16.97143,5.36101
217.0,88.40444,16.11191,5.25882
218.0,87.21712,16.06488,5.05627
219.0,87.92292,15.76809,5.54872
220.0,87.13711,15.85253,4.40446
221.0,87.2784,16.71148,4.15263
222.0,86.72822,17.23721,3.66737
223.0,87.62406,17.59294,4.0763
224.0,88.65925,17.85384,4.41925
225.0,87.78764,18.04822,4.02794
226.0,88.8875,17.3989,4.16187
227.0,87.85752,17.16611,4.13116
228.0,86.90561,17.35886,4.3158
229.0,86.11249,16.78615,3.91673
230.0,86.99052,16.56449,4.65124
231.0,87.87072,16.13985,4.17511
232.0,87.74815,16.96586,4.58842
233.0,86.94797,16.91236,3.88887
234.0,86.46416,16.17706,4.06317
235.0,87.51053,16.42832,3.84017
236.0,86.88675,15.68658,4.0148
237.0,87.81755,15.93881,4.71945
238.0,86.77703,15.82885,4.35589
239.0,87.75821,15.86209,4.80904
240.0,88.52793,16.66734,4.73635
241.0,89.00715,17.46483,4.52498
242.0,88.51347,16.56252,4.67073
243.0,87.58525,16.88333,4.85638
244.0,88.45299,17.44914,4.6395
245.0,88.48027,18.28097,3.99827
246.0,88.83885,17.5999,3.39982
247.0,88.57902,17.89675,4.40622
248.0,88.98765,17.02783,4.74258
249.0,88.03244,16.53362,4.63693
250.0,87.14101,16.16823,4.12479
251.0,86.35191,16.16364,3.39615
252.0,87.0683,16.90265,3.63285
253.0,86.39572,16.58181,3.02413
254.0,86.955,17.361,3.20578
255.0,87.06753,18.31059,3.14636
256.0,87.85219,17.9285,3.46797
257.0,88.58279,17.44682,4.1576
258.0,87.87804,18.09971,3.88681
259.0,87.31663,18.00835,3.03855
260.0,86.83567,17.29072,3.83733
261.0,87.36726,16.37296,4.30282
262.0,88.29001,17.16181,4.61607
263.0,88.16074,17.45021,3.63244
264.0,87.19041,17.58073,3.4532
265.0,86.61804,16.5914,3.69325
