gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
CWH43,gene-CWH43,1199363,1281422,chr27,1279300,1279433,NC_023668.1,2803_005_autosomes_peak_158252,21,.,3.36402,3.87357,2.16261,110,12,13,"[-31.84750868, -52.35305548, 20.25674993]",-31.84750868,-52.35305548,20.25674993,"[-31.8484965508, -52.3538938588, 20.2571941633]",-31.8484965508,-52.3538938588,20.2571941633,1279366,79.43299999999999,"[-31.8484965508, -52.3538938588, 20.2571941633]",-31.8484965508,-52.3538938588,20.2571941633
CWH43,gene-CWH43,1199363,1281422,chr27,1281030,1281615,NC_023668.1,2803_005_autosomes_peak_158253,47,.,4.80575,6.64704,4.70516,436,12,13,"[-31.860358428, -52.363960708, 20.262528303]",-31.860358428,-52.363960708,20.262528303,"[-31.864703574000004, -52.367648314, 20.2644822615]",-31.864703574000004,-52.367648314,20.2644822615,1281322,81.61500000000001,"[-31.864703574000004, -52.367648314, 20.2644822615]",-31.864703574000004,-52.367648314,20.2644822615
OCIAD2,gene-OCIAD2,1361361,1378234,chr27,1361177,1362207,NC_023668.1,2803_005_autosomes_peak_158258,87,.,6.72805,10.9048,8.75743,353,13,14,"[-31.4072802716, -52.3837358422, 20.469472419000002]",-31.4072802716,-52.3837358422,20.469472419,"[-31.3972797956, -52.382055500199996, 20.471889829000002]",-31.3972797956,-52.3820555002,20.471889829,1361692,62.207,"[-31.3972797956, -52.382055500199996, 20.471889829000002]",-31.3972797956,-52.3820555002,20.471889829
OCIAD2,gene-OCIAD2,1361361,1378234,chr27,1362475,1362992,NC_023668.1,2803_005_autosomes_peak_158259,47,.,4.80575,6.64704,4.70516,349,13,14,"[-31.39467773, -52.381618285, 20.472518825]",-31.39467773,-52.381618285,20.472518825,"[-31.3896580736, -52.3807748512, 20.473732224000003]",-31.3896580736,-52.3807748512,20.473732224000003,1362733,62.992,"[-31.3896580736, -52.3807748512, 20.473732224000003]",-31.3896580736,-52.3807748512,20.473732224000003
OCIAD2,gene-OCIAD2,1361361,1378234,chr27,1367754,1368037,NC_023668.1,2803_005_autosomes_peak_158260,66,.,5.7669,8.70715,6.65214,171,13,14,"[-31.3434228632, -52.3730061244, 20.484908638]",-31.3434228632,-52.3730061244,20.484908638,"[-31.3406751596, -52.3725444382, 20.485572839]",-31.3406751596,-52.3725444382,20.485572839,1367895,68.037,"[-31.3406751596, -52.3725444382, 20.485572839]",-31.3406751596,-52.3725444382,20.485572839
OCIAD1,gene-OCIAD1,1394512,1424286,chr27,1423719,1424702,NC_023668.1,2803_005_autosomes_peak_158261a,250,.,12.9755,27.5777,25.025,339,14,15,"[-31.1100666747, -52.4923532624, 20.6998276457]",-31.1100666747,-52.4923532624,20.6998276457,"[-31.113370832599998, -52.4994796192, 20.7055981506]",-31.1133708326,-52.4994796192,20.7055981506,1424210,24.702,"[-31.113370832599998, -52.4994796192, 20.7055981506]",-31.1133708326,-52.4994796192,20.7055981506
OCIAD1,gene-OCIAD1,1394512,1424286,chr27,1423719,1424702,NC_023668.1,2803_005_autosomes_peak_158261b,668,.,25.951,70.001,66.8652,594,14,15,"[-31.1100666747, -52.4923532624, 20.6998276457]",-31.1100666747,-52.4923532624,20.6998276457,"[-31.113370832599998, -52.4994796192, 20.7055981506]",-31.1133708326,-52.4994796192,20.7055981506,1424210,24.702,"[-31.113370832599998, -52.4994796192, 20.7055981506]",-31.1133708326,-52.4994796192,20.7055981506
FRYL,gene-FRYL,1476308,1754730,chr27,1475683,1477407,NC_023668.1,2803_005_autosomes_peak_158262a,1130,.,38.446,116.617,113.024,418,14,15,"[-31.2847332679, -52.8690714768, 21.0048719149]",-31.2847332679,-52.8690714768,21.0048719149,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121,1476545,77.40700000000001,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121
FRYL,gene-FRYL,1476308,1754730,chr27,1475683,1477407,NC_023668.1,2803_005_autosomes_peak_158262b,823,.,30.2762,85.6322,82.3305,687,14,15,"[-31.2847332679, -52.8690714768, 21.0048719149]",-31.2847332679,-52.8690714768,21.0048719149,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121,1476545,77.40700000000001,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121
FRYL,gene-FRYL,1476308,1754730,chr27,1475683,1477407,NC_023668.1,2803_005_autosomes_peak_158262c,278,.,13.9367,30.4209,27.8181,1183,14,15,"[-31.2847332679, -52.8690714768, 21.0048719149]",-31.2847332679,-52.8690714768,21.0048719149,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121,1476545,77.40700000000001,"[-31.2905281491, -52.8815697872, 21.0149923121]",-31.2905281491,-52.8815697872,21.0149923121
