gene_name,gene_id,start,end,chromosome,chromosome_nc
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,NC_023642.1
ODF3,gene-ODF3,4916,10379,chr1,NC_023642.1
BET1L,gene-BET1L,14423,18444,chr1,NC_023642.1
RIC8A,gene-RIC8A,18597,25398,chr1,NC_023642.1
SIRT3,gene-SIRT3,25740,49471,chr1,NC_023642.1
LOC103234607,gene-LOC103234607,28649,29165,chr1,NC_023642.1
PSMD13,gene-PSMD13,49510,67353,chr1,NC_023642.1
NLRP6,gene-NLRP6,92213,99919,chr1,NC_023642.1
ATHL1,gene-ATHL1,102388,109337,chr1,NC_023642.1
IFITM5,gene-IFITM5,112164,113988,chr1,NC_023642.1
LOC103241759,gene-LOC103241759,124603,127671,chr1,NC_023642.1
IFITM1,gene-IFITM1,128309,129543,chr1,NC_023642.1
LOC103241765,gene-LOC103241765,129666,136899,chr1,NC_023642.1
IFITM3,gene-IFITM3,147228,148078,chr1,NC_023642.1
B4GALNT4,gene-B4GALNT4,194763,206351,chr1,NC_023642.1
PKP3,gene-PKP3,214986,223958,chr1,NC_023642.1
SIGIRR,gene-SIGIRR,224727,234769,chr1,NC_023642.1
ANO9,gene-ANO9,235246,253391,chr1,NC_023642.1
PTDSS2,gene-PTDSS2,265181,302521,chr1,NC_023642.1
RNH1,gene-RNH1,305960,321021,chr1,NC_023642.1
LOC103243628,gene-LOC103243628,309542,310479,chr1,NC_023642.1
HRAS,gene-HRAS,343613,345782,chr1,NC_023642.1
LRRC56,gene-LRRC56,352131,370276,chr1,NC_023642.1
C1H11orf35,gene-C1H11orf35,370216,374411,chr1,NC_023642.1
RASSF7,gene-RASSF7,374723,379582,chr1,NC_023642.1
LOC103222129,gene-LOC103222129,382280,384748,chr1,NC_023642.1
PHRF1,gene-PHRF1,391692,429982,chr1,NC_023642.1
IRF7,gene-IRF7,430412,433959,chr1,NC_023642.1
CDHR5,gene-CDHR5,435562,443116,chr1,NC_023642.1
SCT,gene-SCT,444487,445535,chr1,NC_023642.1
DRD4,gene-DRD4,454018,459582,chr1,NC_023642.1
DEAF1,gene-DEAF1,487497,510440,chr1,NC_023642.1
TMEM80,gene-TMEM80,510440,521231,chr1,NC_023642.1
EPS8L2,gene-EPS8L2,523811,540781,chr1,NC_023642.1
TALDO1,gene-TALDO1,553475,569935,chr1,NC_023642.1
PDDC1,gene-PDDC1,575986,583503,chr1,NC_023642.1
CEND1,gene-CEND1,590581,593599,chr1,NC_023642.1
SLC25A22,gene-SLC25A22,593914,601603,chr1,NC_023642.1
LOC103233437,gene-LOC103233437,600919,602589,chr1,NC_023642.1
PIDD1,gene-PIDD1,602594,609388,chr1,NC_023642.1
LOC103233792,gene-LOC103233792,612478,612899,chr1,NC_023642.1
RPLP2,gene-RPLP2,617401,620656,chr1,NC_023642.1
PNPLA2,gene-PNPLA2,626060,631556,chr1,NC_023642.1
EFCAB4A,gene-EFCAB4A,633694,638403,chr1,NC_023642.1
CD151,gene-CD151,639044,645154,chr1,NC_023642.1
POLR2L,gene-POLR2L,646747,649196,chr1,NC_023642.1
TSPAN4,gene-TSPAN4,649316,673317,chr1,NC_023642.1
CHID1,gene-CHID1,675978,716068,chr1,NC_023642.1
AP2A2,gene-AP2A2,731616,820191,chr1,NC_023642.1
MUC6,gene-MUC6,822052,858589,chr1,NC_023642.1
LOC103235151,gene-LOC103235151,858828,870761,chr1,NC_023642.1
MUC2,gene-MUC2,893554,926854,chr1,NC_023642.1
LOC103241697,gene-LOC103241697,914364,916312,chr1,NC_023642.1
MUC5AC,gene-MUC5AC,981515,1018242,chr1,NC_023642.1
MUC5B,gene-MUC5B,1040756,1083246,chr1,NC_023642.1
TOLLIP,gene-TOLLIP,1094535,1127342,chr1,NC_023642.1
LOC103235445,gene-LOC103235445,1148078,1148888,chr1,NC_023642.1
LOC103241805,gene-LOC103241805,1179250,1180997,chr1,NC_023642.1
BRSK2,gene-BRSK2,1193740,1258829,chr1,NC_023642.1
LOC103236142,gene-LOC103236142,1215773,1217050,chr1,NC_023642.1
MOB2,gene-MOB2,1267041,1338940,chr1,NC_023642.1
LOC103236198,gene-LOC103236198,1304646,1316283,chr1,NC_023642.1
LOC103241812,gene-LOC103241812,1359264,1360973,chr1,NC_023642.1
DUSP8,gene-DUSP8,1361228,1372599,chr1,NC_023642.1
LOC103241820,gene-LOC103241820,1372752,1379199,chr1,NC_023642.1
LOC103236463,gene-LOC103236463,1391489,1392237,chr1,NC_023642.1
LOC103236414,gene-LOC103236414,1392253,1404781,chr1,NC_023642.1
LOC103241837,gene-LOC103241837,1445920,1450168,chr1,NC_023642.1
LOC103236741,gene-LOC103236741,1550051,1551550,chr1,NC_023642.1
IFITM10,gene-IFITM10,1552785,1570099,chr1,NC_023642.1
CTSD,gene-CTSD,1570163,1581857,chr1,NC_023642.1
LOC103241848,gene-LOC103241848,1599867,1610810,chr1,NC_023642.1
SYT8,gene-SYT8,1646125,1657627,chr1,NC_023642.1
TNNI2,gene-TNNI2,1657631,1661575,chr1,NC_023642.1
LOC103237714,gene-LOC103237714,1672916,1713160,chr1,NC_023642.1
LOC103238179,gene-LOC103238179,1675372,1678098,chr1,NC_023642.1
TNNT3,gene-TNNT3,1718729,1738271,chr1,NC_023642.1
MRPL23,gene-MRPL23,1768292,1777802,chr1,NC_023642.1
LOC103241849,gene-LOC103241849,1815758,1820906,chr1,NC_023642.1
