gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
LOC103245207,gene-LOC103245207,1077059,1085393,chr26,NC_023667.1,10,11,"[-4.2960620842, 18.61676402, 45.8422661008]",-4.2960620842,18.61676402,45.8422661008,"[-4.2889265134, 18.63993254, 45.930366481600004]",-4.2889265134,18.63993254,45.930366481600004,1081226,-4.2889265134,18.63993254,45.930366481600004,85.393,"[-4.2889265134, 18.63993254, 45.930366481600004]"
FAM154B,gene-FAM154B,1112259,1134043,chr26,NC_023667.1,11,12,"[-4.1668478321, 18.7530434037, 46.087783455]",-4.1668478321,18.7530434037,46.087783455,"[-3.9721402617, 18.8818805149, 46.093120535000004]",-3.9721402617,18.8818805149,46.093120535000004,1123151,-3.9721402617,18.8818805149,46.093120535000004,34.043,"[-3.9721402617, 18.8818805149, 46.093120535000004]"
EFTUD1,gene-EFTUD1,1134150,1270216,chr26,NC_023667.1,11,13,"[-4.1402349224999995, 18.6219386, 46.12935941]",-4.1402349224999995,18.6219386,46.12935941,"[-3.5976241244000002, 18.388449344, 46.3069799664]",-3.5976241244000002,18.388449344,46.3069799664,1202183,-3.5976241244000002,18.388449344,46.3069799664,85.10799999999999,"[-3.5976241244000002, 18.388449344, 46.3069799664]"
MEX3B,gene-MEX3B,1366900,1371243,chr26,NC_023667.1,13,14,"[-3.20789831, 18.68246372, 45.906132989999996]",-3.20789831,18.68246372,45.906132989999996,"[-3.1903087257, 18.7048683884, 45.8775868853]",-3.1903087257,18.7048683884,45.8775868853,1369071,-3.1903087257,18.7048683884,45.8775868853,71.243,"[-3.1903087257, 18.7048683884, 45.8775868853]"
TMC3,gene-TMC3,2018238,2059627,chr26,NC_023667.1,20,21,"[-4.2572599822, 17.7202337212, 48.0122421924]",-4.2572599822,17.7202337212,48.0122421924,"[-4.5278157363, 18.052479779800002, 47.9576004346]",-4.5278157363,18.052479779800002,47.9576004346,2038932,-4.5278157363,18.052479779800002,47.9576004346,59.626999999999995,"[-4.5278157363, 18.052479779800002, 47.9576004346]"
STARD5,gene-STARD5,2067420,2079132,chr26,NC_023667.1,20,21,"[-4.578757798, 18.115037308, 47.947312116]",-4.578757798,18.115037308,47.947312116,"[-4.6553179708000005, 18.209054216800002, 47.9318499336]",-4.6553179708000005,18.209054216800002,47.9318499336,2073276,-4.6553179708000005,18.209054216800002,47.9318499336,79.132,"[-4.6553179708000005, 18.209054216800002, 47.9318499336]"
IL16,gene-IL16,2080985,2208764,chr26,NC_023667.1,20,23,"[-4.0414599885, 17.609452602, 47.671207226]",-4.0414599885,17.609452602,47.671207226,"[-3.8890750123999998, 17.6656583248, 47.0951283824]",-3.8890750123999998,17.6656583248,47.0951283824,2144874,-3.8890750123999998,17.6656583248,47.0951283824,69.58800000000001,"[-3.8890750123999998, 17.6656583248, 47.0951283824]"
C26H15orf26,gene-C26H15orf26,2242522,2257405,chr26,NC_023667.1,22,23,"[-4.185892246, 17.6865693568, 47.030173923599996]",-4.185892246,17.6865693568,47.030173923599996,"[-4.080862915, 17.691546232, 46.940485988999995]",-4.080862915,17.691546232,46.940485988999995,2249963,-4.080862915,17.691546232,46.940485988999995,57.404999999999994,"[-4.080862915, 17.691546232, 46.940485988999995]"
LOC103245216,gene-LOC103245216,2291219,2300551,chr26,NC_023667.1,22,24,"[-4.0393344103, 18.216767796750002, 46.87839285205]",-4.0393344103,18.216767796750002,46.87839285205,"[-3.9936421387000003, 18.27246350575, 46.83665034945]",-3.9936421387000003,18.27246350575,46.83665034945,2295885,-3.9936421387000003,18.27246350575,46.83665034945,50.275499999999994,"[-3.9936421387000003, 18.27246350575, 46.83665034945]"
MESDC1,gene-MESDC1,2388914,2391944,chr26,NC_023667.1,23,24,"[-3.5370368616, 18.7373791194, 46.4241800114]",-3.5370368616,18.7373791194,46.4241800114,"[-3.5287479936, 18.7725334824, 46.4153327144]",-3.5287479936,18.7725334824,46.4153327144,2390429,-3.5287479936,18.7725334824,46.4153327144,91.944,"[-3.5287479936, 18.7725334824, 46.4153327144]"
MESDC2,gene-MESDC2,2402719,2413682,chr26,NC_023667.1,24,25,"[-3.4966771619, 18.8938953086, 46.3955372052]",-3.4966771619,18.8938953086,46.3955372052,"[-3.4562247882, 19.0063691108, 46.4105652856]",-3.4562247882,19.0063691108,46.4105652856,2408200,-3.4562247882,19.0063691108,46.4105652856,13.682,"[-3.4562247882, 19.0063691108, 46.4105652856]"
CEMIP,gene-CEMIP,2440075,2611636,chr26,NC_023667.1,24,27,"[-3.5034706041666666, 18.805044589166666, 46.35198613666667]",-3.5034706041666666,18.805044589166666,46.35198613666667,"[-3.4896027566666667, 18.544094589466667, 46.181500252266666]",-3.4896027566666667,18.544094589466667,46.181500252266666,2525855,-3.4896027566666667,18.544094589466667,46.181500252266666,70.54533333333333,"[-3.4896027566666667, 18.544094589466667, 46.181500252266666]"
LOC103246057,gene-LOC103246057,2603810,2613801,chr26,NC_023667.1,26,27,"[-3.475553558, 19.346378600999998, 45.682814414999996]",-3.475553558,19.346378600999998,45.682814414999996,"[-3.4762709118000004, 19.2490872421, 45.7254909715]",-3.4762709118000004,19.2490872421,45.7254909715,2608805,-3.4762709118000004,19.2490872421,45.7254909715,13.801,"[-3.4762709118000004, 19.2490872421, 45.7254909715]"
ABHD17C,gene-ABHD17C,2633997,2695187,chr26,NC_023667.1,26,27,"[-3.4777209846000003, 19.0524206137, 45.8117581855]",-3.4777209846000003,19.0524206137,45.8117581855,"[-3.4821144266, 18.456558512700003, 46.0731312705]",-3.4821144266,18.456558512700003,46.0731312705,2664592,-3.4821144266,18.456558512700003,46.0731312705,95.187,"[-3.4821144266, 18.456558512700003, 46.0731312705]"
ARNT2,gene-ARNT2,2790059,2990760,chr26,NC_023667.1,27,30,"[-3.9962105714, 18.388367030766666, 46.32452322486667]",-3.9962105714,18.388367030766666,46.32452322486667,"[-5.141129496, 18.340847724, 46.838946648000004]",-5.141129496,18.340847724,46.838946648000004,2890409,-5.141129496,18.340847724,46.838946648000004,96.92,"[-5.141129496, 18.340847724, 46.838946648000004]"
LOC103245221,gene-LOC103245221,2949777,2961063,chr26,NC_023667.1,29,30,"[-5.1992540394, 18.5488884557, 46.420265816000004]",-5.1992540394,18.5488884557,46.420265816000004,"[-5.1980374086, 18.5016463883, 46.519672904000004]",-5.1980374086,18.5016463883,46.519672904000004,2955420,-5.1980374086,18.5016463883,46.519672904000004,61.063,"[-5.1980374086, 18.5016463883, 46.519672904000004]"
FAH,gene-FAH,3223327,3259367,chr26,NC_023667.1,32,33,"[-4.357464986, 18.4325919064, 48.037848060099996]",-4.357464986,18.4325919064,48.037848060099996,"[-4.765365706, 18.4103624344, 48.0128471121]",-4.765365706,18.4103624344,48.0128471121,3241347,-4.765365706,18.4103624344,48.0128471121,59.367000000000004,"[-4.765365706, 18.4103624344, 48.0128471121]"
ZFAND6,gene-ZFAND6,3274721,3356873,chr26,NC_023667.1,32,34,"[-4.1899073389, 18.49283254165, 48.23385729465]",-4.1899073389,18.49283254165,48.23385729465,"[-4.2959573557, 18.54324511645, 48.431568405449994]",-4.2959573557,18.54324511645,48.431568405449994,3315797,-4.2959573557,18.54324511645,48.431568405449994,78.4365,"[-4.2959573557, 18.54324511645, 48.431568405449994]"
BCL2A1,gene-BCL2A1,3451773,3461215,chr26,NC_023667.1,34,35,"[-4.5418129382, 18.6310558277, 48.0995297087]",-4.5418129382,18.6310558277,48.0995297087,"[-4.576497181, 18.6422436535, 48.0200460085]",-4.576497181,18.6422436535,48.0200460085,3456494,-4.576497181,18.6422436535,48.0200460085,61.214999999999996,"[-4.576497181, 18.6422436535, 48.0200460085]"
LOC103246058,gene-LOC103246058,3482013,3493523,chr26,NC_023667.1,34,35,"[-4.6528965542, 18.6668872037, 47.8449663647]",-4.6528965542,18.6668872037,47.8449663647,"[-4.695177388199999, 18.6805254027, 47.7480740337]",-4.695177388199999,18.6805254027,47.7480740337,3487768,-4.695177388199999,18.6805254027,47.7480740337,93.523,"[-4.695177388199999, 18.6805254027, 47.7480740337]"
LOC103245228,gene-LOC103245228,3492837,3567394,chr26,NC_023667.1,34,36,"[-4.9031467659, 18.4051471338, 48.05926865475]",-4.9031467659,18.4051471338,48.05926865475,"[-5.3460675358, 18.2729873956, 47.6769217195]",-5.3460675358,18.2729873956,47.6769217195,3530115,-5.3460675358,18.2729873956,47.6769217195,83.697,"[-5.3460675358, 18.2729873956, 47.6769217195]"
ST20,gene-ST20,3512660,3513143,chr26,NC_023667.1,35,36,"[-4.82288328, 18.628316933999997, 47.670275856]",-4.82288328,18.628316933999997,47.670275856,"[-4.826847743999999, 18.6260322957, 47.669387908800005]",-4.826847743999999,18.6260322957,47.669387908800005,3512901,-4.826847743999999,18.6260322957,47.669387908800005,13.142999999999999,"[-4.826847743999999, 18.6260322957, 47.669387908800005]"
LOC103245230,gene-LOC103245230,3585444,3587710,chr26,NC_023667.1,35,36,"[-5.420294352, 18.2840413356, 47.5364697504]",-5.420294352,18.2840413356,47.5364697504,"[-5.43889368, 18.273322929, 47.532303936]",-5.43889368,18.273322929,47.532303936,3586577,-5.43889368,18.273322929,47.532303936,87.71,"[-5.43889368, 18.273322929, 47.532303936]"
TRNAC-GCA,gene-TRNAC-GCA,3658498,3658569,chr26,NC_023667.1,36,37,"[-5.0651113782, 18.4223080188, 47.6619042466]",-5.0651113782,18.4223080188,47.6619042466,"[-5.0645352771, 18.4225594014, 47.6620889673]",-5.0645352771,18.4225594014,47.6620889673,3658533,-5.0645352771,18.4225594014,47.6620889673,58.569,"[-5.0645352771, 18.4225594014, 47.6620889673]"
LOC103245233,gene-LOC103245233,3873645,3875595,chr26,NC_023667.1,38,39,"[-4.029714784, 17.6500800615, 46.851138250000005]",-4.029714784,17.6500800615,46.851138250000005,"[-4.016180224, 17.6384555265, 46.85669575]",-4.016180224,17.6384555265,46.85669575,3874620,-4.016180224,17.6384555265,46.85669575,75.595,"[-4.016180224, 17.6384555265, 46.85669575]"
