chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr13,1836069,1836269,1.9404628068208691,18,19,"[31.3250821223, 19.6722175098, -12.2912492925]",31.3250821223,19.6722175098,-12.2912492925,"[31.3237514623, 19.671134349800003, -12.2901457925]",31.3237514623,19.671134349800003,-12.2901457925,1836169,36.269,"[31.3237514623, 19.671134349800003, -12.2901457925]",31.3237514623,19.671134349800003,-12.2901457925
chr13,2950661,2951052,3.015750019446663,29,30,"[32.5882325331, 18.5714457547, -11.3895987112]",32.5882325331,18.5714457547,-11.3895987112,"[32.5852793492, 18.5717478804, -11.3875808384]",32.5852793492,18.5717478804,-11.3875808384,2950856,51.052,"[32.5852793492, 18.5717478804, -11.3875808384]",32.5852793492,18.5717478804,-11.3875808384
chr13,3575384,3575813,1.325330931267816,35,36,"[32.0818420768, 18.1536501912, -11.415719068]",32.0818420768,18.1536501912,-11.415719068,"[32.078034787600004, 18.1526589009, -11.4142237885]",32.078034787600004,18.1526589009,-11.4142237885,3575598,75.813,"[32.078034787600004, 18.1526589009, -11.4142237885]",32.078034787600004,18.1526589009,-11.4142237885
chr13,3783342,3783723,1.3471992669768846,37,38,"[31.6402982156, 17.060796591000003, -11.6930533784]",31.6402982156,17.060796591000003,-11.6930533784,"[31.6430040014, 17.0582288415, -11.693055359599999]",31.6430040014,17.0582288415,-11.693055359599999,3783532,83.723,"[31.6430040014, 17.0582288415, -11.693055359599999]",31.6430040014,17.0582288415,-11.693055359599999
chr13,3941466,3941853,2.2115037093174856,39,40,"[30.688857025399997, 17.538409858, -11.9044356172]",30.688857025399997,17.538409858,-11.9044356172,"[30.685235440699998, 17.537950489, -11.9062987126]",30.685235440699998,17.537950489,-11.9062987126,3941659,41.853,"[30.685235440699998, 17.537950489, -11.9062987126]",30.685235440699998,17.537950489,-11.9062987126
chr13,3986929,3987186,1.6125575786434725,39,40,"[30.263409725099997, 17.484445277, -12.123303591800001]",30.263409725099997,17.484445277,-12.123303591800001,"[30.261004693399997, 17.484140218, -12.1245408412]",30.261004693399997,17.484140218,-12.1245408412,3987057,87.18599999999999,"[30.261004693399997, 17.484140218, -12.1245408412]",30.261004693399997,17.484140218,-12.1245408412
chr13,4248556,4248824,1.3744450743073848,42,43,"[30.6092922696, 17.7156765644, -11.277815088]",30.6092922696,17.7156765644,-11.277815088,"[30.6097094384, 17.7148577976, -11.280481152]",30.6097094384,17.7148577976,-11.280481152,4248690,48.824,"[30.6097094384, 17.7148577976, -11.280481152]",30.6097094384,17.7148577976,-11.280481152
chr13,4249026,4249293,3.2637892193562084,42,43,"[30.6100238716, 17.7142406674, -11.282490648]",30.6100238716,17.7142406674,-11.282490648,"[30.6104394838, 17.7134249557, -11.285146764]",30.6104394838,17.7134249557,-11.285146764,4249159,49.293,"[30.6104394838, 17.7134249557, -11.285146764]",30.6104394838,17.7134249557,-11.285146764
chr13,4687165,4687402,2.3534815266162536,46,47,"[30.9600228155, 18.097455976, -11.5938651785]",30.9600228155,18.097455976,-11.5938651785,"[30.9616630214, 18.095923628799998, -11.5930505858]",30.9616630214,18.095923628799998,-11.5930505858,4687283,87.402,"[30.9616630214, 18.095923628799998, -11.5930505858]",30.9616630214,18.095923628799998,-11.5930505858
chr13,4738727,4739043,2.3744621556016465,47,48,"[30.842144637500002, 18.3420965473, -11.645386326499999]",30.842144637500002,18.3420965473,-11.645386326499999,"[30.840457987500002, 18.3447698757, -11.6461666885]",30.840457987500002,18.3447698757,-11.6461666885,4738885,39.043,"[30.840457987500002, 18.3447698757, -11.6461666885]",30.840457987500002,18.3447698757,-11.6461666885
