chromosome,id,x,y,z
NC_023642.1,1.0,-70.34504,14.37386,16.91625
NC_023642.1,2.0,-71.14861,14.53552,17.53203
NC_023642.1,3.0,-71.81297,13.8244,17.33061
NC_023642.1,4.0,-70.96248,14.02984,17.73121
NC_023642.1,5.0,-71.35088,14.06244,16.84
NC_023642.1,6.0,-71.07892,14.95072,17.45543
NC_023642.1,7.0,-72.08154,14.79264,17.02715
NC_023642.1,8.0,-71.04727,14.79558,17.00061
NC_023642.1,9.0,-70.10873,14.8737,16.6157
NC_023642.1,10.0,-70.0702,15.70515,17.21221
NC_023642.1,11.0,-70.40624,15.25851,16.30133
NC_023642.1,12.0,-70.11049,14.9289,17.21591
NC_023642.1,13.0,-69.99448,15.64462,17.90762
NC_023642.1,14.0,-70.41966,14.93877,17.35369
NC_023642.1,15.0,-70.28237,15.45157,18.33649
NC_023642.1,16.0,-71.00142,14.86879,18.00752
NC_023642.1,17.0,-71.72134,15.41075,17.59381
NC_023642.1,18.0,-70.94863,15.81618,18.09946
NC_023642.1,19.0,-70.23548,16.69122,18.07247
NC_023642.1,20.0,-70.18162,15.80697,17.53143
NC_023642.1,21.0,-69.99015,16.83899,17.72803
NC_023642.1,22.0,-70.53026,15.85309,17.66843
NC_023642.1,23.0,-71.16942,16.40418,18.18179
NC_023642.1,24.0,-70.2502,16.67033,18.43203
NC_023642.1,25.0,-71.07404,16.81942,17.91074
NC_023642.1,26.0,-71.95481,16.66662,17.33822
NC_023642.1,27.0,-71.5064,16.54149,18.20479
NC_023642.1,28.0,-71.57007,15.70857,17.62382
NC_023642.1,29.0,-71.37824,14.88486,17.08377
NC_023642.1,30.0,-71.08954,15.90463,17.44484
NC_023642.1,31.0,-70.10712,15.64409,17.58399
NC_023642.1,32.0,-70.45257,16.52885,17.58088
NC_023642.1,33.0,-69.93167,15.79298,16.90318
NC_023642.1,34.0,-69.85603,16.641,17.82558
NC_023642.1,35.0,-70.7451,16.97324,18.11414
NC_023642.1,36.0,-71.25242,16.10027,17.96829
NC_023642.1,37.0,-71.88707,16.858,17.45515
NC_023642.1,38.0,-71.18828,17.29397,18.14002
NC_023642.1,39.0,-70.23318,17.17013,17.85577
NC_023642.1,40.0,-70.8214,16.44694,17.44782
NC_023642.1,41.0,-71.53929,17.10041,17.59821
NC_023642.1,42.0,-71.87184,16.19573,17.19707
NC_023642.1,43.0,-71.46877,15.4411,16.58932
NC_023642.1,44.0,-72.30133,15.82037,16.7633
NC_023642.1,45.0,-72.52042,16.71049,16.99483
NC_023642.1,46.0,-72.11929,16.47194,17.83639
NC_023642.1,47.0,-71.86645,15.58308,17.92225
NC_023642.1,48.0,-71.93598,16.28484,17.17178
NC_023642.1,49.0,-72.67045,15.82739,17.70818
NC_023642.1,50.0,-72.58721,14.94693,17.28941
NC_023642.1,51.0,-72.72251,15.97429,16.95616
NC_023642.1,52.0,-72.64503,15.14776,16.53078
NC_023642.1,53.0,-72.14355,15.92287,16.75899
NC_023642.1,54.0,-72.55197,15.52034,17.60905
NC_023642.1,55.0,-72.06622,15.04062,18.43538
NC_023642.1,56.0,-72.17069,15.10219,17.46019
NC_023642.1,57.0,-72.50754,15.62721,16.7682
NC_023642.1,58.0,-71.73794,14.99117,16.59049
NC_023642.1,59.0,-72.30864,15.81464,17.01167
NC_023642.1,60.0,-72.07003,14.83719,17.50488
NC_023642.1,61.0,-71.46806,14.00341,17.44448
NC_023642.1,62.0,-70.50314,14.21206,16.876
NC_023642.1,63.0,-71.29242,14.70478,17.47536
NC_023642.1,64.0,-71.70345,13.82626,17.72805
NC_023642.1,65.0,-72.46767,14.08829,16.92468
NC_023642.1,66.0,-72.86186,14.65049,16.24347
NC_023642.1,67.0,-73.20956,14.97915,17.04381
NC_023642.1,68.0,-72.65016,14.25541,17.66547
NC_023642.1,69.0,-72.43183,13.80488,16.71338
NC_023642.1,70.0,-73.12696,14.35423,16.24989
NC_023642.1,71.0,-72.78495,15.02481,15.48448
NC_023642.1,72.0,-72.4509,14.02323,15.68338
NC_023642.1,73.0,-72.44082,13.32835,16.37733
NC_023642.1,74.0,-73.02674,13.82245,15.84955
NC_023642.1,75.0,-72.47061,13.89671,15.09034
NC_023642.1,76.0,-72.30545,13.45233,15.92465
NC_023642.1,77.0,-72.18666,13.72513,16.78601
NC_023642.1,78.0,-72.69932,14.18507,16.12548
NC_023642.1,79.0,-71.85141,13.70218,16.48183
NC_023642.1,80.0,-71.36533,13.73552,15.519
NC_023642.1,81.0,-70.40461,13.76967,15.83669
NC_023642.1,82.0,-70.90371,13.96861,15.07619
NC_023642.1,83.0,-70.08866,13.56961,15.72924
NC_023642.1,84.0,-70.78486,13.65946,16.35914
NC_023642.1,85.0,-70.63136,13.93911,17.33881
NC_023642.1,86.0,-71.11344,13.02729,16.71803
NC_023642.1,87.0,-71.11803,12.78958,15.78638
NC_023642.1,88.0,-71.80941,12.91671,16.52672
NC_023642.1,89.0,-71.62523,12.76234,15.60662
NC_023642.1,90.0,-71.82429,13.32453,14.95585
NC_023642.1,91.0,-72.21944,14.22499,14.78735
NC_023642.1,92.0,-71.18996,14.42366,14.48244
NC_023642.1,93.0,-70.84894,14.50216,15.42825
NC_023642.1,94.0,-70.91669,13.49377,15.58035
NC_023642.1,95.0,-70.10966,14.12256,15.92477
NC_023642.1,96.0,-70.14824,14.63454,16.87807
NC_023642.1,97.0,-70.64721,15.10361,16.14727
NC_023642.1,98.0,-70.31477,14.79437,16.93182
NC_023642.1,99.0,-70.42981,15.08892,16.03146
NC_023642.1,100.0,-70.51166,14.1834,15.87351
NC_023642.1,101.0,-71.71298,14.09047,15.25439
NC_023642.1,102.0,-71.23021,14.42999,16.24934
NC_023642.1,103.0,-70.41002,14.59618,15.67583
NC_023642.1,104.0,-70.89477,13.67197,15.41854
NC_023642.1,105.0,-71.46238,14.4396,14.86184
