chrname,start,end,value,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
chr8,29892,30491,3.053851547842233,0,1,"[4.781807082399999, -21.970509926000002, -38.1517513808]",4.781807082399999,-21.970509926000002,-38.1517513808,"[4.7786396901999995, -21.9696506605, -38.1467631484]",4.7786396901999995,-21.9696506605,-38.1467631484,30191,30.491,"[4.7786396901999995, -21.9696506605, -38.1467631484]",4.7786396901999995,-21.9696506605,-38.1467631484
chr8,182890,183203,2.114553897906416,1,2,"[3.972784258, -21.751034295, -36.877645236]",3.972784258,-21.751034295,-36.877645236,"[3.9711291766, -21.7505852965, -36.8750386972]",3.9711291766,-21.7505852965,-36.8750386972,183046,83.203,"[3.9711291766, -21.7505852965, -36.8750386972]",3.9711291766,-21.7505852965,-36.8750386972
chr8,436399,436785,1.5075184023442043,4,5,"[3.9808981709, -21.9512546984, -36.467213874500004]",3.9808981709,-21.9512546984,-36.467213874500004,"[3.9797668435, -21.947217756, -36.4650235175]",3.9797668435,-21.947217756,-36.4650235175,436592,36.785000000000004,"[3.9797668435, -21.947217756, -36.4650235175]",3.9797668435,-21.947217756,-36.4650235175
chr8,503905,504270,3.79710651358513,5,6,"[3.802389034, -21.271999198000003, -36.1537350535]",3.802389034,-21.271999198000003,-36.1537350535,"[3.803127356, -21.270682132, -36.158167869]",3.803127356,-21.270682132,-36.158167869,504087,4.2700000000000005,"[3.803127356, -21.270682132, -36.158167869]",3.803127356,-21.270682132,-36.158167869
chr8,1417294,1417496,1.8487863517043612,14,15,"[3.8362298898, -21.2029597896, -36.2111217924]",3.8362298898,-21.2029597896,-36.2111217924,"[3.8374089032, -21.2042906464, -36.2123266416]",3.8374089032,-21.2042906464,-36.2123266416,1417395,17.496000000000002,"[3.8374089032, -21.2042906464, -36.2123266416]",3.8374089032,-21.2042906464,-36.2123266416
chr8,1424276,1424479,1.9462769571783507,14,15,"[3.8769817291999997, -21.2489599984, -36.2527666296]",3.8769817291999997,-21.2489599984,-36.2527666296,"[3.8781665792999997, -21.2502974436, -36.253977443400004]",3.8781665792999997,-21.2502974436,-36.253977443400004,1424377,24.479,"[3.8781665792999997, -21.2502974436, -36.253977443400004]",3.8781665792999997,-21.2502974436,-36.253977443400004
chr8,1432073,1432295,1.423908386681531,14,15,"[3.9224904791, -21.3003297532, -36.2992726158]",3.9224904791,-21.3003297532,-36.2992726158,"[3.9237862265, -21.301792378000002, -36.300596757]",3.9237862265,-21.301792378000002,-36.300596757,1432184,32.295,"[3.9237862265, -21.301792378000002, -36.300596757]",3.9237862265,-21.301792378000002,-36.300596757
chr8,1432328,1432549,1.352359011971573,14,15,"[3.9239788376, -21.3020097952, -36.300793588800005]",3.9239788376,-21.3020097952,-36.300793588800005,"[3.9252687482999997, -21.3034658316, -36.3021117654]",3.9252687482999997,-21.3034658316,-36.3021117654,1432438,32.549,"[3.9252687482999997, -21.3034658316, -36.3021117654]",3.9252687482999997,-21.3034658316,-36.3021117654
chr8,1486942,1487243,1.825480964888766,14,15,"[4.2427443714, -21.6618286728, -36.6265442532]",4.2427443714,-21.6618286728,-36.6265442532,"[4.2445012181, -21.6638117812, -36.6283395978]",4.2445012181,-21.6638117812,-36.6283395978,1487092,87.24300000000001,"[4.2445012181, -21.6638117812, -36.6283395978]",4.2445012181,-21.6638117812,-36.6283395978
chr8,1661552,1662018,2.014746973698743,16,17,"[4.6888843696, -22.7393572768, -37.2053804992]",4.6888843696,-22.7393572768,-37.2053804992,"[4.6895378414, -22.7423878612, -37.2017967728]",4.6895378414,-22.7423878612,-37.2017967728,1661785,62.017999999999994,"[4.6895378414, -22.7423878612, -37.2017967728]",4.6895378414,-22.7423878612,-37.2017967728
