gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
TMEM30A,gene-TMEM30A,4877,36725,chr17,NC_023658.1,0,1,"[12.980022333700003, 23.5561517585, -15.5320955828]",12.980022333700003,23.5561517585,-15.5320955828,"[12.686960222500002, 23.4657193625, -15.62179229]",12.686960222500002,23.4657193625,-15.62179229,20801,12.686960222500002,23.4657193625,-15.62179229,36.725,"[12.686960222500002, 23.4657193625, -15.62179229]"
LOC103243885,gene-LOC103243885,45771,51466,chr17,NC_023658.1,0,1,"[12.603719835100001, 23.4400332455, -15.647269444400001]",12.603719835100001,23.4400332455,-15.647269444400001,"[12.551315014600002, 23.423862293, -15.6633088424]",12.551315014600002,23.423862293,-15.6633088424,48618,12.551315014600002,23.423862293,-15.6633088424,51.466,"[12.551315014600002, 23.423862293, -15.6633088424]"
COL12A1,gene-COL12A1,83473,205366,chr17,NC_023658.1,0,3,"[12.341846005866667, 23.648461837566668, -15.593288147233332]",12.341846005866667,23.648461837566668,-15.593288147233332,"[11.344403713066667, 23.763037194466666, -15.702703367133333]",11.344403713066667,23.763037194466666,-15.702703367133333,144419,11.344403713066667,23.763037194466666,-15.702703367133333,68.45533333333333,"[11.344403713066667, 23.763037194466666, -15.702703367133333]"
LOC103243886,gene-LOC103243886,90519,94300,chr17,NC_023658.1,0,1,"[12.191953213900002, 23.3129712995, -15.773297711600001]",12.191953213900002,23.3129712995,-15.773297711600001,"[12.15716083, 23.302235149999998, -15.78394652]",12.15716083,23.302235149999998,-15.78394652,92409,12.15716083,23.302235149999998,-15.78394652,94.3,"[12.15716083, 23.302235149999998, -15.78394652]"
LOC103243888,gene-LOC103243888,330709,335357,chr17,NC_023658.1,3,4,"[10.3284875732, 23.7155069204, -15.861016871899999]",10.3284875732,23.7155069204,-15.861016871899999,"[10.2919301236, 23.694849349200002, -15.8721214087]",10.2919301236,23.694849349200002,-15.8721214087,333033,10.2919301236,23.694849349200002,-15.8721214087,35.357,"[10.2919301236, 23.694849349200002, -15.8721214087]"
LOC103243889,gene-LOC103243889,355723,523981,chr17,NC_023658.1,3,6,"[10.304379171833332, 23.771884472633335, -15.709218020066666]",10.304379171833332,23.771884472633335,-15.709218020066666,"[9.502265242833333, 23.530002380433334, -15.472389276466666]",9.502265242833333,23.530002380433334,-15.472389276466666,439852,9.502265242833333,23.530002380433334,-15.472389276466666,74.66033333333333,"[9.502265242833333, 23.530002380433334, -15.472389276466666]"
LOC103243891,gene-LOC103243891,1121963,1123849,chr17,NC_023658.1,11,12,"[9.7152449215, 22.8372782532, -15.2281307028]",9.7152449215,22.8372782532,-15.2281307028,"[9.7272785445, 22.8328205036, -15.2435498844]",9.7272785445,22.8328205036,-15.2435498844,1122906,9.7272785445,22.8328205036,-15.2435498844,23.849,"[9.7272785445, 22.8328205036, -15.2435498844]"
LOC103243892,gene-LOC103243892,1319095,1320544,chr17,NC_023658.1,13,14,"[9.74196484, 22.753942015, -15.10642164]",9.74196484,22.753942015,-15.10642164,"[9.753661168, 22.761095727999997, -15.111510528]",9.753661168,22.761095727999997,-15.111510528,1319819,9.753661168,22.761095727999997,-15.111510528,20.544,"[9.753661168, 22.761095727999997, -15.111510528]"
CD109,gene-CD109,1322681,1461945,chr17,NC_023658.1,13,15,"[9.75193043715, 22.7471143274, -15.1610503693]",9.75193043715,22.7471143274,-15.1610503693,"[10.75952636675, 23.284032752999998, -15.9082435085]",10.75952636675,23.284032752999998,-15.9082435085,1392313,10.75952636675,23.284032752999998,-15.9082435085,80.9725,"[10.75952636675, 23.284032752999998, -15.9082435085]"
SLC17A5,gene-SLC17A5,1499110,1558954,chr17,NC_023658.1,14,16,"[10.985309338, 23.653558348, -15.649063657500001]",10.985309338,23.653558348,-15.649063657500001,"[11.3417282332, 23.9555790472, -15.8051517705]",11.3417282332,23.9555790472,-15.8051517705,1529032,11.3417282332,23.9555790472,-15.8051517705,79.477,"[11.3417282332, 23.9555790472, -15.8051517705]"
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,NC_023658.1,16,17,"[11.6577379996, 23.9325807305, -15.8099745411]",11.6577379996,23.9325807305,-15.8099745411,"[11.667770422, 23.9003093225, -15.7956391395]",11.667770422,23.9003093225,-15.7956391395,1628573,11.667770422,23.9003093225,-15.7956391395,30.445,"[11.667770422, 23.9003093225, -15.7956391395]"
