gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
LOC103246564,gene-LOC103246564,1386338,1399250,chr28,1388045,1388244,NC_023669.1,2803_006_autosomes_peak_90893,16,.,3.22793,3.94805,1.68706,10,13,14,"[-5.899696046, -6.1524113275, -18.288840099999998]",-5.899696046,-6.1524113275,-18.2888401,"[-5.8981555472, -6.1522579980000005, -18.287602319999998]",-5.8981555472,-6.1522579980000005,-18.28760232,1388144,88.244,"[-5.8981555472, -6.1522579980000005, -18.287602319999998]",-5.8981555472,-6.1522579980000005,-18.28760232
LOC103246564,gene-LOC103246564,1386338,1399250,chr28,1388970,1389185,NC_023669.1,2803_006_autosomes_peak_90894,39,.,4.8419,6.67379,3.97677,168,13,14,"[-5.892535436, -6.151698615, -18.283086599999997]",-5.892535436,-6.151698615,-18.2830866,"[-5.890871078, -6.151532957500001, -18.281749299999998]",-5.890871078,-6.151532957500001,-18.2817493,1389077,89.185,"[-5.890871078, -6.151532957500001, -18.281749299999998]",-5.890871078,-6.151532957500001,-18.2817493
LOC103246564,gene-LOC103246564,1386338,1399250,chr28,1396373,1396476,NC_023669.1,2803_006_autosomes_peak_90895,16,.,3.22793,3.94805,1.68706,49,13,14,"[-5.835227332400001, -6.1459946035, -18.23703994]",-5.835227332400001,-6.1459946035,-18.23703994,"[-5.8344299888, -6.145915242, -18.236399279999997]",-5.8344299888,-6.145915242,-18.23639928,1396424,96.476,"[-5.8344299888, -6.145915242, -18.236399279999997]",-5.8344299888,-6.145915242,-18.23639928
LOC103246567,gene-LOC103246567,1467881,1482841,chr28,1473728,1473833,NC_023669.1,2803_006_autosomes_peak_90898,16,.,3.22793,3.94805,1.68706,65,14,15,"[-6.4223954144, -6.5465142784, -18.0929983744]",-6.4223954144,-6.5465142784,-18.0929983744,"[-6.4232716184, -6.5470886599, -18.0928253659]",-6.4232716184,-6.5470886599,-18.0928253659,1473780,73.833,"[-6.4232716184, -6.5470886599, -18.0928253659]",-6.4232716184,-6.5470886599,-18.0928253659
VKORC1L1,gene-VKORC1L1,1535346,1617484,chr28,1535305,1536389,NC_023669.1,2803_006_autosomes_peak_90899a,444,.,23.4025,49.0637,44.4723,99,15,16,"[-6.9410764185, -6.847083054, -17.873876978000002]",-6.9410764185,-6.847083054,-17.873876978000002,"[-6.9502705813, -6.8518990492, -17.8684782244]",-6.9502705813,-6.8518990492,-17.8684782244,1535847,36.389,"[-6.9502705813, -6.8518990492, -17.8684782244]",-6.9502705813,-6.8518990492,-17.8684782244
VKORC1L1,gene-VKORC1L1,1535346,1617484,chr28,1535305,1536389,NC_023669.1,2803_006_autosomes_peak_90899b,267,.,16.1397,30.9104,26.7503,595,15,16,"[-6.9410764185, -6.847083054, -17.873876978000002]",-6.9410764185,-6.847083054,-17.873876978000002,"[-6.9502705813, -6.8518990492, -17.8684782244]",-6.9502705813,-6.8518990492,-17.8684782244,1535847,36.389,"[-6.9502705813, -6.8518990492, -17.8684782244]",-6.9502705813,-6.8518990492,-17.8684782244
GUSB,gene-GUSB,1621293,1646097,chr28,1639885,1639997,NC_023669.1,2803_006_autosomes_peak_90900,16,.,3.22793,3.94805,1.68706,44,16,17,"[-7.441706667, -6.820383717, -17.353397676500002]",-7.441706667,-6.820383717,-17.353397676500002,"[-7.4415716174, -6.8195016274, -17.3528409133]",-7.4415716174,-6.8195016274,-17.3528409133,1639941,39.997,"[-7.4415716174, -6.8195016274, -17.3528409133]",-7.4415716174,-6.8195016274,-17.3528409133
GUSB,gene-GUSB,1621293,1646097,chr28,1642330,1642554,NC_023669.1,2803_006_autosomes_peak_90901,27,.,4.03491,5.27184,2.76836,62,16,17,"[-7.438758486, -6.801127386, -17.341243337]",-7.438758486,-6.801127386,-17.341243337,"[-7.4384883868, -6.7993632068, -17.3401298106]",-7.4384883868,-6.7993632068,-17.3401298106,1642442,42.554,"[-7.4384883868, -6.7993632068, -17.3401298106]",-7.4384883868,-6.7993632068,-17.3401298106
GUSB,gene-GUSB,1621293,1646097,chr28,1642840,1643828,NC_023669.1,2803_006_autosomes_peak_90902,66,.,6.45586,9.66788,6.66308,705,16,17,"[-7.438143528, -6.797110728, -17.338708076]",-7.438143528,-6.797110728,-17.338708076,"[-7.4369521976, -6.7893294376, -17.333796629200002]",-7.4369521976,-6.7893294376,-17.333796629200002,1643334,43.828,"[-7.4369521976, -6.7893294376, -17.333796629200002]",-7.4369521976,-6.7893294376,-17.333796629200002
GUSB,gene-GUSB,1621293,1646097,chr28,1644068,1644218,NC_023669.1,2803_006_autosomes_peak_90903,39,.,4.8419,6.67379,3.97677,45,16,17,"[-7.4366628056, -6.7874392456, -17.3326035652]",-7.4366628056,-6.7874392456,-17.3326035652,"[-7.4364819356, -6.7862578756, -17.3318579002]",-7.4364819356,-6.7862578756,-17.3318579002,1644143,44.218,"[-7.4364819356, -6.7862578756, -17.3318579002]",-7.4364819356,-6.7862578756,-17.3318579002
