gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
RPSA,gene-RPSA,23915,29889,chr15,NC_023656.1,0,1,"[34.787460419, -40.9576371865, -34.649656627]",34.787460419,-40.9576371865,-34.649656627,"[34.791394895399996, -40.9258142859, -34.697770028200004]",34.791394895399996,-40.9258142859,-34.697770028200004,26902,34.791394895399996,-40.9258142859,-34.697770028200004,29.889,"[34.791394895399996, -40.9258142859, -34.697770028200004]"
SLC25A38,gene-SLC25A38,39051,53170,chr15,NC_023656.1,0,1,"[34.7974289886, -40.8770092281, -34.7715589438]",34.7974289886,-40.8770092281,-34.7715589438,"[34.806727762, -40.801798727000005, -34.885270546]",34.806727762,-40.801798727000005,-34.885270546,46110,34.806727762,-40.801798727000005,-34.885270546,53.169999999999995,"[34.806727762, -40.801798727000005, -34.885270546]"
LOC103221036,gene-LOC103221036,55401,61964,chr15,NC_023656.1,0,1,"[34.8081970986, -40.7899144131, -34.9032385738]",34.8081970986,-40.7899144131,-34.9032385738,"[34.8125194904, -40.7549539684, -34.9560956632]",34.8125194904,-40.7549539684,-34.9560956632,58682,34.8125194904,-40.7549539684,-34.9560956632,61.964,"[34.8125194904, -40.7549539684, -34.9560956632]"
LOC103221037,gene-LOC103221037,80850,82007,chr15,NC_023656.1,0,1,"[34.82495781, -40.654350135, -35.10819973]",34.82495781,-40.654350135,-35.10819973,"[34.8257198102, -40.6481869117, -35.1175179766]",34.8257198102,-40.6481869117,-35.1175179766,81428,34.8257198102,-40.6481869117,-35.1175179766,82.00699999999999,"[34.8257198102, -40.6481869117, -35.1175179766]"
CCR8,gene-CCR8,83215,87282,chr15,NC_023656.1,0,1,"[34.826515399, -40.6417520165, -35.127246967000005]",34.826515399,-40.6417520165,-35.127246967000005,"[34.8291939252, -40.6200875142, -35.1600017716]",34.8291939252,-40.6200875142,-35.1600017716,85248,34.8291939252,-40.6200875142,-35.1600017716,87.28200000000001,"[34.8291939252, -40.6200875142, -35.1600017716]"
CX3CR1,gene-CX3CR1,136757,153316,chr15,NC_023656.1,1,2,"[34.8617781602, -40.3565391367, -35.5584635266]",34.8617781602,-40.3565391367,-35.5584635266,"[34.8726839176, -40.268330999599996, -35.691826400800004]",34.8726839176,-40.268330999599996,-35.691826400800004,145036,34.8726839176,-40.268330999599996,-35.691826400800004,53.315999999999995,"[34.8726839176, -40.268330999599996, -35.691826400800004]"
LOC103221044,gene-LOC103221044,158866,159414,chr15,NC_023656.1,1,2,"[34.8763391476, -40.238766704599996, -35.7365249908]",34.8763391476,-40.238766704599996,-35.7365249908,"[34.8767000604, -40.2358475634, -35.7409384732]",34.8767000604,-40.2358475634,-35.7409384732,159140,34.8767000604,-40.2358475634,-35.7409384732,59.414,"[34.8767000604, -40.2358475634, -35.7409384732]"
XIRP1,gene-XIRP1,221365,232284,chr15,NC_023656.1,2,3,"[34.71520435, -39.9804516345, -36.1575835935]",34.71520435,-39.9804516345,-36.1575835935,"[34.61900796, -39.9604185452, -36.2034641396]",34.61900796,-39.9604185452,-36.2034641396,226824,34.61900796,-39.9604185452,-36.2034641396,32.284,"[34.61900796, -39.9604185452, -36.2034641396]"
CSRNP1,gene-CSRNP1,262329,274003,chr15,NC_023656.1,2,3,"[34.35431151, -39.905294983699996, -36.3297102251]",34.35431151,-39.905294983699996,-36.3297102251,"[34.25146357, -39.8838766959, -36.3787632057]",34.25146357,-39.8838766959,-36.3787632057,268166,34.25146357,-39.8838766959,-36.3787632057,74.003,"[34.25146357, -39.8838766959, -36.3787632057]"
TTC21A,gene-TTC21A,276965,308194,chr15,NC_023656.1,2,4,"[34.67655642125, -39.80252019025, -35.8711875145]",34.67655642125,-39.80252019025,-35.8711875145,"[34.5845011365, -39.714418496899995, -35.7914067882]",34.5845011365,-39.714418496899995,-35.7914067882,292579,34.5845011365,-39.714418496899995,-35.7914067882,54.096999999999994,"[34.5845011365, -39.714418496899995, -35.7914067882]"
GORASP1,gene-GORASP1,308445,319309,chr15,NC_023656.1,3,4,"[34.0470429525, -39.804024818, -36.4093660715]",34.0470429525,-39.804024818,-36.4093660715,"[34.0787060805, -39.7626590516, -36.3082081083]",34.0787060805,-39.7626590516,-36.3082081083,313877,34.0787060805,-39.7626590516,-36.3082081083,19.309,"[34.0787060805, -39.7626590516, -36.3082081083]"
WDR48,gene-WDR48,319589,366265,chr15,NC_023656.1,3,4,"[34.079522140499996, -39.7615929236, -36.305600944300004]",34.079522140499996,-39.7615929236,-36.305600944300004,"[34.2155593425, -39.583869385999996, -35.8709867055]",34.2155593425,-39.583869385999996,-35.8709867055,342927,34.2155593425,-39.583869385999996,-35.8709867055,66.265,"[34.2155593425, -39.583869385999996, -35.8709867055]"
